z_m,vx_m_per_s
-0.500000,0.000000000
-0.495000,0.000005000
-0.485000,0.000015000
-0.475000,0.000025000
-0.465000,0.000035000
-0.455000,0.000045000
-0.445000,0.000055000
-0.435000,0.000065000
-0.425000,0.000075000
-0.415000,0.000085000
-0.405000,0.000095000
-0.395000,0.000105000
-0.385000,0.000115000
-0.375000,0.000125000
-0.365000,0.000135000
-0.355000,0.000145000
-0.345000,0.000155000
-0.335000,0.000165000
-0.325000,0.000175000
-0.315000,0.000185000
-0.305000,0.000195000
-0.295000,0.000205000
-0.285000,0.000215000
-0.275000,0.000225000
-0.265000,0.000235000
-0.255000,0.000245000
-0.245000,0.000255000
-0.235000,0.000265000
-0.225000,0.000275000
-0.215000,0.000285000
-0.205000,0.000295000
-0.195000,0.000305000
-0.185000,0.000315000
-0.175000,0.000325000
-0.165000,0.000335000
-0.155000,0.000345000
-0.145000,0.000355000
-0.135000,0.000365000
-0.125000,0.000375000
-0.115000,0.000385000
-0.105000,0.000395000
-0.095000,0.000405000
-0.085000,0.000415000
-0.075000,0.000425000
-0.065000,0.000435000
-0.055000,0.000445000
-0.045000,0.000455000
-0.035000,0.000465000
-0.025000,0.000475000
-0.015000,0.000485000
-0.005000,0.000495000
0.005000,0.000505000
0.015000,0.000515000
0.025000,0.000525000
0.035000,0.000535000
0.045000,0.000545000
0.055000,0.000555000
0.065000,0.000565000
0.075000,0.000575000
0.085000,0.000585000
0.095000,0.000595000
0.105000,0.000605000
0.115000,0.000615000
0.125000,0.000625000
0.135000,0.000635000
0.145000,0.000645000
0.155000,0.000655000
0.165000,0.000665000
0.175000,0.000675000
0.185000,0.000685000
0.195000,0.000695000
0.205000,0.000705000
0.215000,0.000715000
0.225000,0.000725000
0.235000,0.000735000
0.245000,0.000745000
0.255000,0.000755000
0.265000,0.000765000
0.275000,0.000775000
0.285000,0.000785000
0.295000,0.000795000
0.305000,0.000805000
0.315000,0.000815000
0.325000,0.000825000
0.335000,0.000835000
0.345000,0.000845000
0.355000,0.000855000
0.365000,0.000865000
0.375000,0.000875000
0.385000,0.000885000
0.395000,0.000895000
0.405000,0.000905000
0.415000,0.000915000
0.425000,0.000925000
0.435000,0.000935000
0.445000,0.000945000
0.455000,0.000955000
0.465000,0.000965000
0.475000,0.000975000
0.485000,0.000985000
0.495000,0.000995000
0.500000,0.001000000
