z_m,depth_below_surface_m,sigma_zz_compression_positive_Pa,sigma_zz_negative_compression_Pa,sigma_zz_normalized_by_rho_g_H
0.00,1.00,20601.00,-20601.00,1.00
0.02,0.98,20188.98,-20188.98,0.98
0.04,0.96,19776.96,-19776.96,0.96
0.06,0.94,19364.94,-19364.94,0.94
0.08,0.92,18952.92,-18952.92,0.92
0.10,0.90,18540.90,-18540.90,0.90
0.12,0.88,18128.88,-18128.88,0.88
0.14,0.86,17716.86,-17716.86,0.86
0.16,0.84,17304.84,-17304.84,0.84
0.18,0.82,16892.82,-16892.82,0.82
0.20,0.80,16480.80,-16480.80,0.80
0.22,0.78,16068.78,-16068.78,0.78
0.24,0.76,15656.76,-15656.76,0.76
0.26,0.74,15244.74,-15244.74,0.74
0.28,0.72,14832.72,-14832.72,0.72
0.30,0.70,14420.70,-14420.70,0.70
0.32,0.68,14008.68,-14008.68,0.68
0.34,0.66,13596.66,-13596.66,0.66
0.36,0.64,13184.64,-13184.64,0.64
0.38,0.62,12772.62,-12772.62,0.62
0.40,0.60,12360.60,-12360.60,0.60
0.42,0.58,11948.58,-11948.58,0.58
0.44,0.56,11536.56,-11536.56,0.56
0.46,0.54,11124.54,-11124.54,0.54
0.48,0.52,10712.52,-10712.52,0.52
0.50,0.50,10300.50,-10300.50,0.50
0.52,0.48,9888.48,-9888.48,0.48
0.54,0.46,9476.46,-9476.46,0.46
0.56,0.44,9064.44,-9064.44,0.44
0.58,0.42,8652.42,-8652.42,0.42
0.60,0.40,8240.40,-8240.40,0.40
0.62,0.38,7828.38,-7828.38,0.38
0.64,0.36,7416.36,-7416.36,0.36
0.66,0.34,7004.34,-7004.34,0.34
0.68,0.32,6592.32,-6592.32,0.32
0.70,0.30,6180.30,-6180.30,0.30
0.72,0.28,5768.28,-5768.28,0.28
0.74,0.26,5356.26,-5356.26,0.26
0.76,0.24,4944.24,-4944.24,0.24
0.78,0.22,4532.22,-4532.22,0.22
0.80,0.20,4120.20,-4120.20,0.20
0.82,0.18,3708.18,-3708.18,0.18
0.84,0.16,3296.16,-3296.16,0.16
0.86,0.14,2884.14,-2884.14,0.14
0.88,0.12,2472.12,-2472.12,0.12
0.90,0.10,2060.10,-2060.10,0.10
0.92,0.08,1648.08,-1648.08,0.08
0.94,0.06,1236.06,-1236.06,0.06
0.96,0.04,824.04,-824.04,0.04
0.98,0.02,412.02,-412.02,0.02
1.00,0.00,0.00,0.00,0.00
