time_s,tv_after_drainage,load_pa,mean_excess_pa,u_num_from_mean_excess,u_theory,top_settlement_m,settlement_theory_m,max_speed_m_per_s
0,0,0,0,0,0,0,0,0
0.0025,0,2500,1958.1215,0,0,6.7353249e-06,0,0.0079911426
0.005,0,5000,5632.5987,0,0,2.0205975e-05,0,0.011314886
0.0075,0,7500,7425.4608,0,0,3.1232834e-05,0,0.012450905
0.01,0,10000,9845.9663,0.01540337,0.00084434198,4.3153763e-05,3.1361273e-06,0.011836525
0.0125,0.00068611307,10000,9825.0881,0.017491194,0.029556493,0.00023114681,0.00010978126,0.053377654
0.015,0.0013722261,10000,10165.729,-0.016572887,0.041799194,0.00025683641,0.00015525415,0.039739065
0.0175,0.0020583392,10000,8954.4271,0.10455729,0.051193348,0.00027781725,0.00019014672,0.016428044
0.02,0.0027444523,10000,9600.8453,0.039915471,0.059112987,0.00031775236,0.00021956252,0.013822454
0.0225,0.0034305654,10000,9584.7777,0.041522232,0.066090328,0.00034308434,0.00024547836,0.01109833
0.025,0.0041166784,10000,8989.4482,0.10105518,0.072398327,0.00036489964,0.00026890807,0.0094119012
0.0275,0.0048027915,10000,9385.6083,0.061439171,0.078199131,0.00038784742,0.00029045391,0.0089262649
0.03,0.0054889046,10000,9256.4757,0.074352428,0.083598387,0.0004080534,0.0003105083,0.0076829907
0.0325,0.0061750176,10000,8976.4407,0.10235593,0.08866948,0.00042647123,0.00032934378,0.0074943122
0.035,0.0068611307,10000,9185.8825,0.081411754,0.093465838,0.00044482946,0.00034715883,0.0071962909
0.0375,0.0075472438,10000,9050.5517,0.094944834,0.098027798,0.00046175718,0.00036410325,0.0065913717
0.04,0.0082333569,10000,8920.3616,0.10796384,0.1023867,0.00047779083,0.00038029344,0.0064652762
0.0425,0.0089194699,10000,9014.9905,0.098500954,0.10656745,0.00049358606,0.00039582196,0.0061973636
0.045,0.009605583,10000,8904.2293,0.10957707,0.11059027,0.00050842762,0.00041076387,0.0058561992
0.0475,0.010291696,10000,8840.4498,0.11595502,0.11447181,0.00052279234,0.00042518099,0.0057547088
0.05,0.010977809,10000,8870.6705,0.11293295,0.11822597,0.00053685904,0.00043912504,0.0055421907
0.0525,0.011663922,10000,8787.2492,0.12127508,0.12186454,0.00055032969,0.00045263973,0.005327404
0.055,0.012350035,10000,8750.4188,0.12495812,0.12539758,0.0005633831,0.00046576244,0.0052322848
0.0575,0.013036148,10000,8747.2963,0.12527037,0.12883377,0.0005761981,0.00047852542,0.0050630961
0.06,0.013722261,10000,8685.4105,0.13145895,0.13218066,0.00058859587,0.00049095672,0.0049172403
0.0625,0.014408375,10000,8658.0617,0.13419383,0.13544487,0.00060069561,0.00050308094,0.0048265816
0.065,0.015094488,10000,8639.2539,0.13607461,0.13863224,0.00061252713,0.00051491976,0.0046944023
0.0675,0.015780601,10000,8592.0385,0.14079615,0.14174796,0.00062404871,0.00052649243,0.0045874036
0.07,0.016466714,10000,8567.6712,0.14323288,0.14479665,0.00063534379,0.00053781614,0.0045010821
0.0725,0.017152827,10000,8542.1836,0.14578164,0.14778247,0.00064640641,0.0005489063,0.0043981332
0.075,0.01783894,10000,8504.3094,0.14956906,0.15070914,0.00065723658,0.00055977679,0.0043151826
0.0775,0.018525053,10000,8480.6701,0.15193299,0.15358004,0.00066786408,0.00057044016,0.0042378461
0.08,0.019211166,10000,8453.1486,0.15468514,0.15639826,0.00067830086,0.00058090783,0.0041545555
0.0825,0.019897279,10000,8421.143,0.1578857,0.15916659,0.00068852901,0.00059119018,0.0040860829
0.085,0.020583392,10000,8397.2236,0.16027764,0.16188758,0.00069859624,0.00060129673,0.0040128133
0.0875,0.021269505,10000,8370.1071,0.16298929,0.16456359,0.00070850849,0.00061123619,0.0039451364
0.09,0.021955618,10000,8341.8363,0.16581637,0.16719677,0.00071824789,0.00062101659,0.0038870261
0.0925,0.022641731,10000,8317.6645,0.16823355,0.16978913,0.00072784424,0.00063064533,0.003823694
0.095,0.023327844,10000,8291.6482,0.17083518,0.17234249,0.00073729157,0.00064012925,0.0037690968
0.0975,0.024013958,10000,8265.6521,0.17343479,0.17485857,0.0007465899,0.0006494747,0.0037164101
0.1,0.024700071,10000,8241.7812,0.17582188,0.17733896,0.00075574517,0.00065868756,0.003662508
0.1025,0.025386184,10000,8216.8769,0.17831231,0.17978513,0.00076479316,0.00066777334,0.0036077137
0.105,0.026072297,10000,8192.4485,0.18075515,0.18219846,0.00077371001,0.00067673714,0.0035595546
0.1075,0.02675841,10000,8169.0354,0.18309646,0.18458024,0.00078252554,0.00068558375,0.0035147763
0.11,0.027444523,10000,8145.2997,0.18547003,0.18693168,0.0007912159,0.00069431766,0.0034719034
