frame,time,n,zmin,zmax,velocity_max,velocity_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydrostatic_min,hydrostatic_max,hydrostatic_mean,Excess_min,Excess_max,Excess_mean,bottom_Excess_mean,top_Excess_maxAbs,bottom_grad_proxy,PorePressRate_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressureAccelDiff_maxAbs
0,0.0,1000,0.0049999999,0.995,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000209808,9760.950417519,4905.000209808328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,1000,0.0049747163,0.99470526,0.00246067530000001,0.0019449779599803412,-0.00024153413600000144,51.94167651567,25354.24103163,14094.420151994971,51.94167651567,9761.19844967,4907.369659799583,0.0,15595.78633426,9187.050492195383,15593.04258196,0.0,-0.00847380599770986,121287300.0,4793616.9333333345,121318523.76078829,9.922479600000047
2,0.2,1000,0.0049645929,0.99446487,0.0023552603000000457,0.001713658760259275,-0.0004234570813000003,54.29982003616,23818.22354358,13499.327716506079,54.29982003616,9761.29776301,4909.1543253457,0.0,14058.88619757,8590.173391160368,14056.925780569998,0.0,-0.006822261502748006,118257020.0,3441881.066666667,118256281.71253823,9.736120200000018
3,0.30000000000000004,1000,0.0049564596,0.99423432,0.002252548000000011,0.0015548715333009787,-0.0005865053222999977,56.56123316341,22625.12154413,12918.980942828935,56.56123316341,9761.37754886,4910.753833810377,0.0,12865.58875827,8008.227109018569,12863.743995269997,0.0,-0.02085813150188187,113993440.0,2854366.133333334,113987023.5956507,9.400198000000005
4,0.4,1000,0.0049494817,0.99401516,0.0021291652000000136,0.001425849759781023,-0.0007353278148999992,58.71113407278,21612.69518761,12364.435357933844,58.71113407278,9761.44600131,4912.213764901975,0.0,11852.64187799,7452.221593031861,11851.249186300001,0.0,-0.004010184000435402,109418580.0,2474879.666666667,109416389.59157324,8.94513510000004
5,0.5,1000,0.0049433196,0.99380881,0.0019953409000008147,0.0013129354144665198,-0.0008722856137000012,60.73553372692,20714.73672651,11841.069848368055,60.73553372692,9761.50645455,4913.557321236616,0.0,10954.44537019,6927.512527131453,10953.23027196,0.0,-0.003769130998989567,102229800.0,2235678.666666667,102224731.81107713,8.413147900000004
6,0.6000000000000001,1000,0.0049377801,0.99361563,0.0018687191000058467,0.0012197372696112025,-0.0009989149937999998,62.63072786613,19904.54722816,11350.138719472467,62.63072786613,9761.560795690002,4914.799569371622,0.0,10144.34057292,6435.33915010085,10142.986432470001,0.0,-0.014771034499062807,95379200.0,2075541.6000000003,95373188.375807,7.863334200000003
7,0.7000000000000001,1000,0.0049327789,0.99343562,0.0017382612000049322,0.001128620627168813,-0.001115969030900005,64.39674676371,19175.53672491,10894.742803137297,64.39674676371,9761.609857661002,4915.947861184514,0.0,9414.989843397,5978.794941952775,9413.926867249003,0.0,-0.003319908348203171,90369232.0,1909066.3333333335,90367273.03499831,7.333058800000036
8,0.8,1000,0.0049278857,0.99326777,0.0016142396000043402,0.0010418978913065715,-0.0012248088922999993,66.04336856503,18480.84878696,10468.741791957998,66.04336856503,9761.657857326,4917.015596008623,0.0,8720.130033491,5551.726195949389,8719.190929634,0.0,-0.0045776861006743275,83075168.0,1664585.2666666668,83066991.14305131,6.835472600000016
9,0.9,1000,0.0049236231,0.99311197,0.0015035113000041811,0.0009726912199723821,-0.0013255095956000048,67.57152482715,17874.96003509,10075.585407140603,67.57152482715,9761.699677135,4918.00345855262,0.0,8114.303138055,5157.581948588021,8113.260357955002,0.0,-0.011174440398463048,77017808.0,1653111.066666667,77012340.31260619,6.348976100000028
10,1.0,1000,0.0049193138,0.99296683,0.0014008017000028457,0.0009048899892397873,-0.0014193950191000015,68.99516580216,17274.04929911,9704.258689806076,68.99516580216,9761.741950141,4918.924473171209,0.0,7513.197901939,4785.3342166348775,7512.307348969,0.0,-0.004870022999057255,72702600.0,1533161.666666667,72700752.51104316,5.89909980000034
11,1.1,1000,0.0049156188,0.99283236,0.0012968713000063093,0.0008384467052986796,-0.0015061805293000066,70.3145122528,16759.69211227,9368.570923513596,70.3145122528,9761.778194977,4919.775834260285,0.0,6998.712629945,4448.7950892533045,6997.913917292999,0.0,-0.001243187703039439,66788700.0,1434193.0000000002,66785094.85015291,5.488734200000297
12,1.2000000000000002,1000,0.0049119615,0.99270719,0.0012077537000004677,0.0007817225623034058,-0.0015871827480000004,71.54217916128,16257.53784519,9050.556748899662,71.54217916128,9761.814073533998,4920.570471095732,0.0,6496.606640443,4129.986277803932,6495.723771656002,0.0,-0.007338801947298634,61779644.0,1386857.4666666668,61774631.06218144,5.092716700000045
13,1.3,1000,0.0049085212,0.99259096,0.0011150873000591772,0.0007180267265628737,-0.0016622815111999997,72.68286194732,15783.72680087,8757.488714675916,72.68286194732,9761.847823682,4921.307183838071,0.0,6022.628076421,3836.1815308378455,6021.878977187998,0.0,-0.016903089251172787,58303828.0,1198268.866666667,58302145.46313287,4.730615100000008
14,1.4000000000000001,1000,0.0049054273,0.99248332,0.001039038500002845,0.0006734898156027409,-0.0017318470981,73.7388274261,15379.97340534,8489.141748445973,73.7388274261,9761.878177482002,4921.989631685051,0.0,5618.804181213,3567.152116760911,5618.095227857997,0.0,-0.015255004352184187,53525628.0,1194599.2666666668,53522277.91913014,4.398610600002704
15,1.5,1000,0.0049023358,0.992383,0.0009682524802409795,0.0006281683090907747,-0.0017969303176000042,74.72269843886,14978.20853151,8235.622577867558,74.72269843886,9761.908503645998,4922.628096104196,0.0,5216.955119773,3312.9944817633905,5216.300027863999,0.0,-0.009118121199207962,49561032.0,1150147.6666666667,49556924.18824329,4.083507100006415
16,1.6,1000,0.0048993211,0.9922896,0.000893406800002261,0.0005742205033963304,-0.0018574271294000038,75.63900378825,14581.63055474,7999.031191394619,75.63900378825,9761.938077433,4923.221574269226,0.0,4820.220421521,3075.8096171253787,4819.692477307001,0.0,0.004027582051094214,46788532.0,932006.7333333334,46787512.43493035,3.7960763000002915
17,1.7000000000000002,1000,0.0048972229,0.99220341,0.0008323789201163786,0.0005395391407518438,-0.0019130762577000053,76.48465474185,14273.75666036,7789.017046828261,76.48465474185,9761.958663081,4923.767482609442,0.0,4512.337980523,2865.2495642188333,4511.797997279,0.0,0.004968037050275598,42976736.0,931949.8000000002,42973683.83690113,3.5315320000410195
18,1.8,1000,0.0048948973,0.99212301,0.0007765612105665511,0.000505970791261846,-0.0019653575833999994,77.27355332633,13971.63800113,7589.674742803925,77.27355332633,9761.981474153,4924.2803708465435,0.0,4210.160699793,2665.394371957369,4209.656526976998,0.0,0.0003465770487309783,39815268.0,916857.4,39810751.18994224,3.2806304000026745
19,1.9000000000000001,1000,0.0048925043,0.99204803,0.0007235143003983125,0.0004719841595927549,-0.0020142551132999982,78.0088550305,13669.34553099,7401.089353389057,78.0088550305,9762.004950865,4924.760051405306,0.0,3907.833435841,2476.3293019837533,3907.340580125,0.0,-0.0005238017497504188,37906096.0,893009.3333333334,37903584.540265046,3.0324543000089252
20,2.0,1000,0.0048904507,0.99197847,0.0006718180400322252,0.00043474036159636177,-0.0020594520314,78.69136428241,13368.85141248,7223.98948353125,78.69136428241,9762.025097409001,4925.2034241593865,0.0,3607.288051382,2298.7860593718524,3606.8263150709986,0.0,0.0014958241990825627,34528516.0,839968.9333333335,34525121.787291884,2.837396400001573
21,2.1,1000,0.0048885001,0.99191362,0.0006272716606011495,0.0004066263626770551,-0.0021013222743000055,79.32739459415,13123.13213311,7067.158437404365,79.32739459415,9762.04423024,4925.614185443771,0.0,3361.542820529,2141.544251960613,3361.08790287,0.0,-0.010881864600378321,32053764.0,700496.1333333334,32049824.87801562,2.640948100002131
22,2.2,1000,0.0048865224,0.99185306,0.0005821873200706165,0.00038065541980387827,-0.002140775156100003,79.92122080908,12921.39185093,6926.313959272003,79.92122080908,9762.063631461,4926.001209003363,0.0,3159.74344096,2000.3127502686443,3159.3282194689987,0.0,-0.008831529101826163,30559388.0,656998.7933333333,30557029.604485217,2.444512400087892
23,2.3000000000000003,1000,0.0048847566,0.99179697,0.0005413513918412055,0.0003563184390475956,-0.0021775945781000016,80.47170514038,12720.0312471,6790.44656852392,80.47170514038,9762.080955586,4926.3624150500555,0.0,2958.320450393,1864.0841534738695,2957.9502915140015,0.0,-0.005349884348561318,27875772.0,647430.0333333334,27872648.082908608,2.2858210000458996
24,2.4000000000000004,1000,0.0048830705,0.99174476,0.0005040476100051369,0.00033328915543417715,-0.0022120723149000043,80.98412566046,12518.44885271,6660.487390192465,80.98412566046,9762.097495649,4926.700641267187,0.0,2756.696636417,1733.7867489252692,2756.3513570610007,0.0,-0.002843637199021032,25743086.0,640720.7866666667,25739724.24328917,2.120731400000743
25,2.5,1000,0.0048814318,0.99169606,0.0004708478801177386,0.0003105364513032663,-0.002244261230299997,81.46186975633,12316.54312798,6537.615815973963,81.46186975633,9762.113570656,4927.016420446399,0.0,2554.772363719,1610.5993955275633,2554.4295573240006,0.0,-0.0019619328495537047,24568794.0,622265.5066666667,24565745.28576283,1.964995700019212
26,2.6,1000,0.0048798085,0.99165046,0.0004412776308123519,0.00028785610637989195,-0.0022741836679999986,81.90878725265,12115.01343054,6421.247208905375,81.90878725265,9762.129493777,4927.309947530029,0.0,2353.224516894,1493.9372613753542,2352.8839367629994,0.0,-0.000750151750708028,22491188.0,606037.9866666667,22487675.82330955,1.844211700008477
27,2.7,1000,0.0048782066,0.9916079,0.0004113036332958433,0.00026335240971042185,-0.002301794946600002,82.32652001982,11914.52276079,6310.628278393482,82.32652001982,9762.145211725,4927.580818912529,0.0,2152.706365983,1383.0474594809775,2152.377549065,0.0,0.0030187008997017983,20885108.0,531977.3133333334,20880919.12470268,1.7195219000000292
28,2.8000000000000003,1000,0.004877178,0.99156898,0.0003728148274188891,0.00023187493588339267,-0.0023262744686999965,82.7084213449,11746.97138669,6213.346626968003,82.7084213449,9762.155302741001,4927.820959704471,0.0,1985.029193584,1285.5256672635223,1984.8160839490004,0.0,0.003755661600507665,19976000.0,404163.4600000001,19972807.37342847,1.5978546000740719
29,2.9000000000000004,1000,0.0048762052,0.99153298,0.0003482763509887405,0.00021989196677158938,-0.0023488685579,83.06135918689,11638.18259142,6135.375543945356,83.06135918689,9762.164843545,4928.042607405256,0.0,1876.227191461,1207.3329365401203,1876.017747875,0.0,0.006946798349645178,18268416.0,399406.5733333334,18264764.341828067,1.4981749000188893
