case_id,time_s,z_m,excess,analytical_excess
l3c_mode1,0.0,0.0049999999,10000.0,9987.267655481213
l3c_mode1,0.0,0.015,10000.0,10001.00956862062
l3c_mode1,0.0,0.025,10000.0,10012.578616946466
l3c_mode1,0.0,0.035,10000.0,9996.993651118508
l3c_mode1,0.0,0.0049999999,10000.0,9987.267655481213
l3c_mode1,0.0,0.015,10000.0,10001.00956862062
l3c_mode1,0.0,0.025,10000.0,10012.578616946466
l3c_mode1,0.0,0.035,10000.0,9996.993651118508
l3c_mode1,0.0,0.0049999999,10000.0,9987.267655481213
l3c_mode1,0.0,0.015,10000.0,10001.00956862062
l3c_mode1,0.0,0.025,10000.0,10012.578616946466
l3c_mode1,0.0,0.035,10000.0,9996.993651118508
l3c_mode1,0.0,0.0049999999,10000.0,9987.267655481213
l3c_mode1,0.0,0.015,10000.0,10001.00956862062
l3c_mode1,0.0,0.025,10000.0,10012.578616946466
l3c_mode1,0.0,0.035,10000.0,9996.993651118508
l3c_mode1,0.0,0.0049999999,10000.0,9987.267655481213
l3c_mode1,0.0,0.015,10000.0,10001.00956862062
l3c_mode1,0.0,0.025,10000.0,10012.578616946466
l3c_mode1,0.0,0.035,10000.0,9996.993651118508
l3c_mode1,0.0,0.0049999999,10000.0,9987.267655481213
l3c_mode1,0.0,0.015,10000.0,10001.00956862062
l3c_mode1,0.0,0.025,10000.0,10012.578616946466
l3c_mode1,0.0,0.035,10000.0,9996.993651118508
l3c_mode1,0.0,0.0049999999,10000.0,9987.267655481213
l3c_mode1,0.0,0.015,10000.0,10001.00956862062
l3c_mode1,0.0,0.025,10000.0,10012.578616946466
l3c_mode1,0.0,0.035,10000.0,9996.993651118508
l3c_mode1,0.0,0.0049999999,10000.0,9987.267655481213
l3c_mode1,0.0,0.015,10000.0,10001.00956862062
l3c_mode1,0.0,0.025,10000.0,10012.578616946466
l3c_mode1,0.0,0.035,10000.0,9996.993651118508
l3c_mode1,0.0,0.0049999999,10000.0,9987.267655481213
l3c_mode1,0.0,0.015,10000.0,10001.00956862062
l3c_mode1,0.0,0.025,10000.0,10012.578616946466
