case_id,time_s,velocity_max,DivVel_maxAbs,PorePressRate_maxAbs,feedback_accel_max,negative_excess_min
l3c_mode1,0.0,0.0,0.0,0.0,0.0,0.0
l3c_mode1,0.001,0.0,0.0,125293450.0,0.0,0.0
l3c_mode1,0.002,0.0,0.0,88416136.0,0.0,0.0
l3c_mode1,0.003,0.0,0.0,70866488.0,0.0,0.0
l3c_mode1,0.004,0.0,0.0,58640264.0,0.0,0.0
l3c_mode1,0.005,0.0,0.0,48892536.0,0.0,0.0
l3c_mode2,0.0,0.0,0.0,0.0,0.0,0.0
l3c_mode2,0.001,0.0,0.0,0.0,0.0,0.0
l3c_mode2,0.002,0.0,0.0,0.0,0.0,0.0
l3c_mode2,0.003,0.0,0.0,0.0,0.0,0.0
l3c_mode2,0.004,0.0,0.0,0.0,0.0,0.0
l3c_mode2,0.005,0.0,0.0,0.0,0.0,0.0
l5_mode1,0.0,0.0,0.0,0.0,0.0,0.0
l5_mode1,0.001,0.0082434556,0.019482598,16878632.0,7.0460157,0.0
l5_mode1,0.002,0.011226165,0.10369496,103154250.0,2.7578788,-3638.058989392
l5_mode1,0.003,0.0055590859,0.036039386,154290320.0,9.3444185,-8186.760307279
l5_mode1,0.004,0.0026432555,0.026443452,83882744.0,7.4630198000000005,-7235.253064366
l5_mode1,0.005,0.0071404693,0.048699643,35720220.0,2.0038249,-2054.064379113
l5_mode2,0.0,0.0,0.0,0.0,0.0,0.0
l5_mode2,0.001,2611.7380539703017,33461.359,612631790000000.0,1301714.4865741257,-189893702.4635
l5_mode2,0.002,1237.6331221731357,739.95465,369939150000.0,105381.49187236384,-0.2099168931873
l5_mode2,0.003,1237.6331221731357,229.56064,145124380000.0,21576.5442013573,-248.6479825474
l5_mode2,0.004,1237.6331221731357,183.1207,264379510000.0,110500.04684998916,-22.29459722844
l5_mode2,0.005,1246.613060101391,5358.3491,3695203600000.0,45326.511627793785,0.0
