case,safety,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,bottom_Excess_mean,top_Excess_maxAbs,bottom_grad_proxy,PorePressRate_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressureAccelDiff_maxAbs
Baseline_SW3D_Xi0p10_Safety0p10,0.10,0,0.0,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000000000005,9760.950000981,4904.999999715509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baseline_SW3D_Xi0p10_Safety0p10,0.10,1,0.01,0.007752642000000001,0.005075152107160008,-4.722658799999981e-05,49.63329779243,28682.52266904,15229.018291801209,49.63349880000005,9761.044410459,4905.463292543782,0.0,18930.31296015,10323.554777654852,18921.477840950007,0.0,-0.09186393099298584,176090450.0,19329954.000000004,156760514.9663609,11.540732000000077
Baseline_SW3D_Xi0p10_Safety0p10,0.10,2,0.02,0.0026891064000000046,0.002340876294820001,-7.448338400000291e-05,49.95351580515,27583.43858529,14737.644311547738,49.95330480000053,9761.074866585,4905.730681712536,0.0,17828.83646026,9831.913405183996,17822.363299459998,0.0,-0.046863632000167854,127302370.0,10857348.666666668,129439570.02038738,10.69382000000001
Baseline_SW3D_Xi0p10_Safety0p10,0.10,3,0.03,0.002874573000000003,0.002434871383430009,-9.914606599999912e-05,50.23470342371,26828.64761973,14432.546123359658,50.23455750000007,9761.097725847,4905.972622622956,0.0,17072.41674684,9526.573282775229,17067.549474900003,0.0,-0.01805890000105137,124139560.0,9052460.0,123993245.24838603,10.068921000000076
Baseline_SW3D_Xi0p10_Safety0p10,0.10,4,0.04,0.002800920300000001,0.0023446331189800086,-0.00012304154699999893,50.51315340897,26594.32329377,14419.344955028002,50.51296529999947,9761.117327208,4906.207037291563,0.0,16837.40459673,9513.137705915922,16833.205547860005,0.0,-0.01599242949669133,122862720.0,7849887.333333334,122803609.5766225,10.088213
Baseline_SW3D_Xi0p10_Safety0p10,0.10,5,0.05,0.002737227400000002,0.0022688908156900524,-0.0001460781380000008,50.7842531473,26307.54271576,14351.674208462035,50.78421179999992,9761.134672269,4906.433026249299,0.0,16550.18200947,9445.240983944846,16546.407623659998,0.0,-0.013696659003471723,123109940.0,7013636.000000001,123106769.8545702,9.994401900000074
Baseline_SW3D_Xi0p10_Safety0p10,0.10,6,0.06,0.002698455500000064,0.0022116887078400785,-0.0001684726630000026,51.05082349674,26055.61136184,14288.393819562056,51.050847600000075,9761.150441844,4906.652716539537,0.0,16297.87693865,9381.740890689058,16294.460503660002,0.0,-0.012941235001562745,121509100.0,6393464.266666668,121502631.73700307,9.976001700000031
Baseline_SW3D_Xi0p10_Safety0p10,0.10,7,0.07,0.002667544400000004,0.002162352971270637,-0.00019033478399999875,51.31397587286,25820.28047952,14224.51691642065,51.313951799999906,9761.165014599,4906.86718394655,0.0,16062.3211818,9317.649500985912,16059.115048870002,0.0,-0.011343593496349058,122715130.0,5913671.133333334,122706602.60550462,9.894204100000215
Baseline_SW3D_Xi0p10_Safety0p10,0.10,8,0.08,0.002642273,0.002118449400738988,-0.0002117417469999999,51.57442386465,25605.84246929,14162.54453806672,51.5742110999996,9761.178659328,4907.077186253589,0.0,15847.6266483,9255.467147245503,15844.663391329994,0.0,-0.011180011506439769,120773150.0,5532336.733333334,120760934.23173635,9.915619900000046
Baseline_SW3D_Xi0p10_Safety0p10,0.10,9,0.09,0.002617476700000002,0.002077201614259344,-0.00023273655400000284,51.83257889171,25393.97283203,14095.512148517082,51.832606499999734,9761.191536915001,4907.283145310228,0.0,15635.6232203,9188.228816939763,15632.78087682,0.0,-0.009652283999457723,122900100.0,5214600.533333334,122924709.61399934,9.803723300000172
Baseline_SW3D_Xi0p10_Safety0p10,0.10,10,0.1,0.0026069474000001125,0.0020453848145467923,-0.0002533864029999991,52.0891698248,25210.0184804,14038.264738542153,52.0893342000002,9761.203939698,4907.4857203289375,0.0,15451.45676892,9130.778813837122,15448.8141256,0.0,-0.009916303997670184,120471730.0,4944337.2,120441282.2582399,9.87367060000005
Baseline_SW3D_Xi0p10_Safety0p10,0.10,11,0.11,0.0025935848,0.0020153908203403856,-0.00027370802249999606,52.34416794512,25024.1285269,13973.533965389715,52.344296100000506,9761.215857867,4907.685075416225,0.0,15265.46925122,9065.8486837961,15262.912254010002,0.0,-0.008867967497280915,122558060.0,4754267.333333334,122538399.89874278,9.770883600000099
Baseline_SW3D_Xi0p10_Safety0p10,0.10,12,0.12,0.0025799668000000137,0.001987872577942324,-0.0002937052754999986,52.59760743678,24839.25711146,13905.851127168298,52.597492199999564,9761.22712269,4907.881248468151,0.0,15080.48414698,8997.96965732258,15078.02957173,0.0,-0.009137435499724234,120077910.0,4518116.2,120086498.73462453,9.826258700000038
Baseline_SW3D_Xi0p10_Safety0p10,0.10,13,0.13,0.0025678808000000317,0.0019594083653185386,-0.00031341624650000027,52.84979318967,24670.33012469,13843.773039571923,52.85009970000002,9761.237940177,4908.074613093647,0.0,14911.52508928,8935.698223458658,14909.091767180007,0.0,-0.007850416994187981,123588340.0,4399662.866666667,123575543.51817873,9.681276300000036
