fit_amplitude_Pa,mean_sim_excess,n,relative_rmse_fit,relative_rmse_q0,rmse_fit,rmse_q0,run,time_s
482695.4958044249,0.0,1000,1.0,1.0,480423.9878230658,9952.941181322349,cpu,0.0
482695.4958044249,509757.91700196493,1000,0.154536082075969,50.7886762569708,74338.45773710893,506147.7337374091,cpu,0.005
482695.4958044249,-124204.5956255279,1000,1.2805272718690948,15.496457842026006,597983.8239091119,149920.07700317938,cpu,0.01
482695.4958044249,-14111.131089563782,1000,1.0323165572229105,2.7280012912678804,475808.12362210534,26048.953763268422,cpu,0.015
482695.4958044249,52189.643035946996,1000,0.8812817886899432,5.069867225926516,402012.8041793082,47912.45556285427,cpu,0.02
482695.91837560706,0.0,1000,1.0,1.0,480424.4084056777,9952.941181322349,gpu,0.0
482695.91837560706,509757.7892926498,1000,0.15453515422666278,50.78866121388156,74338.07648045919,506147.5838216125,gpu,0.005
482695.91837560706,-124204.75542546484,1000,1.2805273817783065,15.49647527075784,597984.3987340885,149920.2456169907,gpu,0.01
482695.91837560706,-14111.124135848988,1000,1.0323165136029304,2.72800073956245,475808.52005876886,26048.94849518102,gpu,0.015
482695.91837560706,52189.69849568703,1000,0.8812817666471714,5.069873788916948,402013.1461460749,47912.517595950834,gpu,0.02
