run,time_s,bottom_excess_mean,bottom_porepress_mean,analytical_q0_bottom,analytical_q0_total_bottom,error_q0,relative_error_q0
cpu,0.0,0.0,9711.9004154205,9987.267655481213,19699.167656462214,-9987.267655481213,-1.0
cpu,0.001,21.88192082020999,9733.782336240998,9987.267655481213,19699.167656462214,-9965.385734661004,-0.9978090182845756
cpu,0.002,1882.8312174310001,11594.731632850002,9987.267655481213,19699.167656462214,-8104.436438050213,-0.8114768440798055
cpu,0.003,12756.12398176,22468.024397180005,9987.267655481213,19699.167656462214,2768.8563262787866,0.2772386223933012
cpu,0.004,38585.64674902999,48297.54716444999,9987.267655481213,19699.167656462214,28598.379093548778,2.8634837955758012
cpu,0.005,81472.14049650001,91184.04091191999,9987.267655481213,19699.167656462214,71484.8728410188,7.157600587763008
cpu,0.006,133631.49760269996,143343.3980181,9999.999999999996,19711.900000980997,123631.49760269996,12.363149760270002
cpu,0.007,150982.83504300003,160694.73545840004,10000.000000000002,19711.900000981004,140982.83504300003,14.0982835043
cpu,0.008,157166.2894285,166878.18984390004,9999.99999999999,19711.90000098099,147166.2894285,14.716628942850013
cpu,0.009000000000000001,167171.0900776,176882.99049310008,10000.0,19711.900000981,157171.0900776,15.717109007760001
cpu,0.01,183242.79576649994,192954.69618189993,10000.000000000004,19711.900000981004,173242.79576649994,17.32427957664999
cpu,0.011,205127.06621070008,214838.9666261,10000.000000000002,19711.900000981004,195127.06621070008,19.512706621070006
cpu,0.012,232112.5848348999,241824.48525030003,9999.999999999998,19711.900000980997,222112.5848348999,22.211258483489996
cpu,0.013000000000000001,263583.71478050004,273295.6151959001,10000.000000000004,19711.900000981004,253583.71478050004,25.358371478049996
cpu,0.014,298969.49743090005,308681.39784630004,10000.0,19711.900000981,288969.49743090005,28.896949743090005
cpu,0.015,337763.38926810015,347475.2896836,10000.000000000004,19711.900000981004,327763.38926810015,32.776338926810006
cpu,0.016,379646.8111902,389358.71160564997,10000.0,19711.900000981,369646.8111902,36.96468111902
cpu,0.017,424265.1764423001,433977.07685784996,10000.0,19711.900000981,414265.1764423001,41.42651764423001
cpu,0.018000000000000002,471350.1717940999,481062.0722107001,9999.999999999998,19711.900000980997,461350.1717940999,46.13501717941
cpu,0.019,520628.90217849996,530340.8026023501,10000.000000000002,19711.900000981004,510628.90217849996,51.06289021784999
cpu,0.02,571999.5842035001,581711.48466595,10000.000000000002,19711.900000981004,561999.5842035001,56.199958420349994
