run,time_s,top_drained_excess_maxAbs,bottom_no_flux_proxy
cpu,0.0,0.0,0.0
cpu,0.001,34171.76049914,-0.006231870240007709
cpu,0.002,125873.9361732,-0.1837470860002668
cpu,0.003,233193.8858514,-0.6573433550038317
cpu,0.004,350293.664575,-1.2633208900151658
cpu,0.005,0.0,-1.9133639199571917
cpu,0.006,0.0,-1.315123200067319
cpu,0.007,0.0,-0.26359275000868365
cpu,0.008,0.0,-0.26795639999909326
cpu,0.009000000000000001,0.0,-0.48045830003684387
cpu,0.01,0.0,-0.7051326000655536
cpu,0.011,0.0,-0.9080999499128666
cpu,0.012,0.0,-1.0844664000323974
cpu,0.013000000000000001,0.0,-1.2386672999127768
cpu,0.014,0.0,-1.3743164499755949
cpu,0.015,0.0,-1.493846649886109
cpu,0.016,0.0,-1.6004670999827795
cpu,0.017,0.0,-1.696338199893944
cpu,0.018000000000000002,0.0,-1.7830974500975572
cpu,0.019,0.0,-1.862193700100761
cpu,0.02,0.0,-1.9341240499634296
