step,time_s,mode,factor,target_mk,target_count,target_mass,surface_z_m,thickness_m,q0_Pa,area_m2,total_force_z_N,accel_z_m_s2,mean_vel_z_m_s,mean_disp_z_m
0,0.0,1,0.0,-1,10,2.1,0.995,0.0055,-10000.0,0.1,-0.0,-0.0,0.0,0.0
1,9.53532e-07,1,0.000190706,-1,10,2.1,0.995,0.0055,-10000.0,0.1,-0.190706,-0.0908126,0.0,0.0
2,1.90706e-06,1,0.000381413,-1,10,2.1,0.995,0.0055,-10000.0,0.1,-0.381413,-0.181625,-8.65363e-08,0.0
3,2.8606e-06,1,0.000572119,-1,10,2.1,0.995,0.0055,-10000.0,0.1,-0.572119,-0.272438,-2.59496e-07,0.0
4,3.81413e-06,1,0.000762826,-1,10,2.1,0.995,0.0055,-10000.0,0.1,-0.762826,-0.36325,-5.18767e-07,0.0
500,0.000476766,1,0.0953532,-1,10,2.1,0.994999,0.0055,-10000.0,0.1,-95.3532,-45.4063,-0.00855376,0.0
1000,0.000953532,1,0.190706,-1,10,2.1,0.99499,0.0055,-10000.0,0.1,-190.706,-90.8126,-0.0263869,0.0
1500,0.0014303,1,0.28606,-1,10,2.1,0.994973,0.0055,-10000.0,0.1,-286.06,-136.219,-0.0451954,0.0
2000,0.00190706,1,0.381413,-1,10,2.1,0.994948,0.0055,-10000.0,0.1,-381.413,-181.625,-0.0615281,0.0
2500,0.00238383,1,0.476766,-1,10,2.1,0.994915,0.0055,-10000.0,0.1,-476.766,-227.031,-0.0753066,0.0
3000,0.0028606,1,0.572119,-1,10,2.1,0.994876,0.0055,-10000.0,0.1,-572.119,-272.438,-0.087687,0.0
3500,0.00333736,1,0.667472,-1,10,2.1,0.994831,0.0055,-10000.0,0.1,-667.472,-317.844,-0.0999227,0.0
4000,0.00381413,1,0.762826,-1,10,2.1,0.994781,0.0055,-10000.0,0.1,-762.826,-363.25,-0.112702,0.0
4500,0.00429089,1,0.858179,-1,10,2.1,0.994724,0.0055,-10000.0,0.1,-858.179,-408.657,-0.12601,0.0
5000,0.00476766,1,0.953532,-1,10,2.1,0.994661,0.0055,-10000.0,0.1,-953.532,-454.063,-0.139453,0.0
5500,0.00524443,1,1.0,-1,10,2.1,0.994591,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.150153,0.0
6000,0.00572119,1,1.0,-1,10,2.1,0.99452,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.148408,0.0
6500,0.00619796,1,1.0,-1,10,2.1,0.99445,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.141925,0.0
7000,0.00667472,1,1.0,-1,10,2.1,0.994384,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.135978,0.0
7500,0.00715149,1,1.0,-1,10,2.1,0.99432,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133523,0.0
8000,0.00762826,1,1.0,-1,10,2.1,0.994256,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.134316,0.0
8500,0.00810502,1,1.0,-1,10,2.1,0.994192,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.135855,0.0
9000,0.00858179,1,1.0,-1,10,2.1,0.994127,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.136026,0.0
9500,0.00905855,1,1.0,-1,10,2.1,0.994062,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.134839,0.0
10000,0.00953532,1,1.0,-1,10,2.1,0.993998,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133591,0.0
10500,0.0100121,1,1.0,-1,10,2.1,0.993935,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133296,0.0
11000,0.0104889,1,1.0,-1,10,2.1,0.993871,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133899,0.0
11500,0.0109656,1,1.0,-1,10,2.1,0.993807,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.134641,0.0
12000,0.0114424,1,1.0,-1,10,2.1,0.993743,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.13489,0.0
12500,0.0119191,1,1.0,-1,10,2.1,0.993679,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.134582,0.0
13000,0.0123959,1,1.0,-1,10,2.1,0.993615,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.1341,0.0
13500,0.0128727,1,1.0,-1,10,2.1,0.993551,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.13384,0.0
14000,0.0133494,1,1.0,-1,10,2.1,0.993487,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133883,0.0
14500,0.0138262,1,1.0,-1,10,2.1,0.993423,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.134045,0.0
15000,0.014303,1,1.0,-1,10,2.1,0.993359,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.134095,0.0
15500,0.0147797,1,1.0,-1,10,2.1,0.993295,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133959,0.0
16000,0.0152565,1,1.0,-1,10,2.1,0.993231,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133751,0.0
16500,0.0157333,1,1.0,-1,10,2.1,0.993168,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133641,0.0
17000,0.01621,1,1.0,-1,10,2.1,0.993104,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133691,0.0
17500,0.0166868,1,1.0,-1,10,2.1,0.99304,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.13382,0.0
18000,0.0171636,1,1.0,-1,10,2.1,0.992976,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133892,0.0
18500,0.0176403,1,1.0,-1,10,2.1,0.992913,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133838,-2.89857e-13
19000,0.0181171,1,1.0,-1,10,2.1,0.992849,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133705,-3.13172e-12
19500,0.0185939,1,1.0,-1,10,2.1,0.992785,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133605,-5.93805e-12
20000,0.0190706,1,1.0,-1,10,2.1,0.992721,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133608,-8.17046e-12
20500,0.0195474,1,1.0,-1,10,2.1,0.992658,0.0055,-10000.0,0.1,-1000.0,-476.19,-0.133692,-1.51675e-11
