case_id,time_s,Tv,volume_mean_excess,peak_abs_excess,min_excess,bottom_excess,analytical_bottom_excess,bottom_error,profile_rmse
low_cpu,0.0,0.0,980.0,1000.0,0.0,1000.0,1000.8639138674438,-0.8639138674437845,99.81805534690753
low_cpu,0.001,0.0002788910499577346,374.20521899570207,815.8644305014,0.0,815.5635596493997,1000.0000000000005,-184.43644035060072,668.9609397245548
low_cpu,0.002,0.0005577809041232237,-186.8274064430327,363.8328830647,-363.8328830647,-363.63409673699994,1000.0000000000009,-1363.6340967370008,1175.7169097951955
low_cpu,0.003,0.0008366699051134211,-541.0541249963704,818.6821938689,-818.6821938689,-818.4311777745003,999.9999999999991,-1818.4311777744992,1544.613703576281
low_cpu,0.004,0.0011155596659233348,-452.2834260078347,723.4929494887,-723.4929494887,-722.9867200635,1000.0000000000002,-1722.9867200635003,1448.2736711951925
low_cpu,0.005,0.0013944510486865866,-110.83471403927989,205.3217489829,-205.3217489829,-205.29379087620003,999.9999999999998,-1205.2937908761999,1083.3296495997909
low_cpu,0.006,0.0016733435578293579,219.0962150713171,349.4428642192,0.0,349.1306011959998,1000.0,-650.8693988040002,744.111371972995
low_cpu,0.007,0.0019522359756458695,359.6370307902617,572.9023638116,0.0,572.6235585987998,999.9999999999998,-427.37644140119994,607.7438562158047
low_cpu,0.008,0.0022311268464373945,259.9811662341742,415.2684909405,0.0,415.20082467263313,1000.0000000000002,-584.799175327367,697.768601922763
low_cpu,0.009000000000000001,0.0025100156739477322,22.83722813074983,35.3963803167,-1.341378390306,35.16613420544001,1000.0000000000005,-964.8338657945604,933.3969838949048
low_cpu,0.01,0.0027889037402875996,-185.45114892945583,297.7200646829,-297.7200646829,-297.5251483308001,1000.0000000000002,-1297.5251483308002,1150.1208451936689
low_cpu,0.011,0.0030677926293830246,-242.99040573901132,388.8722197406,-388.8722197406,-388.7879052950001,1000.0,-1388.7879052950002,1209.629443918617
low_cpu,0.012,0.003346683639167738,-137.4134584439075,219.4556521219,-219.4556521219,-219.45565212190004,999.9999999999998,-1219.4556521219,1095.3450940315015
low_cpu,0.013000000000000001,0.003625576078221543,40.86876895350906,63.7715723417,0.0,63.70352822284999,1000.0000000000005,-936.2964717771505,906.0987671850937
low_cpu,0.014,0.003904469251293723,165.51087208947322,259.4390528443,0.0,259.3512380615001,999.9999999999999,-740.6487619384998,776.1030667729106
low_cpu,0.015,0.004183360399736007,164.88068085245007,258.9289051927,0.0,258.86288469499993,999.9999999999997,-741.1371153049997,774.6631477617368
low_cpu,0.016,0.004462250049156718,62.315774600028774,97.9239460526,0.0,97.91428025907,999.9999999999998,-902.0857197409298,878.1682183475776
low_cpu,0.017,0.004741138472362519,-57.29915671816216,90.66150991574,-90.66150991574,-90.60138446533003,1000.0,-1090.60138446533,1001.8369070402366
low_cpu,0.018000000000000002,0.005020027307538032,-115.89402165147285,185.1226497497,-185.1226497497,-185.0324807533999,999.9999999999998,-1185.0324807533998,1062.3953161451177
low_cpu,0.019,0.005298917688891172,-90.15620204449738,146.9284276343,-146.9284276343,-146.8965422827,1000.0,-1146.8965422827,1033.5872140715562
low_cpu,0.02,0.005577809388295408,-12.015098145512203,21.38601801301,-21.38601801301,-21.344391513199994,1000.0,-1021.3443915132,949.2346134726185
target_cpu,0.0,0.0,9800.0,10000.0,0.0,10000.0,10008.639138674438,-8.639138674438072,998.1805534690757
target_cpu,0.001,0.00027888879630729927,3742.097383932323,8158.673214957,0.0,8155.664566988,10000.000000000004,-1844.3354330120037,6689.558055885784
target_cpu,0.002,0.0005577659386780379,-1868.1370767222454,3638.058989392,-3638.058989392,-3636.070154763999,9999.999999999996,-13636.070154763995,11757.022101666938
target_cpu,0.003,0.0008366343987328124,-5410.443336613593,8186.760307279,-8186.760307279,-8184.250306261997,10000.000000000002,-18184.250306261998,15446.047187982249
target_cpu,0.004,0.00111551020602762,-4523.100723596225,7235.253064366,-7235.253064366,-7230.190763706998,9999.999999999998,-17230.190763706996,14483.027527957935
target_cpu,0.005,0.0013944023346983494,-1108.8524351791696,2054.064379113,-2054.064379113,-2053.783743394,9999.999999999995,-12053.783743393995,10833.837125284848
target_cpu,0.006,0.0016733059589870737,2190.53388531264,3493.709347451,0.0,3490.5868086830005,9999.999999999996,-6509.413191316996,7441.532478574445
target_cpu,0.007,0.0019522079406777988,3596.3193335046385,5728.960967244,0.0,5726.172389447998,10000.000000000004,-4273.827610552005,6077.482109149124
target_cpu,0.008,0.0022310949700858427,2600.1778647553083,4153.297164071,0.0,4152.620170167,10000.000000000002,-5847.379829833002,6977.327790851754
target_cpu,0.009000000000000001,0.002509962007186848,228.91493707751567,354.8392073926,-13.38710853346,352.5399916720999,10000.000000000002,-9647.460008327902,9333.406415324896
target_cpu,0.01,0.0027888199822356293,-1854.1522926954397,2976.645487821,-2976.645487821,-2974.696149292999,9999.999999999998,-12974.696149292997,11500.833066191719
target_cpu,0.011,0.0030676890573234326,-2429.977814432502,3888.864477526,-3888.864477526,-3888.020717588,10000.000000000002,-13888.020717588002,12096.382102536705
target_cpu,0.012,0.0033465779096437183,-1374.6202376789424,2195.328195902,-2195.328195902,-2195.328195902,10000.000000000002,-12195.328195902002,10953.97293401969
target_cpu,0.013000000000000001,0.0036254819324056647,408.12047674491333,636.8170607701,0.0,636.1367824993999,10000.0,-9363.8632175006,9061.581725312011
target_cpu,0.014,0.0039043885815668662,1654.8626350503027,2594.006907097,0.0,2593.128739615999,10000.0,-7406.871260384001,7761.281892547148
target_cpu,0.015,0.004183282410394736,1649.0223476093017,2589.641140352,0.0,2588.9807451380016,9999.999999999996,-7411.019254861994,7746.411510647522
target_cpu,0.016,0.004462156408395526,623.6456922277073,980.0049909395,0.0,979.9080396002998,10000.000000000002,-9020.091960399703,8781.174698423667
target_cpu,0.017,0.004741017561447965,-572.5758984923622,905.9514110716,-905.9514110716,-905.3504063588003,10000.0,-10905.3504063588,10017.933538450043
target_cpu,0.018000000000000002,0.005019884630473014,-1158.8644329080441,1851.101674606,-1851.101674606,-1850.1998404850012,10000.000000000002,-11850.199840485004,10623.878965948528
target_cpu,0.019,0.005298768175032791,-901.8356253745661,1469.722039248,-1469.722039248,-1469.402775716,10000.000000000004,-11469.402775716004,10336.16895231183
target_cpu,0.02,0.005577664222936476,-120.57258798910978,214.5412318118,-214.5412318118,-214.12628442199997,10000.000000000004,-10214.126284422004,9492.796308303346
target_gpu,0.0,0.0,9800.0,10000.0,0.0,10000.0,10008.639138674438,-8.639138674438072,998.1805534690757
target_gpu,0.001,0.00027888879630729927,3742.042843248195,8158.245616248,3.698465218349e-05,8155.255208340501,10000.000000000004,-1844.7447916595029,6689.576183132544
target_gpu,0.002,0.0005577659339455489,-1869.15506454346,3639.533368048,-3639.533368048,-3637.4201376885003,9999.999999999996,-13637.420137688496,11758.108899781168
target_gpu,0.003,0.0008366343931553814,-5410.63484434723,8186.042767013,-8186.042767013,-8183.556421192499,9999.999999999998,-18183.556421192498,15446.204349830783
target_gpu,0.004,0.001115510200844569,-4521.5929357417535,7233.297554054,-7233.297554054,-7228.217013604999,9999.999999999996,-17228.217013604997,14481.420186896758
target_gpu,0.005,0.0013944023282194342,-1107.632151141912,2052.699310732,-2052.699310732,-2052.4136300764994,10000.0,-12052.413630076499,10832.567770403462
target_gpu,0.006,0.001673305949522027,2190.225297066431,3493.441303319,-3.028826662188e-05,3490.314668414,10000.000000000004,-6509.6853315860035,7441.839690802059
target_gpu,0.007,0.001952207929635094,3595.2545961997344,5727.445196209,-1.132125353109e-05,5724.657985547998,10000.000000000004,-4275.342014452006,6078.459966979522
target_gpu,0.008,0.002231094959719221,2599.4072592933053,4152.146557314,9.398042607245e-06,4151.470148649101,10000.0,-5848.529851350899,6978.073455662572
target_gpu,0.009000000000000001,0.0025099619950174797,228.91532278361458,354.7612511396,-13.37336192675,352.45193254965,9999.999999999998,-9647.548067450349,9333.406000866476
target_gpu,0.01,0.002788819969277691,-1853.6509222467598,2975.922851212,-2975.922851212,-2973.9730896580004,10000.000000000002,-12973.973089658002,11500.302449317782
target_gpu,0.011,0.003067689045548685,-2429.385672137709,3887.856418588,-3887.856418588,-3887.011284799001,10000.000000000002,-13887.011284799002,12095.746196426497
target_gpu,0.012,0.003346577896798493,-1374.2685371924597,2194.798611706,-2194.798611706,-2194.7986115864996,9999.999999999998,-12194.798611586499,10953.600031661366
target_gpu,0.013000000000000001,0.0036254819221519245,407.9962090635024,636.5760116102,-1.628646445795e-05,635.8961040418,10000.0,-9364.1038959582,9061.710874615692
target_gpu,0.014,0.0039043885705242775,1654.3742711800792,2593.234291573,-1.072135047764e-05,2592.3561194295,10000.0,-7407.6438805705,7761.776585804068
target_gpu,0.015,0.004183282398563353,1648.5484680733393,2588.904819882,7.966792239245e-07,2588.2443576430005,9999.999999999996,-7411.755642356996,7746.892717762126
target_gpu,0.016,0.0044621563912682575,623.5054779539531,979.7897947456,8.327118564466e-06,979.6928172324,10000.000000000002,-9020.307182767601,8781.320236887228
target_gpu,0.017,0.004741017543250376,-572.347298712008,905.5977455761,-905.5977455761,-904.9966900310501,9999.999999999998,-10904.996690031048,10017.691909858859
target_gpu,0.018000000000000002,0.005019884611205075,-1158.4822259512025,1850.497923294,-1850.497923294,-1849.5961369445,9999.999999999998,-11849.596136944498,10623.47232390015
target_gpu,0.019,0.005298768160046611,-901.5625896855562,1469.278782215,-1469.278782215,-1468.9594185755,10000.000000000002,-11468.959418575501,10335.87845316454
target_gpu,0.02,0.005577664207161492,-120.54524932885538,214.4933631622,-214.4933631622,-214.07893914035003,9999.999999999998,-10214.078939140349,9492.767367124017
