case,code,excluded,steps,runtime_s,dt_pore,frame,particles,material,Delta_max,Delta_maxAbs,Delta_mean,Delta_min,DivVel_max,DivVel_maxAbs,DivVel_mean,DivVel_min,ExcessPorePress_max,ExcessPorePress_maxAbs,ExcessPorePress_mean,ExcessPorePress_min,LapPorePress_max,LapPorePress_maxAbs,LapPorePress_mean,LapPorePress_min,LapZ_max,LapZ_maxAbs,LapZ_mean,LapZ_min,PorePressRate_max,PorePressRate_maxAbs,PorePressRate_mean,PorePressRate_min,PorePress_max,PorePress_maxAbs,PorePress_mean,PorePress_min,bottom_minus_ref_maxAbs,bottom_ref_excess_mean,top_excess_maxAbs,zmax,zmin
gpu_static_boundary,0,0,1,0.065253,4.76766e-07,PartCsv_0001,1040,1000,,,,,0,0,0,0,1000.00000772,1000.00000772,977.617650566,0,5370106,5370106,-0.00023785458738,-3864531,73.965759,73.965759,2.60759973047e-06,-73.965759,348768100,348768100,1.94152490211,-263498130,10760.9504175,10760.9504175,5882.61786037,49.0500020981,3.95351662519e-08,999.99999996,0,0.995,0.0049999999
cpu_static_boundary_reference,0,0,1,0.102760,4.76766e-07,PartCsv_0001,1040,1000,,,,,0,0,0,0,1000.00000067,1000.00000067,977.617649456,0,6399775.5,6399775.5,-2.98023223877e-11,-6105304,73.965767,73.965767,-2.79338001604e-07,-73.965767,418742210,418742210,-0.558903685093,-415776320,10760.9504175,10760.9504175,5882.61785926,49.0500020981,1.00998249764e-08,999.999999964,0,0.995,0.0049999999
gpu_diffusion,0,0,5,0.109019,4.76766e-07,PartCsv_0002,1040,1000,,,,,0,0,0,0,998.252023314,998.252023314,630.983976424,0,787083.69,787083.69,1.2000020477e-05,-731842.75,73.965759,73.965759,2.63811730655e-06,-73.965759,24208576,24208576,1.74414900008,-2243693,9865.32407474,9865.32407474,5535.98418623,49.0500020981,0.159787546126,104.533444773,0,0.995,0.0049999999
cpu_diffusion_reference,0,0,5,0.228857,4.76766e-07,PartCsv_0002,1040,1000,,,,,0,0,0,0,998.25201211,998.25201211,630.983971983,0,788525.13,788525.13,0.000260199974058,-732577.5,73.965767,73.965767,-2.79338001604e-07,-73.965767,24714702,24714702,-0.208769999329,-2558616.5,9865.32407238,9865.32407238,5535.98418179,49.0500020981,0.15978996662,104.533444832,0,0.995,0.0049999999
compare_static_boundary_gpu_minus_cpu_PorePress,,,,,,,1000,,6.10259999121e-05,6.10259999121e-05,1.10935793373e-06,-8.99400038179e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare_static_boundary_gpu_minus_cpu_ExcessPorePress,,,,,,,1000,,6.10260000258e-05,6.10260000258e-05,1.10932470022e-06,-8.99429994661e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare_static_boundary_gpu_minus_cpu_PorePressRate,,,,,,,1000,,152278220,152278220,2.50042858687,-69974110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare_static_boundary_gpu_minus_cpu_LapPorePress,,,,,,,1000,,2240773.5,2240773.5,-0.000237854525447,-1029669.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare_static_boundary_gpu_minus_cpu_LapZ,,,,,,,1000,,2.33622271e-05,2.33622271e-05,2.88693773248e-06,-1.50000000048e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare_diffusion_gpu_minus_cpu_PorePress,,,,,,,1000,,2.09515999359e-05,2.09515999359e-05,4.44117728563e-06,-1.36480000492e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare_diffusion_gpu_minus_cpu_ExcessPorePress,,,,,,,1000,,2.09515999927e-05,2.09515999927e-05,4.44116845978e-06,-1.36474999977e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare_diffusion_gpu_minus_cpu_PorePressRate,,,,,,,1000,,534650.4,982174,1.952919,-982174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare_diffusion_gpu_minus_cpu_LapPorePress,,,,,,,1000,,7867.348,14452.9,-0.000248199999733,-14452.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare_diffusion_gpu_minus_cpu_LapZ,,,,,,,1000,,2.33622271e-05,2.33622271e-05,2.91745530817e-06,-1.50000000048e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
