case,xi,interval,gencase_code,dual_code
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,0,0
Case1DConsolidation_PR_SW3B_Xi0p03_S20,0.03,20,0,0
Case1DConsolidation_PR_SW3B_Xi0p03_S40,0.03,40,0,0
Case1DConsolidation_PR_SW3B_Xi0p05_S10,0.05,10,0,0
Case1DConsolidation_PR_SW3B_Xi0p05_S20,0.05,20,0,0
Case1DConsolidation_PR_SW3B_Xi0p05_S40,0.05,40,0,0
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,0,0
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,0,0
Case1DConsolidation_PR_SW3B_Xi0p08_S40,0.08,40,0,0
Case1DConsolidation_PR_SW3B_Xi0p10_S10,0.10,10,0,0
Case1DConsolidation_PR_SW3B_Xi0p10_S20,0.10,20,0,0
Case1DConsolidation_PR_SW3B_Xi0p10_S40,0.10,40,0,0
