case,xi,interval,gencase_code,dual_code,code,excluded,steps,nframes,early_peak_excess_max_0p002_0p006,late_peak_excess_max_0p010_0p030,late_to_early_peak_ratio,final_vel_max,final_vel_mean,final_settlement_mean_z,final_Excess_min,final_Excess_max,final_Excess_mean,final_bottom_Excess_mean,final_top_Excess_maxAbs,final_bottom_grad_proxy,max_vel_over_time,max_PorePressRate_over_time,max_DivVelContribution_over_time,max_HydraulicContribution_over_time,max_PorePressureAccelDiff_over_time,max_top_Excess_maxAbs_over_time,max_bottom_grad_abs_over_time
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,0,0,0,0,62924,31,35497.51139647,24595.08184158,0.6928677778810663,0.0029344459000000002,0.00248564344814002,-0.0001025577209999978,0.0,17251.25923229,9615.595219322133,17246.45494114,0.0,-0.0188708840032632,0.021541074000000004,465522750.0,99068433.33333334,395081179.6160381,27.62275500000001,12.92664477966,0.3889707705038745
Case1DConsolidation_PR_SW3B_Xi0p03_S20,0.03,20,0,0,0,0,62924,31,35884.34412043,25091.34302138,0.6992281351770553,0.00279393190000002,0.002366133002230011,-9.814946200000096e-05,0.0,17240.03853351,9579.82547569321,17235.12267299,0.0,-0.009978089496144094,0.021519827,473858210.0,103156166.66666667,401752054.94053686,28.072857,10.85244826405,0.31051493400627805
Case1DConsolidation_PR_SW3B_Xi0p03_S40,0.03,40,0,0,0,0,62924,31,36085.08295416,25352.34386831,0.7025713062795468,0.0027260755000000094,0.00230633938206001,-9.592647699999985e-05,0.0,17231.3098209,9559.561299315934,17226.326486390004,0.0,-0.005339762996300124,0.021509545,479082530.0,105255860.00000001,406119590.3717296,28.367270000000005,9.896743004633,0.27949359550257213
Case1DConsolidation_PR_SW3B_Xi0p05_S10,0.05,10,0,0,0,0,62924,31,34023.21602786,23313.23421458,0.6852154774401661,0.0029266742000000085,0.0024780845646600134,-0.00010160585499999959,0.0,17272.15447173,9635.656146694155,17267.30433188,0.0,-0.01861852899673977,0.020513255,440485890.0,89258906.66666669,374533772.59055394,26.210148000000004,12.78035591477,0.3761057520114264
Case1DConsolidation_PR_SW3B_Xi0p05_S20,0.05,20,0,0,0,0,62924,31,34400.89670599,23736.3568192,0.6899923865957523,0.0027853034,0.002357327060889998,-9.731793000000157e-05,0.0,17304.60536703,9627.517735016474,17299.62960039,0.0,-0.009478397500060964,0.020493548,448434020.0,92943480.00000001,380903507.964662,26.640211000000004,10.73010852626,0.29959234300440585
Case1DConsolidation_PR_SW3B_Xi0p05_S40,0.05,40,0,0,0,0,62924,31,34597.39238885,23958.49701618,0.6924942997698669,0.0027148926000000167,0.002295993527800009,-9.515306300000096e-05,0.0,17320.39706458,9622.621948230068,17315.35424957,0.0,-0.004697574506280944,0.020484045,453393660.0,94837813.33333334,385050134.35202175,26.920105,9.7868223805,0.2693299839975225
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,0,0,0,0,62924,31,31992.69751515,21747.6146272,0.6797680819787552,0.0028990970000000007,0.002453859156000015,-0.00010013090200000028,0.0,17178.71461231,9586.978647614096,17173.845933390003,0.0,-0.018219836496427888,0.019099232000000004,406293470.0,84445046.66666669,346391213.32449883,24.272789000000003,12.56627279982,0.3578716199936025
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,0,0,0,0,62924,31,32356.66079675,22089.25066827,0.6826801692246535,0.0027535488000000013,0.002332273723990011,-9.600474200000445e-05,0.0,17250.44275303,9603.79895495647,17245.44640742,0.0,-0.008890001001418568,0.019081634,413706400.0,82722733.33333334,352343316.9656813,24.674990000000008,10.55125407874,0.28413832649857795
Case1DConsolidation_PR_SW3B_Xi0p08_S40,0.08,40,0,0,0,0,62924,31,32545.8471075,22267.70995454,0.6841951257556463,0.0026812165,0.002270908662530018,-9.392019799999976e-05,0.0,17287.57388414,9611.912858215528,17282.49593774,0.0,-0.004047268994327169,0.019073151,418299870.0,81829726.66666667,356184925.8042814,24.934811000000003,9.621890689561,0.25496406200545607
Case1DConsolidation_PR_SW3B_Xi0p10_S10,0.10,10,0,0,0,0,62924,31,30746.17757363,20893.98059551,0.679563517951906,0.002874573000000003,0.002434871383430009,-9.914606599999912e-05,0.0,17072.41674684,9526.573282775229,17067.549474900003,0.0,-0.01805890000105137,0.018234147000000003,385522500.0,82212106.66666667,329245477.2246008,23.090834000000005,12.42204984118,0.3463805100054742
Case1DConsolidation_PR_SW3B_Xi0p10_S20,0.10,20,0,0,0,0,62924,31,31104.22343501,21195.73203694,0.6814422511215216,0.0027289444000000037,0.0023134079419800065,-9.511283699999803e-05,0.0,17162.07811871,9554.513776568992,17157.077820350005,0.0,-0.008630790496681584,0.018217836,392602210.0,80544806.66666667,334937622.0489297,23.475706000000002,10.42999611177,0.2744195689974731
Case1DConsolidation_PR_SW3B_Xi0p10_S40,0.10,40,0,0,0,0,62924,31,31288.86358961,21352.97325423,0.6824464299598474,0.0026547846000000066,0.0022519683753200203,-9.30746779999968e-05,0.0,17207.05719533,9568.2386168434,17201.98086387,0.0,-0.0037013434957771096,0.018209996,396972740.0,79680073.33333334,338592882.4186205,23.723244,9.512947730054,0.24593649349844782
