case,xi,interval,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydro_mean,bottom_Excess_mean,bottom_grad_proxy,top_Excess_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,0,0.0,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000000000005,9760.950000981,4904.999999715509,0.0,0.0,0.0,0.0,9711.9004154205,9711.900000490503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,1,0.001,0.0095637925,0.009094982523700028,-4.709745000003032e-06,61.8796888246,12438.33029157,5564.848955828119,49.0972842000002,9760.978935576,4905.046202313971,12.78235979344,2707.712347047,659.8025241960382,2707.712347047,12389.283987199997,9711.932631003,2677.350939340001,-0.1755349718000616,12.92664477966,59840600.00000001,44797361.81821272,67374296.0,4.411296800000051
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,2,0.002,0.018554555000000004,0.014446236497999998,-1.691051300000044e-05,49.23581332307,23532.0825493,10903.572989018556,49.23589949999967,9761.013219564,4905.165891848051,0.0,13815.95855056,5998.406890679861,13815.95855056,23483.046086018996,9711.976760306998,13771.0689135,-0.3889707705038745,0.0,90446553.33333334,68435445.74379885,94071448.0,11.10593200000034
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,3,0.003,0.021541074000000004,0.012874713237300047,-3.115886199999598e-05,49.44034271518,37994.16365116,19783.56556371159,49.44053609999978,9761.024745333001,4905.305668151716,0.0,28258.76952743,14878.259706919212,28258.76952743,37945.134115778004,9711.995212426504,28233.13849037,-0.3363119929927052,0.0,64101457.33333334,247513052.13251787,311614460.0,16.85608700000056
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,4,0.004,0.013108730000000004,0.005951735372894427,-4.0827535999999255e-05,49.6195438483,45245.40307981,25403.32194358102,49.619470500000354,9761.025151467,4905.400517843644,0.0,35497.51139647,20497.92122094773,35497.51139647,45196.37544953199,9711.997524643502,35484.37751032,-0.12311433750437573,0.0,70441566.66666667,395081179.6160381,465522750.0,27.62275500000001
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,5,0.005,0.0034085647000000013,0.0018027943634805563,-4.29686590000056e-05,49.67544750236,40885.52112043,22997.32659547668,49.675583700000224,9761.02703793,4905.421522260277,0.0,31133.00265638,18091.90486420047,31133.00265638,40836.493580925504,9711.999502830002,31124.49366448,0.1286788185061596,0.0,26644242.0,327890794.2140673,329128740.0,25.568768000000055
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,6,0.006,0.011964696000000018,0.004433533050990134,-3.980138199999892e-05,49.60008265716,29416.43516844,15546.414602666902,49.60014480000018,9761.031131643,4905.390451272939,0.0,19666.51851024,10641.023940867308,19666.51851024,29367.408029170998,9712.0039972815,19655.403617899996,0.17971785299960175,0.0,99068433.33333334,130571689.4305131,77991424.0,14.15152300000006
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,7,0.007,0.008172421700000022,0.002264124458866046,-3.6491687999998023e-05,49.48872991263,20021.05043334,9426.84729008963,49.488507000000126,9761.034237489,4905.357983174815,-69.66162465511,10269.70476995,4521.48907232167,10269.70476995,19972.023942276996,9712.0077525495,10260.015776140002,0.07160856750306266,0.0,72515306.66666667,51593102.48603466,96559408.0,8.028049500000105
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,8,0.008,0.0039189793,0.003113646891280025,-3.7135334999996204e-05,49.46885154086,18400.39638446,8465.645559565699,49.468592700000265,9761.036539896,4905.3642973518545,-62.96019171673,8647.253506722,3560.2810446919775,8647.253506722,18351.3705023045,9712.010659743004,8639.35942889,-0.10258351579977898,0.0,34472636.66666667,28481422.468645602,31089414.0,7.460950900000097
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,9,0.009000000000000001,0.010823437,0.006735026243089994,-4.228882500000066e-05,49.54637564227,23572.7525901,11926.256509298608,49.54638600000016,9761.040257886,4905.414853088739,0.0,13818.83763848,7020.841456452293,13818.83763848,23523.727606491997,9712.015280252996,13811.71191409,-0.15910165649984265,0.0,35646306.66666667,91811994.74006116,126973300.0,8.204966500000006
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,10,0.01,0.011680949000000012,0.007113297909659977,-4.949499800000461e-05,49.66140280925,30508.6589765,16368.903464912963,49.66155540000053,9761.045872149,4905.485545645917,0.0,20756.96507365,11463.417723988203,20756.96507365,30459.6354481635,9712.022349829498,20747.612685010004,-0.14408632949198363,0.0,34478063.333333336,187982907.14305136,222460930.0,13.166548000000008
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,11,0.011,0.007706515500000014,0.00480268203066,-5.560101300000285e-05,49.75946918252,34345.45822735,18772.447022697357,49.75926300000029,9761.051664954,4905.545445653016,0.0,24595.08184158,13866.90137820915,24595.08184158,34296.436395861,9712.029837312002,24584.40614573,-0.06459752600130741,0.0,22387981.333333336,231764349.33944958,254152300.0,17.006531000000173
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,12,0.012,0.0025740797000000275,0.0018964188387000163,-5.890487499999815e-05,49.80719738984,33501.37734104,18226.604235858536,49.80713580000014,9761.055836166,4905.577856539266,0.0,23750.66039369,13321.026172406539,23750.66039369,33452.35686541799,9712.035361322998,23740.321089040008,-0.04173444749540067,0.0,14970164.66666667,205327493.28576285,203272580.0,16.480175000000028
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,13,0.013000000000000001,0.0018309723000000582,0.0007598790496832611,-5.984513899999752e-05,49.8057217618,29698.00320303,15844.058124952735,49.80595859999967,9761.05816506,4905.587080529131,0.0,19944.49975577,10938.470851347452,19944.49975577,29648.983476111996,9712.038438720001,19936.944618679998,0.04783354699611664,0.0,30886078.66666667,142942362.99898064,113607000.0,12.81894800000005
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,14,0.014,0.0017243336000000394,0.0006928606377983521,-6.0157010000000285e-05,49.78644820493,25949.76384614,13518.010421636034,49.78673099999999,9761.059755261,4905.590139983575,0.0,16194.65696585,8612.420078222627,16194.65696585,25900.744470289505,9712.040381590501,16188.703675670002,0.027256687502813293,0.0,23171305.333333336,88306496.88413185,65135200.0,9.3235111
Case1DConsolidation_PR_SW3B_Xi0p03_S10,0.03,10,15,0.015,0.0025108953,0.002173585597400009,-6.15015570000004e-05,49.79024225531,24461.76223117,12619.431588974236,49.79016449999982,9761.061792798,4905.603329989647,0.0,14706.42332669,7713.828029110922,14706.42332669,24412.743219243002,9712.042783568999,14700.70002183,-0.019278040001154295,0.0,11383718.666666668,78819790.15630311,80713448.0,8.416827200000013
