case,xi,TimeMax,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydro_mean,bottom_Excess_mean,bottom_grad_proxy,top_Excess_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3C_Xi0p05_T0p05,0.05,0.05,0,0.0,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000000000005,9760.950000981,4904.999999715509,0.0,0.0,0.0,0.0,9711.9004154205,9711.900000490503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case1DConsolidation_PR_SW3C_Xi0p05_T0p05,0.05,0.05,1,0.005,0.0028644784,0.0015413921210373795,-4.169524299999844e-05,49.65204172185,39735.63198835,22254.247327214147,49.652235900000534,9761.026521924001,4905.409030049317,0.0,29983.41450887,17348.838094960705,29983.41450887,39686.60401380299,9711.998548316998,29974.60505114,0.11423775799266878,0.0,24985452.66666667,311778542.198437,313187680.0,24.31769600000008
Case1DConsolidation_PR_SW3C_Xi0p05_T0p05,0.05,0.05,2,0.01,0.010299189000000002,0.0063958215440500284,-4.8826447999995516e-05,49.6532825291,29912.181518,15993.857134192342,49.653413099999916,9761.045479749,4905.478987170372,0.0,20160.31616504,11088.377941827914,20160.31616504,29863.157724428504,9712.021692559501,20151.135620619993,-0.12553793450570083,0.0,29201684.000000004,177392275.32925585,206593940.0,12.59007500000008
Case1DConsolidation_PR_SW3C_Xi0p05_T0p05,0.05,0.05,3,0.015,0.0026084560000000055,0.0023135607067700068,-6.126766700000346e-05,49.79016572197,25133.46627885,13054.977680684678,49.79016449999982,9761.061518118,4905.601035528785,0.0,15378.41932941,8149.37641744881,15378.41932941,25084.446990097997,9712.042229303997,15372.404342999997,-0.02128226550303225,0.0,11605540.000000002,90594038.42881413,92359256.0,8.585087800000013
Case1DConsolidation_PR_SW3C_Xi0p05_T0p05,0.05,0.05,4,0.02,0.0024431047000000126,0.002082498411150013,-7.693242799999811e-05,49.98885455682,28435.83414883,15250.574028820896,49.98901320000025,9761.076611784,4905.754706834173,0.0,18681.39804547,10344.819112411516,18681.39804547,28386.818817449494,9712.061278362002,18674.757119509995,-0.03873643500264734,0.0,10606598.0,137703734.01155284,132712570.0,11.45729500000001
Case1DConsolidation_PR_SW3C_Xi0p05_T0p05,0.05,0.05,5,0.025,0.0035894348000000244,0.002842352118780004,-8.928512900000008e-05,50.12488281245,27760.68195391,14922.534845858285,50.124685500000176,9761.08842891,4905.875886831005,0.0,18005.12458829,10016.658716830225,18005.12458829,27711.669523424993,9712.076001210004,17999.59310828,-0.027613512495008763,0.0,10534164.666666668,133364186.20387359,136105760.0,10.748880000000021
Case1DConsolidation_PR_SW3C_Xi0p05_T0p05,0.05,0.05,6,0.03,0.0029266742000000085,0.0024780845646600134,-0.00010160585499999959,50.26610459895,27028.4041497,14541.653098544335,50.26614569999978,9761.099402376,4905.996753153069,0.0,17272.15447173,9635.656146694155,17272.15447173,26979.394450103002,9712.089703818001,17267.30433188,-0.01861852899673977,0.0,9085032.666666668,124249571.67108394,124667420.0,10.115550000000113
Case1DConsolidation_PR_SW3C_Xi0p05_T0p05,0.05,0.05,7,0.035,0.0028052800000000107,0.002372176932000014,-0.00011409859899999609,50.41308835685,27161.47599038,14699.328027826987,50.41290329999986,9761.10972642,4906.119306971708,0.0,17404.99313762,9793.208513408677,17404.99313762,27112.4688175845,9712.102556879998,17400.36584461999,-0.014077471507334849,0.0,8390979.333333334,129361026.7454978,128721330.0,10.330879000000198
Case1DConsolidation_PR_SW3C_Xi0p05_T0p05,0.05,0.05,8,0.04,0.002902836100000004,0.002411209428310031,-0.00012611077799999995,50.55312150722,26996.37061621,14660.585628636069,50.55328439999949,9761.119241139,4906.237146447699,0.0,17239.5062338,9754.348262815078,17239.5062338,26947.365716723503,9712.114343104504,17235.250955139993,-0.016599430004134774,0.0,7964666.666666667,126236522.751614,126489230.0,10.359047000000015
Case1DConsolidation_PR_SW3C_Xi0p05_T0p05,0.05,0.05,9,0.045,0.0028281780000000006,0.002351572401610034,-0.0001379176039999974,50.69175013555,26783.4782017,14587.272495584342,50.69189970000004,9761.128213365,4906.352971410755,0.0,17026.34607716,9680.919316157439,17026.34607716,26734.475420671504,9712.125436252501,17022.349571069997,-0.015029295002022991,0.0,7457371.333333334,125346126.12300375,125403960.0,10.25616200000004
