case,xi,TimeMax,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydro_mean,bottom_Excess_mean,bottom_grad_proxy,top_Excess_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,0,0.0,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000000000005,9760.950000981,4904.999999715509,0.0,0.0,0.0,0.0,9711.9004154205,9711.900000490503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,1,0.01,0.010299189000000002,0.0063958215440500284,-4.8826447999995516e-05,49.6532825291,29912.181518,15993.857134192342,49.653413099999916,9761.045479749,4905.478987170372,0.0,20160.31616504,11088.377941827914,20160.31616504,29863.157724428504,9712.021692559501,20151.135620619993,-0.12553793450570083,0.0,29201684.000000004,177392275.32925585,206593940.0,12.59007500000008
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,2,0.02,0.0024431047000000126,0.002082498411150013,-7.693242799999811e-05,49.98885455682,28435.83414883,15250.574028820896,49.98901320000025,9761.076611784,4905.754706834173,0.0,18681.39804547,10344.819112411516,18681.39804547,28386.818817449494,9712.061278362002,18674.757119509995,-0.03873643500264734,0.0,10606598.0,137703734.01155284,132712570.0,11.45729500000001
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,3,0.03,0.0029266742000000085,0.0024780845646600134,-0.00010160585499999959,50.26610459895,27028.4041497,14541.653098544335,50.26614569999978,9761.099402376,4905.996753153069,0.0,17272.15447173,9635.656146694155,17272.15447173,26979.394450103002,9712.089703818001,17267.30433188,-0.01861852899673977,0.0,9085032.666666668,124249571.67108394,124667420.0,10.115550000000113
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,4,0.04,0.002902836100000004,0.002411209428310031,-0.00012611077799999995,50.55312150722,26996.37061621,14660.585628636069,50.55328439999949,9761.119241139,4906.237146447699,0.0,17239.5062338,9754.348262815078,17239.5062338,26947.365716723503,9712.114343104504,17235.250955139993,-0.016599430004134774,0.0,7964666.666666667,126236522.751614,126489230.0,10.359047000000015
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,5,0.05,0.002788051300000008,0.002307864341570073,-0.00014959330600000003,50.82996883572,26665.67263431,14568.526213592368,50.829828300000415,9761.136759837,4906.467510047366,0.0,16908.3495961,9662.058494837354,16908.3495961,26616.671837342503,9712.1359682685,16904.535457700003,-0.013627158496092306,0.0,7067584.666666668,125983264.27998644,125916690.0,10.233056000000035
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,6,0.06,0.0027579400000000034,0.0022552424687003105,-0.0001724231829999976,51.1022093392,26397.85026388,14497.890532663563,51.10235009999965,9761.152698144,4906.691471140751,0.0,16640.15352426,9591.198847995094,16640.15352426,26348.853079569497,9712.155518126998,16636.697149050007,-0.013060631990811089,0.0,6463132.800000001,124287234.86918114,124298160.0,10.207097000000015
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,7,0.07,0.0027244492,0.002203468610190396,-0.0001947116150000004,51.37107655896,26154.00245685,14430.80668000085,51.37134029999965,9761.167444536,4906.9101206586765,0.0,16396.06099681,9523.896339248493,16396.06099681,26105.0085151055,9712.173505743001,16392.83459483,-0.011383524502889486,0.0,5967096.733333334,125525630.24668707,125526630.0,10.124099000000198
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,8,0.08,0.002703390100000009,0.0021610341711142916,-0.00021652966100000048,51.63713775232,25930.02782562,14364.314684105386,51.63738750000011,9761.181262902,4907.12415568992,0.0,16171.82363899,9457.190318569134,16171.82363899,25881.036840254503,9712.190278881002,16168.84614685999,-0.011363164006979787,0.0,5600977.066666667,123507765.0485899,123527990.0,10.143219000000006
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,9,0.09,0.002683352400000007,0.00212483417729873,-0.0002379355669999995,51.90096112374,25708.60353719,14292.723130689934,51.901080299999634,9761.194423998,4907.334147627772,0.0,15950.27814023,9385.388798061833,15950.27814023,25659.615272928502,9712.206164214002,15947.408693759997,-0.009806757003389066,0.0,5262947.333333334,125709779.52633367,125698880.0,10.02719900000015
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,10,0.1,0.00266773460000001,0.0020898789873166003,-0.00025897975300000106,52.16308792597,25513.3361466,14228.981047126335,52.16300730000009,9761.206986684,4907.54059109243,0.0,15754.80507196,9321.440271018446,15754.80507196,25464.3504366165,9712.221279461999,15752.12874368,-0.010143508503460907,0.0,5008832.533333334,123078258.388719,123089220.0,10.093354000000026
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,11,0.11,0.002644476000000016,0.002050897460673551,-0.0002796538430000053,52.42333380379,25316.3736656,14159.85498265456,52.42316850000038,9761.218772418,4907.743403915382,0.0,15557.77407778,9252.111359635303,15557.77407778,25267.390334044503,9712.235441178,15555.15447761,-0.008875897499819985,0.0,4761915.933333334,125206887.29595652,125188720.0,9.987597500000087
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,12,0.12,0.0026348210000000536,0.0020243469277979736,-0.00030001465949999826,52.68212246304,25131.8995515,14092.744554889316,52.682250599999605,9761.230119645,4907.943143525202,0.0,15373.1629136,9184.801193898265,15373.1629136,25082.918476173498,9712.249042007248,15370.66901651001,-0.009246166993762017,0.0,4606475.4,122775386.54570167,122775670.0,10.048071000000094
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,13,0.13,0.002618366400000088,0.0019923874030285844,-0.00032009089849999774,52.93968534761,24949.50264494,14022.823462026772,52.93956689999977,9761.241147066,4908.140091429794,0.0,15190.69565848,9114.683162197549,15190.69565848,24900.523709567497,9712.26221144175,15188.26108035,-0.007994565999979386,0.0,4438490.0,126199848.7108393,126194500.0,9.892813700000357
