case,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydro_mean,bottom_Excess_mean,bottom_grad_proxy,top_Excess_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,0,0.0,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000000000005,9760.950000981,4904.999999715509,0.0,0.0,0.0,0.0,9711.9004154205,9711.900000490503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,1,0.05,0.002589958500000008,0.002153963068490039,-0.0001395875919999984,50.70781249424,26432.53174322,14396.766522268237,50.707595700000496,9761.130565803,4906.369353993074,0.0,16675.27771272,9490.396938746564,16675.27771272,26383.528441888502,9712.127264836497,16671.400760610002,-0.013135883993527386,0.0,6799204.000000001,122425952.56472987,122427170.0,10.076926000000002
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,2,0.1,0.00246067530000001,0.0019449779599803412,-0.00024153413600000144,51.94167651567,25354.24103163,14094.420151994971,51.94139939999965,9761.198033097,4907.369449589721,0.0,15595.78633426,9187.050492195383,15595.78633426,25305.2520852565,9712.2090871035,15593.04258196,-0.00847380599770986,0.0,4793616.9333333345,121318523.7607883,121287300.0,9.922479600000047
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,3,0.15000000000000002,0.0024044656000000004,0.0018164711125781797,-0.0003353562990000004,53.13340203861,24521.4569166,13794.87274063008,53.13360870000001,9761.251178772,4908.289845008695,0.0,14762.78883417,8886.582690419964,14762.78883417,24472.478007892998,9712.272274785002,14760.205319139995,-0.02835190450787195,0.0,3950137.6666666674,119121246.95820594,119132970.0,9.825475700000002
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,4,0.2,0.0023552603000000457,0.001713658760259275,-0.0004234570813000003,54.29982003616,23818.22354358,13499.327716506079,54.299625300000535,9761.297343651,4909.15411368307,0.0,14058.88619757,8590.173391160368,14058.88619757,23769.2521572245,9712.325959666648,14056.925780569998,-0.006822261502748006,0.0,3441881.066666667,118256281.71253824,118257020.0,9.736120200000018
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,5,0.25,0.0023059321000000158,0.00162843697186823,-0.0005069597284000005,55.44315654298,23193.31562926,13206.552270062688,55.44327509999977,9761.339000835,4909.973274651097,0.0,13433.72796147,8296.578775748381,13433.72796147,23144.350247634997,9712.373621600702,13431.97621045,-0.005503017500814167,0.0,3101947.4,117366135.28168538,117364970.0,9.597044000000038
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,6,0.30000000000000004,0.002252548000000011,0.0015548715333009787,-0.0005865053222999977,56.56123316341,22625.12154413,12918.980942828935,56.561320799999955,9761.377131324,4910.753616927308,0.0,12865.58875827,8008.227109018569,12865.58875827,22576.161244138497,9712.41683263965,12863.743995269997,-0.02085813150188187,0.0,2854366.133333334,113987023.59565072,113993440.0,9.400198000000005
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,7,0.35000000000000003,0.002191952000000018,0.0014867262574086832,-0.0006625255390000026,57.65133168273,22101.13413677,12638.32072417889,57.651211800000254,9761.412547386,4911.499375253111,0.0,12341.18560449,7726.821140924552,12341.18560449,22052.178257322004,9712.456670412,12339.721172020005,-0.0052204049952706555,0.0,2602334.6000000006,111624972.36697249,111631530.0,9.187913900000003
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,8,0.4,0.0021291652000000136,0.001425849759781023,-0.0007353278148999992,58.71113407278,21612.69518761,12364.435357933844,58.711280399999914,9761.445584523,4912.213565579655,0.0,11852.64187799,7452.221593031861,11852.64187799,21563.7433456995,9712.49374480545,11851.249186300001,-0.004010184000435402,0.0,2474879.666666667,109416389.59157325,109418580.0,8.94513510000004
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,9,0.45,0.0020655741000001134,0.001370527156459349,-0.0008052287617999985,59.73991609515,21151.38400324,12098.156145103667,59.73985890000036,9761.476871556,4912.899293868794,0.0,11391.4206229,7185.2566285949315,11391.4206229,21102.4362227585,9712.5290931294,11389.90671369,-0.01627219300098659,0.0,2353388.5333333337,105199195.88786954,105205560.0,8.674107600000053
