case,time,xi,shepard,interval,gencase_code,dual_code
Case1DConsolidation_PR_SW2C_T0p0015_Xi4em5_S0,0.0015,4e-5,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0015_Xi4em5_S20,0.0015,4e-5,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0015_Xi4em5_S40,0.0015,4e-5,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p01_S0,0.0015,0.01,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p01_S20,0.0015,0.01,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p01_S40,0.0015,0.01,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p03_S0,0.0015,0.03,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p03_S20,0.0015,0.03,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p03_S40,0.0015,0.03,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p05_S0,0.0015,0.05,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p05_S20,0.0015,0.05,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p05_S40,0.0015,0.05,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0020_Xi4em5_S0,0.0020,4e-5,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0020_Xi4em5_S20,0.0020,4e-5,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0020_Xi4em5_S40,0.0020,4e-5,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p01_S0,0.0020,0.01,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p01_S20,0.0020,0.01,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p01_S40,0.0020,0.01,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p03_S0,0.0020,0.03,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p03_S20,0.0020,0.03,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p03_S40,0.0020,0.03,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p05_S0,0.0020,0.05,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p05_S20,0.0020,0.05,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p05_S40,0.0020,0.05,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0025_Xi4em5_S0,0.0025,4e-5,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0025_Xi4em5_S20,0.0025,4e-5,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0025_Xi4em5_S40,0.0025,4e-5,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p01_S0,0.0025,0.01,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p01_S20,0.0025,0.01,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p01_S40,0.0025,0.01,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p03_S0,0.0025,0.03,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p03_S20,0.0025,0.03,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p03_S40,0.0025,0.03,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p05_S0,0.0025,0.05,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p05_S20,0.0025,0.05,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p05_S40,0.0025,0.05,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0030_Xi4em5_S0,0.0030,4e-5,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0030_Xi4em5_S20,0.0030,4e-5,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0030_Xi4em5_S40,0.0030,4e-5,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p01_S0,0.0030,0.01,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p01_S20,0.0030,0.01,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p01_S40,0.0030,0.01,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p03_S0,0.0030,0.03,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p03_S20,0.0030,0.03,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p03_S40,0.0030,0.03,1,40,0,0
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p05_S0,0.0030,0.05,0,0,0,0
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p05_S20,0.0030,0.05,1,20,0,0
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p05_S40,0.0030,0.05,1,40,0,0
