case,time,xi,shepard,interval,gencase_code,dual_code,excluded,steps,final_part,nmat,zmin,zmax,H,K,G,vel_max,vel_mean,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Eq4_p0_max,Eq4_minus_hydro_max,L2_PorePress_vs_Eq4,MaxErr_PorePress_vs_Eq4,L2_Excess_vs_Eq4_minus_hydro,MaxErr_Excess_vs_Eq4_minus_hydro,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW2C_T0p0015_Xi4em5_S0,0.0015,4e-5,0,0,0,0,0,3147,PartCsv_0001.csv,1000,0.0049949586,0.99498898,0.9899940214,1666666.6666666665,769230.7692307692,0.014704598,0.012849080160000083,288.0264557604,17511.30777369,7468.58305042728,49.15810619999978,9760.999456134,4905.101872965245,238.8681588289,7797.152082854,2563.4809831420075,20312.834235065944,10551.834778931943,2935.5815472238187,3894.2206502652407,2935.5817571127395,3894.22096844224,83988813.33333334,70800938.18464153,95622336.0,8.8161097
Case1DConsolidation_PR_SW2C_T0p0015_Xi4em5_S20,0.0015,4e-5,1,20,0,0,0,3147,PartCsv_0001.csv,1000,0.0049949544,0.99498898,0.9899940256,1666666.6666666665,769230.7692307692,0.014704317,0.012873589257200016,310.8003693244,17404.45960118,7461.090088387922,49.15810619999978,9760.999497336,4905.101946461755,261.6420733055,7689.110900038,2555.9879442344886,20312.834321242124,10551.834823906123,2948.2546115437713,3902.3654487882395,2948.2548247288173,3902.36582375324,84998360.0,68571474.27842338,96294856.0,8.611493100000127
Case1DConsolidation_PR_SW2C_T0p0015_Xi4em5_S40,0.0015,4e-5,1,40,0,0,0,3147,PartCsv_0001.csv,1000,0.0049949563,0.99498898,0.9899940237,1666666.6666666665,769230.7692307692,0.014704444,0.012861425787899955,299.2440440137,17464.28573843,7464.935645644569,49.15810619999978,9760.999478697,4905.101917728276,250.0857475649,7750.065463879,2559.83353958285,20312.834282257663,10551.834803560663,2941.8012366969992,3898.6015833482397,2941.8014420567083,3898.60193004324,84495233.33333334,70660143.39408767,96111448.0,8.74550910000001
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p01_S0,0.0015,0.01,0,0,0,0,0,3147,PartCsv_0001.csv,1000,0.0049949903,0.99498904,0.9899940497,1666666.6666666665,769230.7692307692,0.014517851,0.012688979596000027,285.7260095516,17425.76286526,7440.389942869622,49.15751760000009,9760.999145157,4905.100987740273,236.5686313586,7711.074669416,2535.288718652719,20312.83481572926,10551.83567057226,2966.501924894576,3927.6111342290897,2966.502186536235,3927.611487134089,82952713.33333334,70002839.52979954,94453664.0,8.7211943
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p01_S20,0.0015,0.01,1,20,0,0,0,3147,PartCsv_0001.csv,1000,0.0049949861,0.99498904,0.9899940539,1666666.6666666665,769230.7692307692,0.014517564,0.012713165154900053,308.2740841988,17319.90718211,7432.993280308507,49.15751760000009,9760.999186359,4905.10106663229,259.116707006,7604.036160136,2527.891980095572,20312.834901905437,10551.835715546436,2979.3062505233784,3936.7280249695523,2979.3065033463818,3936.728259139552,83947953.33333333,67793331.39483522,95114864.0,8.518113100000077
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p01_S40,0.0015,0.01,1,40,0,0,0,3147,PartCsv_0001.csv,1000,0.004994988,0.99498904,0.989994052,1666666.6666666665,769230.7692307692,0.014517694,0.012701160248499982,296.8296406114,17379.17320582,7436.791026262247,49.15751760000009,9760.999167720001,4905.101026421097,247.6722629581,7664.419667442,2531.6897637166285,20312.834862920976,10551.835695200974,2972.7827311531837,3932.023371749552,2972.782990274843,3932.023574094552,83451966.66666669,69861286.88202515,94935440.0,8.651051500000017
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p03_S0,0.0015,0.03,0,0,0,0,0,3147,PartCsv_0001.csv,1000,0.0049950527,0.99498922,0.9899941673,1666666.6666666665,769230.7692307692,0.014152275,0.012375631551000023,281.1330037723,17257.61325045,7384.922085290997,49.155751799999926,9760.998533013,4905.099326279426,231.9774357422,7541.880984073,2479.8225222666633,20312.83722866232,10551.83869564932,3027.8301582723516,3994.7958093925517,3027.8304221769004,3994.7960813055506,80923686.66666669,68437768.48141354,92164752.0,8.534833
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p03_S20,0.0015,0.03,1,20,0,0,0,3147,PartCsv_0001.csv,1000,0.004995048,0.99498922,0.9899941720000001,1666666.6666666665,769230.7692307692,0.014152005,0.012399183107200014,303.2679751087,17153.73467205,7377.733676455428,49.155751799999926,9760.99857912,4905.0994160114915,254.1124080201,7436.839395537,2472.634039124251,20312.83732509757,10551.838745977571,3040.843141694764,4005.3254446428637,3040.843391336735,4005.3258944328645,81890873.33333334,66267162.4785593,92803728.0,8.334715800000069
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p03_S40,0.0015,0.03,1,40,0,0,0,3147,PartCsv_0001.csv,1000,0.0049950504,0.99498922,0.9899941696,1666666.6666666665,769230.7692307692,0.014152131,0.01238749370149997,292.038919887,17211.86679725,7381.423810724726,49.155751799999926,9760.998555576,4905.099370551957,242.8833523621,7496.067534861,2476.324210224011,20312.83727585404,10551.83872027804,3034.2130014864665,3999.9570524425526,3034.2132590412425,3999.957355711551,81408920.0,68294414.73754673,92632112.0,8.465517000000013
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p05_S0,0.0015,0.05,0,0,0,0,0,3147,PartCsv_0001.csv,1000,0.0049951132,0.9949894,0.9899942868,1666666.6666666665,769230.7692307692,0.013798952,0.012072819564000059,276.6504017133,17094.19321094,7330.975194035887,49.15398599999977,9760.997939508,4905.097704048771,227.4965981954,7377.448971891,2425.877250713075,20312.839680579844,10551.841741071843,3088.0827751305483,4062.215987358395,3088.083044433454,4062.216124644394,78960926.66666667,66920409.25321102,89950112.0,8.3538198
