case_id,time_s,time_integration_mode,boundary_operator,feedback,top_drained_residual_pa,bottom_noflux_proxy_pa,bottom_mean_pa,bottom_reference_mean_pa
l3c_op1_m0,0.0,0,1,0,0.0,0.0,10000.0,10000.0
l3c_op1_m0,0.001,0,1,0,0.0,0.024834597506924183,9825.173659869002,9825.148825271495
l3c_op1_m0,0.002,0,1,0,0.0,0.04899308000130986,8725.773394068001,8725.724400988
l3c_op1_m0,0.003,0,1,0,0.0,0.04728790099852631,7399.730330352,7399.683042451002
l3c_op1_m0,0.004,0,1,0,0.0,0.04079996900327387,6207.111043593001,6207.070243623998
l3c_op1_m0,0.005,0,1,0,0.0,0.034354304997577856,5192.225547441999,5192.191193137001
l3c_op1_m1,0.0,1,1,0,0.0,0.0,10000.0,10000.0
l3c_op1_m1,0.001,1,1,0,0.0,0.024834597506924183,9825.173659869002,9825.148825271495
l3c_op1_m1,0.002,1,1,0,0.0,0.04899308000130986,8725.773394068001,8725.724400988
l3c_op1_m1,0.003,1,1,0,0.0,0.04728790099852631,7399.730330352,7399.683042451002
l3c_op1_m1,0.004,1,1,0,0.0,0.04079996900327387,6207.111043593001,6207.070243623998
l3c_op1_m1,0.005,1,1,0,0.0,0.034354304997577856,5192.225547441999,5192.191193137001
l3c_op2_m0,0.0,0,2,0,0.0,0.0,10000.0,10000.0
l3c_op2_m0,0.001,0,2,0,0.0,0.0,0.0,0.0
l3c_op2_m0,0.002,0,2,0,0.0,0.0,0.0,0.0
l3c_op2_m0,0.003,0,2,0,0.0,0.0,0.0,0.0
l3c_op2_m0,0.004,0,2,0,0.0,0.0,0.0,0.0
l3c_op2_m0,0.005,0,2,0,0.0,0.0,0.0,0.0
l3c_op2_m1,0.0,1,2,0,0.0,0.0,10000.0,10000.0
l3c_op2_m1,0.001,1,2,0,0.0,0.0,0.0,0.0
l3c_op2_m1,0.002,1,2,0,0.0,0.0,0.0,0.0
l3c_op2_m1,0.003,1,2,0,0.0,0.0,0.0,0.0
l3c_op2_m1,0.004,1,2,0,0.0,0.0,0.0,0.0
l3c_op2_m1,0.005,1,2,0,0.0,0.0,0.0,0.0
l5_op1_m0,0.0,0,1,1,0.0,0.0,10000.0,10000.0
l5_op1_m0,0.001,0,1,1,0.0,0.3066340949990263,8155.664566988,8155.357932893001
l5_op1_m0,0.002,0,1,1,0.0,0.3435929405013667,-3636.070154763999,-3636.4137477045006
l5_op1_m0,0.003,0,1,1,0.0,0.043776213002274744,-8184.250306261997,-8184.294082474999
l5_op1_m0,0.004,0,1,1,0.0,-0.12208116499823518,-7230.190763706998,-7230.068682542
l5_op1_m0,0.005,0,1,1,0.0,-0.23114587800046138,-2053.783743394,-2053.5525975159994
l5_op1_m1,0.0,1,1,1,0.0,0.0,10000.0,10000.0
l5_op1_m1,0.001,1,1,1,0.0,0.3066340949990263,8155.664566988,8155.357932893001
l5_op1_m1,0.002,1,1,1,0.0,0.3435929405013667,-3636.070154763999,-3636.4137477045006
l5_op1_m1,0.003,1,1,1,0.0,0.043776213002274744,-8184.250306261997,-8184.294082474999
l5_op1_m1,0.004,1,1,1,0.0,-0.12208116499823518,-7230.190763706998,-7230.068682542
l5_op1_m1,0.005,1,1,1,0.0,-0.23114587800046138,-2053.783743394,-2053.5525975159994
l5_op2_m0,0.0,0,2,1,0.0,0.0,10000.0,10000.0
l5_op2_m0,0.001,0,2,1,0.0,-12234821.0,1127467640.139,1139702461.139
l5_op2_m0,0.002,0,2,1,0.0,-0.2099168931873,-0.2099168931873,0.0
l5_op2_m0,0.003,0,2,1,0.0,-248.6479825474,-248.6479825474,0.0
l5_op2_m0,0.004,0,2,1,0.0,-22.29459722844,-22.29459722844,0.0
l5_op2_m0,0.005,0,2,1,0.0,12.70475373112,12.70475373112,0.0
l5_op2_m1,0.0,1,2,1,0.0,0.0,10000.0,10000.0
l5_op2_m1,0.001,1,2,1,0.0,-12234821.0,1127467640.139,1139702461.139
l5_op2_m1,0.002,1,2,1,0.0,-0.2099168931873,-0.2099168931873,0.0
l5_op2_m1,0.003,1,2,1,0.0,-248.6479825474,-248.6479825474,0.0
l5_op2_m1,0.004,1,2,1,0.0,-22.29459722844,-22.29459722844,0.0
l5_op2_m1,0.005,1,2,1,0.0,12.70475373112,12.70475373112,0.0
verlet_l3c_op1_m0,0.0,0,1,0,0.0,0.0,10000.0,10000.0
verlet_l3c_op1_m0,0.001,0,1,0,0.0,0.024834597506924183,9825.173659869002,9825.148825271495
verlet_l3c_op1_m0,0.002,0,1,0,0.0,0.04899308000130986,8725.773394068001,8725.724400988
verlet_l3c_op1_m0,0.003,0,1,0,0.0,0.04728790099852631,7399.730330352,7399.683042451002
verlet_l3c_op1_m0,0.004,0,1,0,0.0,0.04079996900327387,6207.111043593001,6207.070243623998
verlet_l3c_op1_m0,0.005,0,1,0,0.0,0.034354304997577856,5192.225547441999,5192.191193137001
verlet_l3c_op1_m1,0.0,1,1,0,0.0,0.0,10000.0,10000.0
verlet_l3c_op1_m1,0.001,1,1,0,0.0,0.024834597352310084,9825.173661081002,9825.14882648365
verlet_l3c_op1_m1,0.002,1,1,0,0.0,0.04899307370033057,8725.773397872,8725.7244047983
verlet_l3c_op1_m1,0.003,1,1,0,0.0,0.04728789055116067,7399.730336875,7399.683048984449
verlet_l3c_op1_m1,0.004,1,1,0,0.0,0.04079996870314062,6207.111051932003,6207.0702519633
verlet_l3c_op1_m1,0.005,1,1,0,0.0,0.0343543014023453,5192.225557500001,5192.1912031985985
