case_id,case,family,route,integrator,step_algorithm,time_integration_mode,boundary_operator,feedback,time_max_s,time_out_s,code,excluded,dtmin_adjustments,steps,runtime_s,peak_abs_excess_pa,min_excess_pa,bottom_rmse_pa,final_profile_rmse_pa,final_top_drained_residual_pa,final_bottom_noflux_proxy_pa,velocity_max_mps,divvel_max_abs,porepressrate_max_abs_pa_s,feedback_accel_max_abs_mps2,lap_porepress_max_abs,monotonic_violations,boundary_log_found,drained_pairs,noflux_pairs,bottom_noflux_pairs,ordinary_solid_noflux_pairs,boundary_pairs,inactive_boundary_neighbours,unique_drained,unique_noflux,unique_bottom_noflux,unique_ordinary_solid_noflux,mls_fallback
l3c_op1_m0,Case1DConsolidation_PR_TINT2_L3c_Op1_Mode0,L3c,feedback_off,Symplectic,2,0,1,0,0.005,0.001,0,0,0,5244,93.921822,10000.0,0.0,2766.35730713335,6426.865333360469,0.0,0.034354304997577856,0.0,0.0,125293450.0,0.0,2074446.9,0,no,,,,,,,,,,,
l3c_op1_m1,Case1DConsolidation_PR_TINT2_L3c_Op1_Mode1,L3c,feedback_off,Symplectic,2,1,1,0,0.005,0.001,0,0,0,5244,100.551956,10000.0,0.0,2766.35730713335,6426.865333360469,0.0,0.034354304997577856,0.0,0.0,125293450.0,0.0,2074446.9,0,no,,,,,,,,,,,
l3c_op2_m0,Case1DConsolidation_PR_TINT2_L3c_Op2_Mode0,BND1,feedback_off,Symplectic,2,0,2,0,0.005,0.001,0,0,0,5244,118.340027,10000.0,0.0,9128.709973071378,9674.740415175316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,yes,0,1180,490,690,1180,0,0,40,20,20,0
l3c_op2_m1,Case1DConsolidation_PR_TINT2_L3c_Op2_Mode1,BND1,feedback_off,Symplectic,2,1,2,0,0.005,0.001,0,0,0,5244,127.911346,10000.0,0.0,9128.709973071378,9674.740415175316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,yes,0,1180,490,690,1180,0,0,40,20,20,0
l5_op1_m0,Case1DConsolidation_PR_TINT2_L5_Op1_Mode0,L5,feedback_on,Symplectic,2,0,1,1,0.005,0.001,0,0,0,5244,139.303894,10000.0,-8186.760307279,12663.492097211698,10833.837125284848,0.0,-0.23114587800046138,0.011226165,0.10369496,154290320.0,9.3444185,1766704.9,2,no,,,,,,,,,,,
l5_op1_m1,Case1DConsolidation_PR_TINT2_L5_Op1_Mode1,L5,feedback_on,Symplectic,2,1,1,1,0.005,0.001,0,0,0,5244,144.557144,10000.0,-8186.760307279,12663.492097211698,10833.837125284848,0.0,-0.23114587800046138,0.011226165,0.10369496,154290320.0,9.3444185,1766704.9,2,no,,,,,,,,,,,
l5_op2_m0,Case1DConsolidation_PR_TINT2_L5_Op2_Mode0,BND1,feedback_on,Symplectic,2,0,2,1,0.005,0.001,0,973,10252,5244,58.277206,1177429286.014,-189893702.4635,460282654.2305344,195772887.22702125,0.0,12.70475373112,2611.7380539703017,33461.359,612631790000000.0,1301714.4865741257,8963181500000.0,3,yes,0,1180,490,690,1180,0,0,40,20,20,0
l5_op2_m1,Case1DConsolidation_PR_TINT2_L5_Op2_Mode1,BND1,feedback_on,Symplectic,2,1,2,1,0.005,0.001,0,973,10252,5244,57.962292,1177429286.014,-189893702.4635,460282654.2305344,195772887.22702125,0.0,12.70475373112,2611.7380539703017,33461.359,612631790000000.0,1301714.4865741257,8963181500000.0,3,yes,0,1180,490,690,1180,0,0,40,20,20,0
verlet_l3c_op1_m0,Case1DConsolidation_PR_TINT2_Verlet_L3c_Op1_Mode0,L3c,feedback_off,Verlet,1,0,1,0,0.005,0.001,0,0,0,5244,76.031952,10000.0,0.0,2766.35730713335,6426.865333360469,0.0,0.034354304997577856,7.312913742299485e-14,1.8154479e-12,125293450.0,0.0,2074446.9,0,no,,,,,,,,,,,
verlet_l3c_op1_m1,Case1DConsolidation_PR_TINT2_Verlet_L3c_Op1_Mode1,L3c,feedback_off,Verlet,1,1,1,0,0.005,0.001,0,0,0,5244,58.998245,10000.0,0.0,2766.3573009877164,6426.865338622097,0.0,0.0343543014023453,3.6745627260959417e-09,7.4325726e-08,125293450.0,0.0,2074446.9,0,no,,,,,,,,,,,
