case_id,time_s,dt_frame_s,deltaP_rate_mean_proxy_pa,deltaP_actual_mean_pa,deltaP_correction_mean_proxy_pa,relative_correction_proxy
l3c_op1_m0,0.001,0.001,0.0,-2873.5049403893154,-2873.5049403893154,-2873504940389315.5
l3c_op1_m0,0.002,0.001,-0.00018352998799085618,-1238.9767900671877,-1238.9766065371998,-6750812.878595775
l3c_op1_m0,0.003,0.001,-0.00010723999780416489,-953.4159113719788,-953.4158041319811,-8890486.97924305
l3c_op1_m0,0.004,0.001,-0.00016390000060200691,-780.4917986125242,-780.4916347125236,-4761998.97404373
l3c_op1_m0,0.005,0.001,-0.0001747599989324808,-649.9055620926683,-649.9053873326694,-3718845.2237503324
l3c_op1_m1,0.001,0.001,0.0,-2873.5049403893154,-2873.5049403893154,-2873504940389315.5
l3c_op1_m1,0.002,0.001,-0.00018352998799085618,-1238.9767900671877,-1238.9766065371998,-6750812.878595775
l3c_op1_m1,0.003,0.001,-0.00010723999780416489,-953.4159113719788,-953.4158041319811,-8890486.97924305
l3c_op1_m1,0.004,0.001,-0.00016390000060200691,-780.4917986125242,-780.4916347125236,-4761998.97404373
l3c_op1_m1,0.005,0.001,-0.0001747599989324808,-649.9055620926683,-649.9053873326694,-3718845.2237503324
l3c_op2_m0,0.001,0.001,0.0,-9800.0,-9800.0,-9800000000000000.0
l3c_op2_m0,0.002,0.001,0.0,0.0,0.0,0.0
l3c_op2_m0,0.003,0.001,0.0,0.0,0.0,0.0
l3c_op2_m0,0.004,0.001,0.0,0.0,0.0,0.0
l3c_op2_m0,0.005,0.001,0.0,0.0,0.0,0.0
l3c_op2_m1,0.001,0.001,0.0,-9800.0,-9800.0,-9800000000000000.0
l3c_op2_m1,0.002,0.001,0.0,0.0,0.0,0.0
l3c_op2_m1,0.003,0.001,0.0,0.0,0.0,0.0
l3c_op2_m1,0.004,0.001,0.0,0.0,0.0,0.0
l3c_op2_m1,0.005,0.001,0.0,0.0,0.0,0.0
l5_op1_m0,0.001,0.001,0.0,-6057.902616067677,-6057.902616067677,-6057902616067677.0
l5_op1_m0,0.002,0.001,-5405.930930599999,-5610.2344606545685,-204.30353005456982,-0.03779247879363756
l5_op1_m0,0.003,0.001,-6852.026620100016,-3542.3062598913475,3309.7203602086684,0.4830279483298852
l5_op1_m0,0.004,0.001,-3307.7116322000047,887.3426130173675,4195.054245217372,1.2682648040957498
l5_op1_m0,0.005,0.001,1654.5347610999959,3414.248288417056,1759.71352731706,1.0635699948347639
l5_op1_m1,0.001,0.001,0.0,-6057.902616067677,-6057.902616067677,-6057902616067677.0
l5_op1_m1,0.002,0.001,-5405.930930599999,-5610.2344606545685,-204.30353005456982,-0.03779247879363756
l5_op1_m1,0.003,0.001,-6852.026620100016,-3542.3062598913475,3309.7203602086684,0.4830279483298852
l5_op1_m1,0.004,0.001,-3307.7116322000047,887.3426130173675,4195.054245217372,1.2682648040957498
l5_op1_m1,0.005,0.001,1654.5347610999959,3414.248288417056,1759.71352731706,1.0635699948347639
l5_op2_m0,0.001,0.001,0.0,-68726279.9803739,-68726279.9803739,-6.872627998037391e+19
l5_op2_m0,0.002,0.001,-835137810.2204133,130453792.61949527,965591602.8399086,1.156206306340106
l5_op2_m0,0.003,0.001,176239849.98462558,87768745.82390985,-88471104.16071573,-0.5019926206725299
l5_op2_m0,0.004,0.001,14778252.095111111,-13560716.798524857,-28338968.893635966,-1.917613037810538
l5_op2_m0,0.005,0.001,-11322238.36205675,13114164.534384519,24436402.89644127,2.1582660702792564
l5_op2_m1,0.001,0.001,0.0,-68726279.9803739,-68726279.9803739,-6.872627998037391e+19
l5_op2_m1,0.002,0.001,-835137810.2204133,130453792.61949527,965591602.8399086,1.156206306340106
l5_op2_m1,0.003,0.001,176239849.98462558,87768745.82390985,-88471104.16071573,-0.5019926206725299
l5_op2_m1,0.004,0.001,14778252.095111111,-13560716.798524857,-28338968.893635966,-1.917613037810538
l5_op2_m1,0.005,0.001,-11322238.36205675,13114164.534384519,24436402.89644127,2.1582660702792564
verlet_l3c_op1_m0,0.001,0.001,0.0,-2873.5049403893154,-2873.5049403893154,-2873504940389315.5
verlet_l3c_op1_m0,0.002,0.001,-0.00018352998799085618,-1238.9767900671877,-1238.9766065371998,-6750812.878595775
verlet_l3c_op1_m0,0.003,0.001,-0.00010723999780416489,-953.4159113719788,-953.4158041319811,-8890486.97924305
verlet_l3c_op1_m0,0.004,0.001,-0.00016390000060200691,-780.4917986125242,-780.4916347125236,-4761998.97404373
verlet_l3c_op1_m0,0.005,0.001,-0.0001747599989324808,-649.9055620926683,-649.9053873326694,-3718845.2237503324
verlet_l3c_op1_m1,0.001,0.001,0.0,-2873.504940996693,-2873.504940996693,-2873504940996693.5
verlet_l3c_op1_m1,0.002,0.001,-0.00019659999126195906,-1238.9767912776806,-1238.9765946776893,-6302017.547024296
verlet_l3c_op1_m1,0.003,0.001,-0.00011975999908149243,-953.4159127887633,-953.4157930287643,-7961053.777062897
verlet_l3c_op1_m1,0.004,0.001,-0.00016984000197052957,-780.4918002516724,-780.4916304116705,-4595452.316039777
verlet_l3c_op1_m1,0.005,0.001,-0.0001806899957805872,-649.9055637019096,-649.9053830119138,-3596797.820511863
