"bat","code","seconds","log"
"xCase1DConsolidation_PR_TINT2_L3c_Op1_Mode0_win64_CPU_release.bat","0","94.32","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TINT2_PorePressureEndStepUpdate\run_logs\xCase1DConsolidation_PR_TINT2_L3c_Op1_Mode0_win64_CPU_release.log"
"xCase1DConsolidation_PR_TINT2_L3c_Op1_Mode1_win64_CPU_release.bat","0","100.73","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TINT2_PorePressureEndStepUpdate\run_logs\xCase1DConsolidation_PR_TINT2_L3c_Op1_Mode1_win64_CPU_release.log"
"xCase1DConsolidation_PR_TINT2_L3c_Op2_Mode0_win64_CPU_release.bat","0","118.52","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TINT2_PorePressureEndStepUpdate\run_logs\xCase1DConsolidation_PR_TINT2_L3c_Op2_Mode0_win64_CPU_release.log"
"xCase1DConsolidation_PR_TINT2_L3c_Op2_Mode1_win64_CPU_release.bat","0","128.1","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TINT2_PorePressureEndStepUpdate\run_logs\xCase1DConsolidation_PR_TINT2_L3c_Op2_Mode1_win64_CPU_release.log"
"xCase1DConsolidation_PR_TINT2_L5_Op1_Mode0_win64_CPU_release.bat","0","139.48","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TINT2_PorePressureEndStepUpdate\run_logs\xCase1DConsolidation_PR_TINT2_L5_Op1_Mode0_win64_CPU_release.log"
"xCase1DConsolidation_PR_TINT2_L5_Op1_Mode1_win64_CPU_release.bat","0","144.76","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TINT2_PorePressureEndStepUpdate\run_logs\xCase1DConsolidation_PR_TINT2_L5_Op1_Mode1_win64_CPU_release.log"
"xCase1DConsolidation_PR_TINT2_L5_Op2_Mode0_win64_CPU_release.bat","0","58.49","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TINT2_PorePressureEndStepUpdate\run_logs\xCase1DConsolidation_PR_TINT2_L5_Op2_Mode0_win64_CPU_release.log"
"xCase1DConsolidation_PR_TINT2_L5_Op2_Mode1_win64_CPU_release.bat","0","58.14","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TINT2_PorePressureEndStepUpdate\run_logs\xCase1DConsolidation_PR_TINT2_L5_Op2_Mode1_win64_CPU_release.log"
"xCase1DConsolidation_PR_TINT2_Verlet_L3c_Op1_Mode0_win64_CPU_release.bat","0","76.22","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TINT2_PorePressureEndStepUpdate\run_logs\xCase1DConsolidation_PR_TINT2_Verlet_L3c_Op1_Mode0_win64_CPU_release.log"
"xCase1DConsolidation_PR_TINT2_Verlet_L3c_Op1_Mode1_win64_CPU_release.bat","0","59.41","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TINT2_PorePressureEndStepUpdate\run_logs\xCase1DConsolidation_PR_TINT2_Verlet_L3c_Op1_Mode1_win64_CPU_release.log"
