case_id,time_s,time_integration_mode,boundary_operator,feedback,velocity_max_mps,divvel_max_abs,porepressrate_max_abs_pa_s,porepressrate_mean_pa_s,feedback_accel_max_abs_mps2,lap_porepress_max_abs
l3c_op1_m0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op1_m0,0.001,0,1,0,0.0,0.0,125293450.0,-0.18352998799085618,0.0,2074446.9
l3c_op1_m0,0.002,0,1,0,0.0,0.0,88416136.0,-0.10723999780416489,0.0,1531797.0
l3c_op1_m0,0.003,0,1,0,0.0,0.0,70866488.0,-0.1639000006020069,0.0,1273554.0
l3c_op1_m0,0.004,0,1,0,0.0,0.0,58640264.0,-0.17475999893248081,0.0,1093645.1
l3c_op1_m0,0.005,0,1,0,0.0,0.0,48892536.0,-0.10479999935626984,0.0,950207.25
l3c_op1_m1,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op1_m1,0.001,1,1,0,0.0,0.0,125293450.0,-0.18352998799085618,0.0,2074446.9
l3c_op1_m1,0.002,1,1,0,0.0,0.0,88416136.0,-0.10723999780416489,0.0,1531797.0
l3c_op1_m1,0.003,1,1,0,0.0,0.0,70866488.0,-0.1639000006020069,0.0,1273554.0
l3c_op1_m1,0.004,1,1,0,0.0,0.0,58640264.0,-0.17475999893248081,0.0,1093645.1
l3c_op1_m1,0.005,1,1,0,0.0,0.0,48892536.0,-0.10479999935626984,0.0,950207.25
l3c_op2_m0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op2_m0,0.001,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op2_m0,0.002,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op2_m0,0.003,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op2_m0,0.004,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op2_m0,0.005,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op2_m1,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op2_m1,0.001,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op2_m1,0.002,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op2_m1,0.003,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op2_m1,0.004,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
l3c_op2_m1,0.005,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
l5_op1_m0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
l5_op1_m0,0.001,0,1,1,0.0082434556,0.019482598,16878632.0,-5405930.930599999,7.0460157,670283.56
l5_op1_m0,0.002,0,1,1,0.011226165,0.10369496,103154250.0,-6852026.620100016,2.7578788,592587.31
l5_op1_m0,0.003,0,1,1,0.0055590859,0.036039386,154290320.0,-3307711.6322000045,9.3444185,1766704.9
l5_op1_m0,0.004,0,1,1,0.0026432555,0.026443452,83882744.0,1654534.7610999958,7.4630198000000005,1184758.6
l5_op1_m0,0.005,0,1,1,0.0071404693,0.048699643,35720220.0,4344407.017500032,2.0038249,545816.63
l5_op1_m1,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
l5_op1_m1,0.001,1,1,1,0.0082434556,0.019482598,16878632.0,-5405930.930599999,7.0460157,670283.56
l5_op1_m1,0.002,1,1,1,0.011226165,0.10369496,103154250.0,-6852026.620100016,2.7578788,592587.31
l5_op1_m1,0.003,1,1,1,0.0055590859,0.036039386,154290320.0,-3307711.6322000045,9.3444185,1766704.9
l5_op1_m1,0.004,1,1,1,0.0026432555,0.026443452,83882744.0,1654534.7610999958,7.4630198000000005,1184758.6
l5_op1_m1,0.005,1,1,1,0.0071404693,0.048699643,35720220.0,4344407.017500032,2.0038249,545816.63
l5_op2_m0,0.0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0
l5_op2_m0,0.001,0,2,1,2611.7380539703017,33461.359,612631790000000.0,-835137810220.4133,1301714.4865741257,8963181500000.0
l5_op2_m0,0.002,0,2,1,1237.6331221731357,739.95465,369939150000.0,176239849984.62558,105381.49187236384,3146459600.0
