line,time,Tv,bottom_excess
gpu_mode0_xi005,0,0,0
gpu_mode0_xi005,0.1,0.027441722676,15890.1892354
gpu_mode0_xi005,0.2,0.0554434805087,14293.6458328
gpu_mode0_xi005,0.3,0.0834452383414,13060.5546871
gpu_mode0_xi005,0.4,0.111446996174,12012.9079858
gpu_mode0_xi005,0.5,0.139448754007,11086.5147566
gpu_mode0_xi005,0.6,0.16745051184,10256.4600692
gpu_mode0_xi005,0.7,0.195452269672,9501.61111085
gpu_mode0_xi005,0.8,0.223454027505,8788.12760391
gpu_mode0_xi005,0.9,0.251455785338,8164.46267338
gpu_mode0_xi005,1,0.27945754317,7551.24479144
gpu_mode0_xi005,1.1,0.307459301003,7020.82986092
gpu_mode0_xi005,1.2,0.335461058836,6508.53081578
gpu_mode0_xi005,1.3,0.363462816668,6023.70052068
gpu_mode0_xi005,1.4,0.391464574501,5612.20486095
gpu_mode0_xi005,1.5,0.419466332334,5202.36762137
gpu_mode0_xi005,1.6,0.447468090166,4800.05772557
gpu_mode0_xi005,1.7,0.475469847999,4488.08506932
gpu_mode0_xi005,1.8,0.503471605832,4180.12586793
gpu_mode0_xi005,1.9,0.531473363665,3872.29253462
gpu_mode0_xi005,2,0.559475121497,3564.71527768
gpu_mode0_xi005,2.1,0.58747687933,3332.04470475
gpu_mode0_xi005,2.2,0.615478637163,3126.15993914
gpu_mode0_xi005,2.3,0.643480394995,2920.45464401
gpu_mode0_xi005,2.4,0.671482152828,2714.79079852
gpu_mode0_xi005,2.5,0.699483910661,2508.81727422
gpu_mode0_xi005,2.6,0.727485668493,2303.26714401
gpu_mode0_xi005,2.7,0.755487426326,2099.45920132
gpu_mode0_xi005,2.8,0.783489184159,1948.5130208
gpu_mode0_xi005,2.9,0.811490941991,1839.89149302
gpu_mode0_xi005,3,0.839492699824,1735.14322913
gpu_mode0_xi005,3.1,0.867494457657,1629.91840274
gpu_mode0_xi005,3.2,0.89549621549,1525.53971351
gpu_mode0_xi005,3.3,0.923497973322,1420.93598087
gpu_mode0_xi005,3.4,0.951499731155,1316.97460934
gpu_mode0_xi005,3.5,0.979501488988,1213.35026038
gpu_mode0_xi005,3.6,1.00750324682,1110.00075951
gpu_mode1_xi005_b5,0,0,0
gpu_mode1_xi005_b5,0.1,0.027441722676,15890.1649299
gpu_mode1_xi005_b5,0.2,0.0554434805087,14293.256944
gpu_mode1_xi005_b5,0.3,0.0834452383414,13060.6328121
gpu_mode1_xi005_b5,0.4,0.111446996174,12012.9157983
gpu_mode1_xi005_b5,0.5,0.139448754007,11086.4982636
gpu_mode1_xi005_b5,0.6,0.16745051184,10256.5078122
gpu_mode1_xi005_b5,0.7,0.195452269672,9501.57986085
gpu_mode1_xi005_b5,0.8,0.223454027505,8788.1024303
gpu_mode1_xi005_b5,0.9,0.251455785338,8164.47309005
gpu_mode1_xi005_b5,1,0.27945754317,7551.22395811
gpu_mode1_xi005_b5,1.1,0.307459301003,7021.59244772
gpu_mode1_xi005_b5,1.2,0.335461058836,6509.31423592
gpu_mode1_xi005_b5,1.3,0.363462816668,6024.3680554
gpu_mode1_xi005_b5,1.4,0.391464574501,5612.60069429
gpu_mode1_xi005_b5,1.5,0.419466332334,5202.72526026
gpu_mode1_xi005_b5,1.6,0.447468090166,4800.10460057
gpu_mode1_xi005_b5,1.7,0.475469847999,4488.41970474
gpu_mode1_xi005_b5,1.8,0.503471605832,4180.40451377
gpu_mode1_xi005_b5,1.9,0.531473363665,3872.79079851
gpu_mode1_xi005_b5,2,0.559475121497,3566.27430545
gpu_mode1_xi005_b5,2.1,0.58747687933,3331.17881933
gpu_mode1_xi005_b5,2.2,0.615478637163,3125.09071171
gpu_mode1_xi005_b5,2.3,0.643480394995,2919.42100685
gpu_mode1_xi005_b5,2.4,0.671482152828,2713.73958324
gpu_mode1_xi005_b5,2.5,0.699483910661,2507.78993047
gpu_mode1_xi005_b5,2.6,0.727485668493,2302.26888012
gpu_mode1_xi005_b5,2.7,0.755487426326,2098.47960063
gpu_mode1_xi005_b5,2.8,0.783489184159,1949.77517357
gpu_mode1_xi005_b5,2.9,0.811490941991,1840.25021698
gpu_mode1_xi005_b5,3,0.839492699824,1734.02690969
gpu_mode1_xi005_b5,3.1,0.867494457657,1629.06032983
gpu_mode1_xi005_b5,3.2,0.89549621549,1524.78580726
gpu_mode1_xi005_b5,3.3,0.923497973322,1420.77159285
gpu_mode1_xi005_b5,3.4,0.951499731155,1316.50509979
gpu_mode1_xi005_b5,3.5,0.979501488988,1213.45638017
gpu_mode1_xi005_b5,3.6,1.00750324682,1110.09179684
gpu_mode0_xi010,0,0,0
gpu_mode0_xi010,0.1,0.027441722676,15593.0243049
gpu_mode0_xi010,0.2,0.0554434805087,14057.2092009
gpu_mode0_xi010,0.3,0.0834452383414,12863.6874996
gpu_mode0_xi010,0.4,0.111446996174,11851.2135413
gpu_mode0_xi010,0.5,0.139448754007,10953.1970483
gpu_mode0_xi010,0.6,0.16745051184,10142.9652775
gpu_mode0_xi010,0.7,0.195452269672,9413.96874974
gpu_mode0_xi010,0.8,0.223454027505,8719.08767338
gpu_mode0_xi010,0.9,0.251455785338,8113.26736088
gpu_mode0_xi010,1,0.27945754317,7512.44270811
gpu_mode0_xi010,1.1,0.307459301003,6997.90972203
gpu_mode0_xi010,1.2,0.335461058836,6495.7452255
gpu_mode0_xi010,1.3,0.363462816668,6022.43229151
gpu_mode0_xi010,1.4,0.391464574501,5618.81944429
gpu_mode0_xi010,1.5,0.419466332334,5216.9618054
gpu_mode0_xi010,1.6,0.447468090166,4820.41276029
gpu_mode0_xi010,1.7,0.475469847999,4512.38585057
gpu_mode0_xi010,1.8,0.503471605832,4210.37326377
gpu_mode0_xi010,1.9,0.531473363665,3908.0737846
gpu_mode0_xi010,2,0.559475121497,3607.37369781
gpu_mode0_xi010,2.1,0.58747687933,3360.65104156
