reference,line,n,rmse,mean_abs_error,max_abs_error,relative_rmse,cv,shift
series_homogeneous_cvM_shift0p002,gpu_mode0_xi005,36,550.170560942,528.109579312,714.778503019,0.0759352616358,0.274445228574,0.002
series_homogeneous_cvM_shift0p002,gpu_mode1_xi005_b5,36,550.176485428,528.19979379,714.799336349,0.0759360793411,0.274445228574,0.002
series_homogeneous_cvM_shift0p002,gpu_mode0_xi010,36,585.501328773,544.162895404,922.991223691,0.0808116605011,0.274445228574,0.002
fd_homogeneous_cvM_shift0p002,gpu_mode0_xi005,36,551.191495807,529.116698703,715.816358019,0.076065828864,0.274445228574,0.002
fd_homogeneous_cvM_shift0p002,gpu_mode1_xi005_b5,36,551.197515853,529.206913181,715.837191349,0.0760666596457,0.274445228574,0.002
fd_homogeneous_cvM_shift0p002,gpu_mode0_xi010,36,586.531105474,545.170014794,925.466121013,0.0809427849155,0.274445228574,0.002
fd_storage_cvFiniteKw_shift0p002,gpu_mode0_xi005,36,570.412790429,548.602986927,738.852119874,0.078552427007,0.273341350045,0.002
fd_storage_cvFiniteKw_shift0p002,gpu_mode1_xi005_b5,36,570.420509471,548.693201405,738.872953204,0.0785534900081,0.273341350045,0.002
fd_storage_cvFiniteKw_shift0p002,gpu_mode0_xi010,36,604.82746087,564.656303019,933.105113842,0.0832917244651,0.273341350045,0.002
fd_direct_PR_hydraulic_only_shift0p002,gpu_mode0_xi005,36,6750.0324726,5406.21912164,15890.1875378,23857209.9944,67.957866123,0.002
fd_direct_PR_hydraulic_only_shift0p002,gpu_mode1_xi005_b5,36,6750.04402221,5406.12890716,15890.1632323,23857250.8152,67.957866123,0.002
fd_direct_PR_hydraulic_only_shift0p002,gpu_mode0_xi010,36,6686.17466782,5390.16580555,15593.0226073,23631511.9604,67.957866123,0.002
fd_homogeneous_cvM_no_shift,gpu_mode0_xi005,36,541.21689946,520.107139717,704.361697181,0.0748102851569,0.274445228574,0
fd_homogeneous_cvM_no_shift,gpu_mode1_xi005_b5,36,541.223084758,520.197354194,704.382530511,0.0748111401264,0.274445228574,0
fd_homogeneous_cvM_no_shift,gpu_mode0_xi010,36,575.736004356,536.160455808,886.892643839,0.0795817253748,0.274445228574,0
