line,shift,n,rmse,mean_abs_error,max_abs_error,relative_rmse,kind
gpu_mode0_xi005,0,36,540.199940073,519.101488396,703.323615479,0.0746798575944,no_shift
gpu_mode0_xi005,0.002,36,550.170560942,528.109579312,714.778503019,0.0759352616358,drain_start_shift
gpu_mode0_xi005,-0.02,36,446.998968876,430.43168603,591.085024672,0.0627906890146,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.019,36,451.352593693,434.807212398,595.65962741,0.063352121695,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.018,36,455.741299413,439.188596459,600.960545323,0.0639174973815,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.017,36,460.164535281,443.575875771,606.613057509,0.0644867263968,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.016,36,464.62177049,447.969088548,612.269589229,0.0650597220667,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.015,36,469.112493801,452.368273682,617.930143965,0.0656364006555,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.014,36,473.636213175,456.773470757,623.594725205,0.0662166813019,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.013,36,478.192455398,461.184720073,629.263336444,0.066800485955,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.012,36,482.780765713,465.602062664,634.935981185,0.067387739312,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.011,36,487.40070746,470.025540319,640.612662937,0.0679783687554,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.01,36,492.051861717,474.455195607,646.293385216,0.0685723042928,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.009,36,496.733826954,478.891071897,651.978151544,0.0691694784964,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.008,36,501.446218687,483.333213382,657.666965451,0.069769826445,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.007,36,506.188669148,487.781665106,663.359830474,0.0703732856665,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.006,36,510.960826962,492.236472988,669.056750157,0.0709797960825,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.005,36,515.762356831,496.69768385,674.757728052,0.0715892999541,diagnostic_bestfit_grid
gpu_mode0_xi005,-0.004,36,520.592939238,501.165345443,680.462767716,0.0722017418297,diagnostic_bestfit_grid
