frame,time,n,zmin,zmax,H,velocity_max,velocity_mean,PorePress_min,PorePress_max,PorePress_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_Excess_mean,bottom_Excess_maxAbs,top_Excess_maxAbs,bottom_ref_Excess_mean,bottom_grad_proxy,PorePressRate_maxAbs
0,0.0,1000,0.0049999999,0.995,0.9900000001,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.464165
1,0.001,1000,0.0049999999,0.995,0.9900000001,0.0094030714,0.008936236034699976,59.73973968494,12448.69282185,5559.308503091207,10.642942483,2718.33875036,654.2626013485522,2718.33875036,2687.7137352624995,2687.713739103,10.7772064225,2687.9888335808,-0.27509831830047915,65867812.0
2,0.002,1000,0.0049999999,0.995,0.9900000001,0.017945159,0.013917190599800029,49.23170799805,23362.79727611,10781.924149867828,-8.393084807778e-05,13647.40094377,5876.761815206585,13647.40094377,13601.784707425002,13601.78471179,8.393084807778e-05,13602.369705362498,-0.5849979374961549,666593730.0
3,0.003,1000,0.0049999999,0.995,0.9900000001,0.020448787,0.012138590552450009,49.42771984067,37287.47474397,19400.795079170693,-9.564050019861e-05,27552.35770844,14495.499475447254,27552.35770844,27526.45138592,27526.45138771,9.564050019861e-05,27526.982436515507,-0.5310505955058034,304098720.0
4,0.004,1000,0.0049999999,0.995,0.9900000001,0.012051282000000003,0.005411857731416205,49.59566982968,44152.90539682,24737.02117529565,-5.636474243431e-05,34402.04850001,19831.63734126219,34402.04850001,34391.881944282,34391.88194448,5.636474243431e-05,34391.990464233495,-0.10851995149278082,449016100.0
5,0.005,1000,0.0049999999,0.995,0.9900000001,0.0034358383,0.0018212464463553475,49.64489293,39935.18158842,22384.784379634246,8.616683061291e-06,30183.16287193,17479.382566732453,30183.16287193,30174.156248179992,30174.15624826,9.214588658324e-06,30173.871021291503,0.28522688848897815,316914430.0
6,0.006,1000,0.0049999999,0.995,0.9900000001,0.011090014000000006,0.004089746075619106,49.57296956223,29177.88018163,15381.042790227388,3.638737717893e-05,19428.23754835,10475.670376029084,19428.23754835,19416.850692240005,19416.85069255,5.186882405894e-05,19416.4777657155,0.37292652450560126,72503432.0
7,0.007,1000,0.0049999999,0.995,0.9900000001,0.0070798146000000005,0.001931283374856044,49.47239683131,20575.78523078,9780.691665695533,-45.62274020445,10824.79370454,4875.34778810414,10824.79370454,10814.752602724999,10814.75260303,3.311281987095e-05,10814.588818617001,0.1637841079973441,79517352.0
8,0.008,1000,0.0049999999,0.995,0.9900000001,0.004050140700000001,0.0031000875879200196,49.45897074832,19239.12350718,9005.034909398973,-9.234920760826,9486.98939886,4099.682788850217,9486.98939886,9478.088540045002,9478.088540372,1.89428093833e-05,9478.255160572002,-0.16662052699939522,31811094.0
9,0.009000000000000001,1000,0.0049999999,0.995,0.9900000001,0.010030678000000067,0.006260859196299995,49.53295421183,24012.24782673,12198.823364344395,-4.691422996217e-05,14258.87305728,7293.423187085501,14258.87305728,14251.209198625002,14251.20919917,4.691422996217e-05,14251.473864889496,-0.2646662644947355,128184560.0
