reference,line,time,gpu_bottom_excess,reference_bottom_excess,error
eq4_nominal_cv,gpu_mode0_xi005_g9b,0.0,0.0,20305.934897760275,-20305.934897760275
eq4_nominal_cv,gpu_mode0_xi005_g9b,0.1,15890.1892354,16516.019532175913,-625.8302967759137
eq4_nominal_cv,gpu_mode0_xi005_g9b,0.2,14293.6458328,14915.946912118894,-622.3010793188932
eq4_nominal_cv,gpu_mode0_xi005_g9b,0.3,13060.5546871,13691.87999082819,-631.3253037281902
eq4_nominal_cv,gpu_mode0_xi005_g9b,0.4,12012.9079858,12661.274140085172,-648.3661542851714
eq4_nominal_cv,gpu_mode0_xi005_g9b,0.5,11086.5147566,11754.483935762311,-667.9691791623118
eq4_nominal_cv,gpu_mode0_xi005_g9b,0.6,10256.4600692,10936.909667738502,-680.449598538502
eq4_nominal_cv,gpu_mode0_xi005_g9b,0.7,9501.61111085,10189.16353269985,-687.5524218498485
eq4_nominal_cv,gpu_mode0_xi005_g9b,0.8,8788.12760391,9499.49656614038,-711.3689622303809
eq4_nominal_cv,gpu_mode0_xi005_g9b,0.9,8164.46267338,8860.248045463684,-695.7853720836847
eq4_nominal_cv,gpu_mode0_xi005_g9b,1.0,7551.24479144,8266.024478975938,-714.7796875359381
eq4_nominal_cv,gpu_mode0_xi005_g9b,1.1,7020.82986092,7712.731999459299,-691.9021385392989
eq4_nominal_cv,gpu_mode0_xi005_g9b,1.2,6508.53081578,7197.053975148335,-688.5231593683347
eq4_nominal_cv,gpu_mode0_xi005_g9b,1.3,6023.70052068,6716.165680390565,-692.4651597105649
eq4_nominal_cv,gpu_mode0_xi005_g9b,1.4,5612.20486095,6267.576190927689,-655.3713299776891
eq4_nominal_cv,gpu_mode0_xi005_g9b,1.5,5202.36762137,5849.038851550474,-646.6712301804737
eq4_nominal_cv,gpu_mode0_xi005_g9b,1.6,4800.05772557,5458.498861808709,-658.4411362387091
eq4_nominal_cv,gpu_mode0_xi005_g9b,1.7,4488.08506932,5094.061080233883,-605.9760109138833
eq4_nominal_cv,gpu_mode0_xi005_g9b,1.8,4180.12586793,4753.968955239427,-573.8430873094267
eq4_nominal_cv,gpu_mode0_xi005_g9b,1.9,3872.29253462,4436.589683000928,-564.2971483809279
eq4_nominal_cv,gpu_mode0_xi005_g9b,2.0,3564.71527768,4140.402944564893,-575.6876668848931
eq4_nominal_cv,gpu_mode0_xi005_g9b,2.1,3332.04470475,3863.9917847228485,-531.9470799728483
eq4_nominal_cv,gpu_mode0_xi005_g9b,2.2,3126.15993914,3606.03484610971,-479.8749069697101
eq4_nominal_cv,gpu_mode0_xi005_g9b,2.3,2920.45464401,3365.2995224853075,-444.8448784753077
eq4_nominal_cv,gpu_mode0_xi005_g9b,2.4,2714.79079852,3140.635784278019,-425.844985758019
eq4_nominal_cv,gpu_mode0_xi005_g9b,2.5,2508.81727422,2930.9705318733863,-422.1532576533864
eq4_nominal_cv,gpu_mode0_xi005_g9b,2.6,2303.26714401,2735.302387914256,-432.0352439042563
eq4_nominal_cv,gpu_mode0_xi005_g9b,2.7,2099.45920132,2552.6968705759577,-453.2376692559578
eq4_nominal_cv,gpu_mode0_xi005_g9b,2.8,1948.5130208,2382.2819069569096,-433.7688861569095
eq4_nominal_cv,gpu_mode0_xi005_g9b,2.9,1839.89149302,2223.2436555956147,-383.35216257561456
eq4_nominal_cv,gpu_mode0_xi005_g9b,3.0,1735.14322913,2074.8226130293237,-339.67938389932374
eq4_nominal_cv,gpu_mode0_xi005_g9b,3.1,1629.91840274,1936.3099830437195,-306.3915803037196
eq4_nominal_cv,gpu_mode0_xi005_g9b,3.2,1525.53971351,1807.0442897942876,-281.5045762842876
