reference,line,bottom_layer_mean_reference,scale,window_start,window_end,n,rmse,mae,max_abs,relative_rmse
eq4,gpu_mode0_xi005_g9b,False,0.75,0.002,0.5,5,1516.1422983224504,1497.1310162410732,1813.9671155190808,0.10218565282809312
eq4,gpu_mode0_xi005_g9b,False,0.7525,0.002,0.5,5,1506.6398790212302,1487.8939574644187,1801.624947912127,0.10160653401377194
eq4,gpu_mode0_xi005_g9b,False,0.755,0.002,0.5,5,1497.153828287962,1478.6722424757813,1789.303321985819,0.1010277133520363
eq4,gpu_mode0_xi005_g9b,False,0.7575,0.002,0.5,5,1487.6840763711639,1469.4657954731324,1777.0021373181899,0.10044918901828882
eq4,gpu_mode0_xi005_g9b,False,0.76,0.002,0.5,5,1478.230554365409,1460.2745412864151,1764.7212943446211,0.0998709592226935
eq4,gpu_mode0_xi005_g9b,False,0.7625,0.002,0.5,5,1468.793194209333,1451.0984053703712,1752.4606943483068,0.09929302221035134
eq4,gpu_mode0_xi005_g9b,False,0.765,0.002,0.5,5,1459.3719286839146,1441.9373137974515,1740.2202394508186,0.09871537626149238
eq4,gpu_mode0_xi005_g9b,False,0.7675,0.002,0.5,5,1449.966691411062,1432.791193250839,1727.9998326028253,0.09813801969168517
eq4,gpu_mode0_xi005_g9b,False,0.77,0.002,0.5,5,1440.577416852513,1423.659971017581,1715.7993775749528,0.09756095085206566
eq4,gpu_mode0_xi005_g9b,False,0.7725,0.002,0.5,5,1431.204040309031,1414.5435749818112,1703.6187789487649,0.09698416812958331
eq4,gpu_mode0_xi005_g9b,False,0.775,0.002,0.5,5,1421.8464979199277,1405.4419336180727,1691.457942107878,0.09640766994726742
eq4,gpu_mode0_xi005_g9b,False,0.7775,0.002,0.5,5,1412.5047266629063,1396.3549759847422,1679.3167732292004,0.0958314547645129
eq4,gpu_mode0_xi005_g9b,False,0.78,0.002,0.5,5,1403.1786643542387,1387.2826317175459,1667.195179274293,0.09525552107738684
eq4,gpu_mode0_xi005_g9b,False,0.7825,0.002,0.5,5,1393.8682496492765,1378.2248310231644,1655.0930679808698,0.09467986741895579
eq4,gpu_mode0_xi005_g9b,False,0.785,0.002,0.5,5,1384.573422043315,1369.1815046729364,1643.0103478544079,0.09410449235963514
eq4,gpu_mode0_xi005_g9b,False,0.7875,0.002,0.5,5,1375.2941218728204,1360.152583996658,1630.9469281598558,0.09352939450756168
eq4,gpu_mode0_xi005_g9b,False,0.79,0.002,0.5,5,1366.0302903170002,1351.1380008764459,1618.9027189135031,0.09295457250898805
eq4,gpu_mode0_xi005_g9b,False,0.7925,0.002,0.5,5,1356.7818693997722,1342.1376877407147,1606.8776308749148,0.0923800250487026
eq4,gpu_mode0_xi005_g9b,False,0.795,0.002,0.5,5,1347.5488019921158,1333.1515775582288,1594.8715755390203,0.09180575085047422
eq4,gpu_mode0_xi005_g9b,False,0.7975,0.002,0.5,5,1338.3310318148065,1324.1796038322318,1582.884465128278,0.09123174867752203
eq4,gpu_mode0_xi005_g9b,False,0.8,0.002,0.5,5,1329.1285034415785,1315.2217005946695,1570.9162125849762,0.09065801733301318
eq4,gpu_mode0_xi005_g9b,False,0.8025,0.002,0.5,5,1319.941162302699,1306.27780240049,1558.966731563618,0.09008455566058791
eq4,gpu_mode0_xi005_g9b,False,0.805,0.002,0.5,5,1310.7689546889749,1297.3478443220138,1547.03593642343,0.08951136254491322
eq4,gpu_mode0_xi005_g9b,False,0.8075,0.002,0.5,5,1301.6118277562184,1288.4317619434012,1535.1237422209488,0.08893843691226729
eq4,gpu_mode0_xi005_g9b,False,0.81,0.002,0.5,5,1292.4697295301705,1279.5294913551807,1523.230064702735,0.08836577773115453
eq4,gpu_mode0_xi005_g9b,False,0.8125,0.002,0.5,5,1283.342608911901,1270.640969148857,1511.3548202981765,0.08779338401295303
eq4,gpu_mode0_xi005_g9b,False,0.815,0.002,0.5,5,1274.2304156837122,1261.7661324115986,1499.4979261123808,0.08722125481259609
eq4,gpu_mode0_xi005_g9b,False,0.8175,0.002,0.5,5,1265.1331005155475,1252.9049187209887,1487.6592999191653,0.08664938922928819
eq4,gpu_mode0_xi005_g9b,False,0.8200000000000001,0.002,0.5,5,1256.0506149719424,1244.0572661398614,1475.8388601541537,0.08607778640725823
eq4,gpu_mode0_xi005_g9b,False,0.8225,0.002,0.5,5,1246.9829115195143,1235.2231132111945,1464.0365259079554,0.0855064455365498
eq4,gpu_mode0_xi005_g9b,False,0.825,0.002,0.5,5,1237.929943535033,1226.4023989530783,1452.252216919438,0.08493536585385177
eq4,gpu_mode0_xi005_g9b,False,0.8275,0.002,0.5,5,1228.8916653140805,1217.5950628537535,1440.4858535690746,0.08436454664336955
eq4,gpu_mode0_xi005_g9b,False,0.83,0.002,0.5,5,1219.8680320803326,1208.801044866717,1428.7373568724142,0.08379398723774005
