reference,time,gpu_bottom_excess,fd_bottom_excess,series_bottom_excess,gpu_minus_fd,fd_minus_series
eq4,0.0,0.0,20312.956906859323,20305.934897760275,-20312.956906859323,7.022009099047864
eq4,0.1,15890.1892354,16525.785924731037,16516.019532175913,-635.5966893310379,9.766392555124185
eq4,0.2,14293.6458328,14922.822046958427,14915.946912118894,-629.1762141584259,6.87513483953262
eq4,0.3,13060.5546871,13697.487053272118,13691.87999082819,-636.9323661721173,5.607062443927134
eq4,0.4,12012.9079858,12666.146636663458,12661.274140085172,-653.2386508634572,4.872496578285791
eq4,0.5,11086.5147566,11758.910841635385,11754.483935762311,-672.3960850353851,4.426905873073338
eq4,0.6,10256.4600692,10941.088691599029,10936.909667738502,-684.6286223990282,4.179023860526286
eq4,0.7,9501.61111085,10193.231336992143,10189.16353269985,-691.6202261421422,4.067804292293658
eq4,0.8,8788.12760391,9503.539621403486,9499.49656614038,-715.4120174934869,4.043055263105998
eq4,0.9,8164.46267338,8864.31391489391,8860.248045463684,-699.8512415139103,4.065869430225575
eq4,1.0,7551.24479144,8270.133333459904,8266.024478975938,-718.888542019904,4.1088544839658425
eq4,1.1,7020.82986092,7716.88634378043,7712.731999459299,-696.0564828604302,4.154344321131248
eq4,1.2,6508.53081578,7201.245869864378,7197.053975148335,-692.7150540843777,4.1918947160429525
eq4,1.3,6023.70052068,6720.381667217951,6716.165680390565,-696.6811465379506,4.215986827385677
eq4,1.4,5612.20486095,6271.800449230596,6267.576190927689,-659.5955882805965,4.224258302907401
eq4,1.5,5202.36762137,5853.255115355937,5849.038851550474,-650.887493985937,4.2162638054633135
eq4,1.6,4800.05772557,5462.691518752666,5458.498861808709,-662.6337931826656,4.1926569439565355
eq4,1.7,4488.08506932,5098.2157532631245,5094.061080233883,-610.1306839431245,4.154673029241167
eq4,1.8,4180.12586793,4758.072768623291,4753.968955239427,-577.9469006932914,4.10381338386469
eq4,1.9,3872.29253462,4440.631342149689,4436.589683000928,-568.3388075296889,4.041659148761028
eq4,2.0,3564.71527768,4144.37271034485,4140.402944564893,-579.6574326648501,3.969765779957015
eq4,2.1,3332.04470475,3867.8813913168106,3863.9917847228485,-535.8366865668104,3.889606593962071
eq4,2.2,3126.15993914,3609.8373915747875,3606.03484610971,-483.6774524347875,3.802545465077401
eq4,2.3,2920.45464401,3369.0093489304973,3365.2995224853075,-448.55470492049744,3.7098264451897194
eq4,2.4,2714.79079852,3144.2483572049587,3140.635784278019,-429.4575586849587,3.6125729269397198
eq4,2.5,2508.81727422,2934.4823238414283,2930.9705318733863,-425.66504962142835,3.511791968041962
eq4,2.6,2303.26714401,2738.710769128955,2735.302387914256,-435.44362511895497,3.408381214698693
eq4,2.7,2099.45920132,2556.000007527422,2552.6968705759577,-456.54080620742207,3.3031369514642392
eq4,2.8,1948.5130208,2385.4786694058776,2382.2819069569096,-436.9656486058775,3.196762448968002
eq4,2.9,1839.89149302,2226.333531753258,2223.2436555956147,-386.44203873325773,3.0898761576431752
eq4,3.0,1735.14322913,2077.805632542649,2074.8226130293237,-342.66240341264916,2.9830195133254165
eq4,3.1,1629.91840274,1939.1866472886675,1936.3099830437195,-309.26824454866755,2.8766642449479605
