reference,line,cv_scale,t0,bottom_layer_mean_reference,n,rmse,mae,max_abs,relative_rmse
eq4_nominal_cv,gpu_mode0_xi005_g9b,1.0,0.002,False,36,550.1715968991629,528.1105115497913,714.7796875359381,0.07593539190603465
eq4_nominal_cv,gpu_mode1_xi005_b5,1.0,0.002,False,36,550.1775213686501,528.2007260275693,714.8005208659379,0.0759362096089384
eq4_nominal_cv_bottom_layer_mean,gpu_mode0_xi005_g9b,1.0,0.002,True,36,549.1795285465648,527.2174225114009,713.6448593775058,0.07581062495168596
eq4_nominal_cv_bottom_layer_mean,gpu_mode1_xi005_b5,1.0,0.002,True,36,549.1854689551517,527.3076369891787,713.6656927075055,0.07581144498605365
measured_t0p002_nominal_cv,gpu_mode0_xi005_g9b,1.0,0.002,False,36,2440.7743461040614,1901.742663538111,5544.43993578492,0.565863711818884
measured_t0p002_nominal_cv,gpu_mode1_xi005_b5,1.0,0.002,False,36,2440.7898841036,1901.6524490603324,5544.415630284921,0.5658673141142404
measured_t0p002_nominal_cv_bottom_layer_mean,gpu_mode0_xi005_g9b,1.0,0.002,True,36,2441.5764752529462,1902.321472757233,5547.830867944895,0.5661555965447045
measured_t0p002_nominal_cv_bottom_layer_mean,gpu_mode1_xi005_b5,1.0,0.002,True,36,2441.59200672522,1902.2312582794548,5547.8065624448955,0.5661591980005833
measured_t0p003_nominal_cv,gpu_mode0_xi005_g9b,1.0,0.003,False,36,3601.5356947439627,3065.794778540365,7612.836098744154,0.34832323105202523
measured_t0p003_nominal_cv,gpu_mode1_xi005_b5,1.0,0.003,False,36,3601.527606049379,3065.8849930181423,7612.860404244153,0.3483224487523422
measured_t0p003_nominal_cv_bottom_layer_mean,gpu_mode0_xi005_g9b,1.0,0.003,True,36,3599.910781856433,3064.5273313176135,7607.553893555943,0.348221370241694
measured_t0p003_nominal_cv_bottom_layer_mean,gpu_mode1_xi005_b5,1.0,0.003,True,36,3599.9026908372916,3064.617545795392,7607.578199055943,0.3482205875929166
measured_t0p005_nominal_cv,gpu_mode0_xi005_g9b,1.0,0.005,False,36,5431.298389280207,4599.163248597269,11105.33631458381,0.4464000560303441
measured_t0p005_nominal_cv,gpu_mode1_xi005_b5,1.0,0.005,False,36,5431.2884161902075,4599.253463075047,11105.36062008381,0.44639923633906303
measured_t0p005_nominal_cv_bottom_layer_mean,gpu_mode0_xi005_g9b,1.0,0.005,True,36,5429.509282304351,4597.729036139618,11100.358470651352,0.4463190358260126
measured_t0p005_nominal_cv_bottom_layer_mean,gpu_mode1_xi005_b5,1.0,0.005,True,36,5429.49930816964,4597.819250617397,11100.382776151351,0.44631821592757326
measured_t0p010_nominal_cv,gpu_mode0_xi005_g9b,1.0,0.01,False,36,1282.3051256958533,1157.8333030488839,2175.1543803714503,0.1602381168965487
measured_t0p010_nominal_cv,gpu_mode1_xi005_b5,1.0,0.01,False,36,1282.3003658550786,1157.9235175266613,2175.1786858714495,0.1602375221021373
measured_t0p010_nominal_cv_bottom_layer_mean,gpu_mode0_xi005_g9b,1.0,0.01,True,36,1281.1125825872928,1156.8630580562485,2171.2938107436657,0.16011401932737285
measured_t0p010_nominal_cv_bottom_layer_mean,gpu_mode1_xi005_b5,1.0,0.01,True,36,1281.1078221692176,1156.953272534026,2171.318116243665,0.16011342436820838
measured_t0p020_nominal_cv,gpu_mode0_xi005_g9b,1.0,0.02,False,36,768.693278182457,721.3559899223684,1061.5643219720405,0.10284232479275414
measured_t0p020_nominal_cv,gpu_mode1_xi005_b5,1.0,0.02,False,36,768.6932876358638,721.4462044001461,1061.9532107720406,0.10284232605751131
measured_t0p020_nominal_cv_bottom_layer_mean,gpu_mode0_xi005_g9b,1.0,0.02,True,36,767.6238297211964,720.4445189420683,1058.8647387013152,0.10271540174008348
measured_t0p020_nominal_cv_bottom_layer_mean,gpu_mode1_xi005_b5,1.0,0.02,True,36,767.6238444015116,720.5347334198459,1059.2536275013153,0.1027154037044499
eq4_bestfit_cv,gpu_mode0_xi005_g9b,1.1175,0.002,False,36,135.5632884639418,107.75024003611055,408.9536277729512,0.019844599751145046
eq4_bestfit_cv,gpu_mode1_xi005_b5,1.1175,0.002,False,36,135.40436056729425,107.55720919222169,408.9779332729504,0.019821334894309556
measured_t0p002_bestfit_cv,gpu_mode0_xi005_g9b,0.75,0.002,False,36,1913.5664703798952,1243.453523284373,5083.2621859317915,0.3825223592086249
measured_t0p002_bestfit_cv,gpu_mode1_xi005_b5,0.75,0.002,False,36,1913.619643641462,1243.73187675604,5083.237880431792,0.3825329885553323
measured_t0p002_bottom_layer_mean_bestfit_cv,gpu_mode0_xi005_g9b,0.75,0.002,True,36,1914.5335517891056,1243.9755936774768,5087.372241145455,0.38279063005269925
measured_t0p002_bottom_layer_mean_bestfit_cv,gpu_mode1_xi005_b5,0.75,0.002,True,36,1914.5866898791924,1244.2539471491436,5087.347935645455,0.38280125444889496
measured_t0p010_bestfit_cv,gpu_mode0_xi005_g9b,1.25,0.01,False,36,577.5999492696146,442.4698142252078,1756.1218915707268,0.08117068948758119
measured_t0p010_bestfit_cv,gpu_mode1_xi005_b5,1.25,0.01,False,36,577.5135152499699,442.3573919846524,1756.146197070726,0.08115854282971079
