frame,time,n,zmin,zmax,velocity_max,velocity_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydrostatic_min,hydrostatic_max,hydrostatic_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydrostatic_mean,bottom_Excess_mean,bottom_Excess_maxAbs,top_Excess_maxAbs,bottom_grad_proxy,PorePressRate_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressureAccelDiff_maxAbs,has_PorePress,has_ExcessPorePress,has_PorePressureAccelDiff
0,0,1000,0.0049999999,0.995,0,0,0,49.0500020981,9760.95041752,4905.00020981,49.05,9760.95000098,4904.99999972,0,0,0,0,9711.90041542,9711.90000049,0,0,0,0,17.464165,0,2.61962490661e-08,0,True,True,True
1,0.1,1000,0.0049744742,0.99469846,0.0025156031,0.00198081907604,-0.000246555297,52.0079801917,25651.3657569,14281.6227428,52.0081074,9761.2004081,4907.41870718,-1.17656638352e-05,15892.9278918,9374.20380158,15892.9278918,25602.3779643,9712.21261919,15890.1649299,15890.16493,1.17656638352e-05,0.00869733900072,123614390,0.0072591822,0.185370110078,10.139442,True,True,True
2,0.2,1000,0.0049642664,0.99445337,0.002400755,0.00174103543829,-0.0004315293896,54.4124737039,24054.5579083,13653.5943161,54.4124403,9761.30054662,4909.23330303,-1.12285098552e-05,14295.2074043,8744.36079488,14295.2074043,24005.5877928,9712.3304317,14293.256944,14293.256944,1.12285098552e-05,0.0063018280016,120489560,0.0052282815,0.18071716556,9.9268818,True,True,True
3,0.3,1000,0.0049560773,0.99421865,0.0022909788,0.00157715200424,-0.0005970863408,56.7151507283,22822.0141112,13048.8682053,56.7150435,9761.38088169,4910.85741672,-1.07133399325e-05,13062.4788911,8138.01058771,13062.4788911,22773.0551826,9712.42195616,13060.6328121,13060.6328121,1.07133399325e-05,0.0208605335029,125154850,0.0042904979,0.187725161602,9.4332476,True,True,True
4,0.4,1000,0.0049490859,0.99399596,0.0021600947,0.00144313289416,-0.0007479706395,58.8997617345,21774.3656816,12471.5177947,58.8996324,9761.44946732,4912.33759169,-1.01029235253e-05,12014.302394,7559.18000472,12014.302394,21725.4154041,9712.49919063,12012.9157983,12012.9157983,1.01029235253e-05,0.00389131550219,110771560,0.0037186432,0.16614247438,9.0861683,True,True,True
5,0.5,1000,0.0049429219,0.99378663,0.0020207879,0.00132739007786,-0.0008866491928,60.9528574832,20848.0086149,11929.4311983,60.9531597,9761.50993616,4913.6980283,-9.4488591813e-06,11087.7109519,7015.73297594,11087.7109519,20799.0663024,9712.56762338,11086.4982636,11086.4982636,9.4488591813e-06,0.00359355200271,103505170,0.0033591222,0.155255900172,8.5257902,True,True,True
6,0.6,1000,0.0049373764,0.99359113,0.0018897749,0.00123257903152,-0.0010146421615,62.8709552003,20018.0725674,11422.6739089,62.8710147,9761.56433752,4914.95363932,-8.83656402095e-06,10257.8872108,6507.72006465,10257.8872108,19969.138081,9712.62985444,10256.5078122,10256.5078122,8.83656402095e-06,0.0148748000011,104079520,0.0032142675,0.15611080021,7.8352976,True,True,True
7,0.7,1000,0.0049323491,0.99340916,0.0017546186,0.00113846801019,-0.0011328924304,64.6559412262,19263.1939344,10951.9544602,64.6561404,9761.61365533,4916.11367446,-8.20456760664e-06,9502.64521262,6035.84057639,9502.64521262,19214.2667906,9712.68651449,9501.57986085,9501.57986089,8.20456760664e-06,0.00428372240094,90713960,0.0028698824,0.136068116569,7.4149523,True,True,True
8,0.8,1000,0.004927461,0.99323988,0.0016326639,0.00105587698836,-0.001242670825,66.3170459296,18549.7644553,10511.9206411,66.3167772,9761.66160759,4917.19060051,-7.63436182183e-06,8789.12878779,5594.72982552,8789.12878779,18500.843687,9712.74084159,8788.1024303,8788.10243033,7.63436182183e-06,0.00914294824906,83627008,0.0026192858,0.125434443334,6.8873539,True,True,True
9,0.9,1000,0.0049231471,0.99308294,0.001512807,0.00097844787174,-0.0013440700627,67.8563415149,17926.1774344,10108.8009033,67.8563586,9761.70392695,4918.18532703,-7.07412485212e-06,8165.51658557,5190.61536476,8165.51658557,17877.2624523,9712.78894772,8164.47309005,8164.47309008,7.07412485212e-06,0.0112685147005,83606288,0.0024812773,0.125401452333,6.2921152,True,True,True
10,1,1000,0.0049188295,0.99293703,0.0014074187,0.000909482873823,-0.0014384619851,69.2876592567,17312.9706597,9728.31404344,69.2877357,9761.7462826,4919.11131179,-6.5806166134e-06,7552.12271219,4809.20251362,7552.12271219,17264.0606764,9712.83630324,7551.22395811,7551.22395813,6.5806166134e-06,0.00273746215044,72617768,0.002362571,0.108924134793,5.9353571,True,True,True
