line,time,Tv,bottom_porepress,bottom_excess,excess_envelope
gpu_mode0_xi005,0,0,9711.90041542,0,0
gpu_mode0_xi005,0.1,0.027441722676,25602.4022699,15890.1892354,15892.9516754
gpu_mode0_xi005,0.2,0.0554434805087,24005.9766293,14293.6458328,14295.6001224
gpu_mode0_xi005,0.3,0.0834452383414,22772.9772745,13060.5546871,13062.3995692
gpu_mode0_xi005,0.4,0.111446996174,21725.4078465,12012.9079858,12014.2967054
gpu_mode0_xi005,0.5,0.139448754007,20799.0830104,11086.5147566,11087.7274936
gpu_mode0_xi005,0.6,0.16745051184,19969.0905277,10256.4600692,10257.8346414
gpu_mode0_xi005,0.7,0.195452269672,19214.2981814,9501.61111085,9502.67734167
gpu_mode0_xi005,0.8,0.223454027505,18500.868961,8788.12760391,8789.13652664
gpu_mode0_xi005,0.9,0.251455785338,17877.2520963,8164.46267338,8165.50537269
gpu_mode0_xi005,1,0.27945754317,17264.0815611,7551.24479144,7552.14121633
gpu_mode0_xi005,1.1,0.307459301003,16733.7081332,7020.82986092,7021.6285796
gpu_mode0_xi005,1.2,0.335461058836,16221.449518,6508.53081578,6509.42333695
gpu_mode0_xi005,1.3,0.363462816668,15736.656907,6023.70052068,6024.457279
gpu_mode0_xi005,1.4,0.391464574501,15325.1934656,5612.20486095,5612.919453
gpu_mode0_xi005,1.5,0.419466332334,14915.3891844,5202.36762137,5203.0233617
gpu_mode0_xi005,1.6,0.447468090166,14513.1110925,4800.05772557,4800.61294809
gpu_mode0_xi005,1.7,0.475469847999,14201.1635385,4488.08506932,4488.62609823
gpu_mode0_xi005,1.8,0.503471605832,13893.2301275,4180.12586793,4180.62056298
gpu_mode0_xi005,1.9,0.531473363665,13585.4217692,3872.29253462,3872.77677933
gpu_mode0_xi005,2,0.559475121497,13277.8667661,3564.71527768,3565.1978466
gpu_mode0_xi005,2.1,0.58747687933,13045.2190881,3332.04470475,3332.48946856
gpu_mode0_xi005,2.2,0.615478637163,12839.3558969,3126.15993914,3126.54820212
gpu_mode0_xi005,2.3,0.643480394995,12633.670004,2920.45464401,2920.8103757
gpu_mode0_xi005,2.4,0.671482152828,12428.024886,2714.79079852,2715.14022309
gpu_mode0_xi005,2.5,0.699483910661,12222.0697283,2508.81727422,2509.16859395
gpu_mode0_xi005,2.6,0.727485668493,12016.5377271,2303.26714401,2303.60919822
gpu_mode0_xi005,2.7,0.755487426326,11812.7468232,2099.45920132,2099.7485997
gpu_mode0_xi005,2.8,0.783489184159,11661.8096531,1948.5130208,1948.74205176
gpu_mode0_xi005,2.9,0.811490941991,11553.1959069,1839.89149302,1840.11534703
gpu_mode0_xi005,3,0.839492699824,11448.4552567,1735.14322913,1735.31473955
gpu_mode0_xi005,3.1,0.867494457657,11343.2378847,1629.91840274,1630.09476283
gpu_mode0_xi005,3.2,0.89549621549,11238.8667129,1525.53971351,1525.70693821
gpu_mode0_xi005,3.3,0.923497973322,11134.2702843,1420.93598087,1421.10920787
gpu_mode0_xi005,3.4,0.951499731155,11030.3162173,1316.97460934,1317.14350882
gpu_mode0_xi005,3.5,0.979501488988,10926.6991922,1213.35026038,1213.52382692
gpu_mode0_xi005,3.6,1.00750324682,10823.3569785,1110.00075951,1110.17467741
gpu_mode0_xi010,0,0,9711.90041542,0,0
gpu_mode0_xi010,0.1,0.027441722676,25305.2338084,15593.0243049,15595.7667394
gpu_mode0_xi010,0.2,0.0554434805087,23769.5355939,14057.2092009,14059.1587936
gpu_mode0_xi010,0.3,0.0834452383414,22576.1045608,12863.6874996,12865.531029
gpu_mode0_xi010,0.4,0.111446996174,21563.7075343,11851.2135413,11852.6056658
gpu_mode0_xi010,0.5,0.139448754007,20665.7592869,10953.1970483,10954.410998
gpu_mode0_xi010,0.6,0.16745051184,19855.5897258,10142.9652775,10144.3186041
gpu_mode0_xi010,0.7,0.195452269672,19126.6490888,9413.96874974,9415.02970272
gpu_mode0_xi010,0.8,0.223454027505,18431.8219636,8719.08767338,8720.02370901
gpu_mode0_xi010,0.9,0.251455785338,17826.0492595,8113.26736088,8114.31042285
gpu_mode0_xi010,1,0.27945754317,17225.2719101,7512.44270811,7513.33709237
gpu_mode0_xi010,1.1,0.307459301003,16710.7799664,6997.90972203,6998.70810613
gpu_mode0_xi010,1.2,0.335461058836,16208.6559115,6495.7452255,6496.6295228
gpu_mode0_xi010,1.3,0.363462816668,15735.380678,6022.43229151,6023.15921115
gpu_mode0_xi010,1.4,0.391464574501,15331.8001364,5618.81944429,5619.50693977
gpu_mode0_xi010,1.5,0.419466332334,14929.9755198,5216.9618054,5217.60380069
gpu_mode0_xi010,1.6,0.447468090166,14533.4588099,4820.41276029,4820.94723664
gpu_mode0_xi010,1.7,0.475469847999,14225.4570504,4512.38585057,4512.90974466
gpu_mode0_xi010,1.8,0.503471605832,13923.4702988,4210.37326377,4210.86017061
gpu_mode0_xi010,1.9,0.531473363665,13621.1965228,3908.0737846,3908.55746487
gpu_mode0_xi010,2,0.559475121497,13320.5191464,3607.37369781,3607.83351129
gpu_mode0_xi010,2.1,0.58747687933,13073.8178701,3360.65104156,3361.08366509
gpu_mode0_xi010,2.2,0.615478637163,12872.8672955,3159.67968741,3160.05626827
gpu_mode0_xi010,2.3,0.643480394995,12671.3319464,2958.12543394,2958.4745091
gpu_mode0_xi010,2.4,0.671482152828,12469.7544467,2756.5295138,2756.86629466
gpu_mode0_xi010,2.5,0.699483910661,12267.8385568,2554.59548603,2554.93733242
gpu_mode0_xi010,2.6,0.727485668493,12066.3421462,2353.08116311,2353.41626816
gpu_mode0_xi010,2.7,0.755487426326,11865.8415421,2152.56315096,2152.8895926
gpu_mode0_xi010,2.8,0.783489184159,11698.6613436,1985.37217878,1985.58462921
gpu_mode0_xi010,2.9,0.811490941991,11590.3397275,1877.0427517,1877.2647051
gpu_mode0_xi010,3,0.839492699824,11485.3863625,1772.08170569,1772.29597064
gpu_mode0_xi010,3.1,0.867494457657,11382.3203658,1669.00813798,1669.19936205
gpu_mode0_xi010,3.2,0.89549621549,11279.8744482,1566.55468746,1566.72974838
gpu_mode0_xi010,3.3,0.923497973322,11178.2589424,1464.9317491,1465.10321674
gpu_mode0_xi010,3.4,0.951499731155,11076.6247229,1363.29014753,1363.4577907
gpu_mode0_xi010,3.5,0.979501488988,10974.9014815,1261.55957028,1261.72615367
gpu_mode0_xi010,3.6,1.00750324682,10873.7023337,1160.35308156,1160.52066395
gpu_mode1_xi005_b5,0,0,9711.90041542,0,0
gpu_mode1_xi005_b5,0.1,0.027441722676,25602.3779643,15890.1649299,15892.9278918
gpu_mode1_xi005_b5,0.2,0.0554434805087,24005.5877928,14293.256944,14295.2074043
gpu_mode1_xi005_b5,0.3,0.0834452383414,22773.0551826,13060.6328121,13062.4788911
gpu_mode1_xi005_b5,0.4,0.111446996174,21725.4154041,12012.9157983,12014.302394
gpu_mode1_xi005_b5,0.5,0.139448754007,20799.0663024,11086.4982636,11087.7109519
gpu_mode1_xi005_b5,0.6,0.16745051184,19969.138081,10256.5078122,10257.8872108
gpu_mode1_xi005_b5,0.7,0.195452269672,19214.2667906,9501.57986085,9502.64521262
gpu_mode1_xi005_b5,0.8,0.223454027505,18500.843687,8788.1024303,8789.12878779
gpu_mode1_xi005_b5,0.9,0.251455785338,17877.2624523,8164.47309005,8165.51658557
gpu_mode1_xi005_b5,1,0.27945754317,17264.0606764,7551.22395811,7552.12271219
gpu_mode1_xi005_b5,1.1,0.307459301003,16734.4706383,7021.59244772,7022.39108847
gpu_mode1_xi005_b5,1.2,0.335461058836,16222.2328498,6509.31423592,6510.19797936
gpu_mode1_xi005_b5,1.3,0.363462816668,15737.3243502,6024.3680554,6025.10444317
gpu_mode1_xi005_b5,1.4,0.391464574501,15325.5891787,5612.60069429,5613.29611314
gpu_mode1_xi005_b5,1.5,0.419466332334,14915.7467744,5202.72526026,5203.37176297
gpu_mode1_xi005_b5,1.6,0.447468090166,14513.1580503,4800.10460057,4800.65413783
gpu_mode1_xi005_b5,1.7,0.475469847999,14201.4982774,4488.41970474,4488.95489564
gpu_mode1_xi005_b5,1.8,0.503471605832,13893.5088975,4180.40451377,4180.89600372
gpu_mode1_xi005_b5,1.9,0.531473363665,13585.9200764,3872.79079851,3873.28103757
gpu_mode1_xi005_b5,2,0.559475121497,13279.4258174,3566.27430545,3566.72383479
gpu_mode1_xi005_b5,2.1,0.58747687933,13044.3532034,3331.17881933,3331.63033492
gpu_mode1_xi005_b5,2.2,0.615478637163,12838.2867605,3125.09071171,3125.5006124
gpu_mode1_xi005_b5,2.3,0.643480394995,12632.6366766,2919.42100685,2919.78570174
gpu_mode1_xi005_b5,2.4,0.671482152828,12426.9741002,2713.73958324,2714.09034669
gpu_mode1_xi005_b5,2.5,0.699483910661,12221.0428743,2507.78993047,2508.13593758
gpu_mode1_xi005_b5,2.6,0.727485668493,12015.539943,2302.26888012,2302.61679101
gpu_mode1_xi005_b5,2.7,0.755487426326,11811.7676309,2098.47960063,2098.76909665
gpu_mode1_xi005_b5,2.8,0.783489184159,11663.0719261,1949.77517357,1949.98303237
gpu_mode1_xi005_b5,2.9,0.811490941991,11553.5547151,1840.25021698,1840.46692473
gpu_mode1_xi005_b5,3,0.839492699824,11447.3390763,1734.02690969,1734.18774188
gpu_mode1_xi005_b5,3.1,0.867494457657,11342.3800097,1629.06032983,1629.24339391
gpu_mode1_xi005_b5,3.2,0.89549621549,11238.1129749,1524.78580726,1524.95543145
gpu_mode1_xi005_b5,3.3,0.923497973322,11134.1061187,1420.77159285,1420.94723707
gpu_mode1_xi005_b5,3.4,0.951499731155,11029.8470314,1316.50509979,1316.67639322
gpu_mode1_xi005_b5,3.5,0.979501488988,10926.8056485,1213.45638017,1213.62551568
gpu_mode1_xi005_b5,3.6,1.00750324682,10823.4484089,1110.09179684,1110.26208934
analytical,0,0,30011.136035,20299.236034,20299.236034
analytical,0.1,0.027441722676,26227.9155296,16516.0155286,16516.0155286
analytical,0.2,0.0554434805087,24627.8440965,14915.9440955,14915.9440955
analytical,0.3,0.0834452383414,23403.7776959,13691.877695,13691.877695
analytical,0.4,0.111446996174,22373.1721549,12661.2721539,12661.2721539
analytical,0.5,0.139448754007,21466.3821635,11754.4821625,11754.4821625
analytical,0.6,0.16745051184,20648.8080563,10936.9080553,10936.9080553
analytical,0.7,0.195452269672,19901.0620515,10189.1620505,10189.1620505
analytical,0.8,0.223454027505,19211.3951961,9499.49519509,9499.49519509
analytical,0.9,0.251455785338,18572.1467734,8860.24677246,8860.24677246
analytical,1,0.27945754317,17977.9232954,8266.02329446,8266.02329446
analytical,1.1,0.307459301003,17424.6308969,7712.7308959,7712.7308959
analytical,1.2,0.335461058836,16908.9529473,7197.05294627,7197.05294627
analytical,1.3,0.363462816668,16428.0647217,6716.16472074,6716.16472074
analytical,1.4,0.391464574501,15979.4752966,6267.57529563,6267.57529563
analytical,1.5,0.419466332334,15560.9380172,5849.03801618,5849.03801618
analytical,1.6,0.447468090166,15170.3980833,5458.49808229,5458.49808229
analytical,1.7,0.475469847999,14805.9603538,5094.0603528,5094.0603528
analytical,1.8,0.503471605832,14465.8682774,4753.96827639,4753.96827639
analytical,1.9,0.531473363665,14148.4890505,4436.58904949,4436.58904949
analytical,2,0.559475121497,13852.3023543,4140.40235335,4140.40235335
analytical,2.1,0.58747687933,13575.891234,3863.99123298,3863.99123298
analytical,2.2,0.615478637163,13317.9343322,3606.0343312,3606.0343312
analytical,2.3,0.643480394995,13077.1990429,3365.29904195,3365.29904195
analytical,2.4,0.671482152828,12852.5353368,3140.63533583,3140.63533583
analytical,2.5,0.699483910661,12642.8701143,2930.97011336,2930.97011336
analytical,2.6,0.727485668493,12447.2019983,2735.30199734,2735.30199734
analytical,2.7,0.755487426326,12264.5965071,2552.69650608,2552.69650608
analytical,2.8,0.783489184159,12094.1815678,2382.28156679,2382.28156679
analytical,2.9,0.811490941991,11935.1433391,2223.24333814,2223.24333814
