case,frame,frame_index,time_s,particles,PorePress_max,PorePress_mean,ExcessPorePress_maxAbs,bottom_ExcessPorePress_mean,top_excess_maxAbs,bottom_no_flux_proxy_maxAbs,Vel_mag_maxAbs,Vel_mag_mean,settlement_dz_mean,PorePressRate_maxAbs,DivVel_maxAbs,hydraulic_contribution_maxAbs,PorePressureAccelDiff_mag_maxAbs,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_min,PorePress_maxAbs,PorePress_min,bottom_ExcessPorePress_max,bottom_ExcessPorePress_maxAbs,bottom_ExcessPorePress_min,has_ExcessPorePress,has_PorePress,has_PorePressureAccelDiff,settlement_dz_max,settlement_dz_maxAbs,settlement_dz_min
T0p05,PartCsv_0000,0,0,1000,9760.95041752,4905.00020981,0,0,0,0,0,0,0,17.464165,0,2.61962490661e-08,0,0,0,0,9760.95041752,49.0500020981,0,0,0,True,True,True,0,0,0
T0p05,PartCsv_0001,1,0.005,1000,37447.5363814,20780.1831633,27696.1835866,27686.5121508,3.82387469955e-06,0.221306809002,0.0021334237,0.00121374817903,-3.8196212e-05,283288960,0.031787679,0.42237036814,21.911646,27696.1835866,15874.8082425,3.45862230233e-06,37447.5363814,49.5944854388,27686.512151,27686.512151,27686.5121506,True,True,True,-7.5242e-06,5.549e-05,-5.549e-05
T0p05,PartCsv_0002,2,0.01,1000,28895.8659612,15343.072875,19144.0382411,19134.8229137,3.65137640657e-05,0.155132673503,0.0078069665,0.00505399532783,-4.5819632e-05,179447600,0.030196903,0.238974521418,11.746841,19144.0382411,10437.6231577,-3.65137640657e-05,28895.8659612,49.617938143,19134.8229143,19134.8229143,19134.8229131,True,True,True,-9.4422e-06,5.787e-05,-5.787e-05
T0p05,PartCsv_0003,3,0.015,1000,26000.6941292,13606.4646825,16246.1958863,16239.6354151,1.22461656957e-05,0.0139212680006,0.0026859674,0.00234766944925,-5.8006234e-05,107847420,0.017679106,0.16003336886,9.0934219,16246.1958863,8700.89540863,-1.22461656957e-05,26000.6941292,49.7553789536,16239.6354154,16239.6354154,16239.6354148,True,True,True,-1.10394e-05,7.188e-05,-7.188e-05
T0p05,PartCsv_0004,4,0.02,1000,27717.9581317,14794.2909458,17963.1024211,17956.8854153,1.14782982905e-05,0.00361495700054,0.0024810391,0.00217329427165,-7.1670537e-05,128327540,0.015703898,0.196152158761,10.801134,17963.1024211,9888.58763947,-1.14782982905e-05,27717.9581317,49.9218223304,17956.8854156,17956.8854156,17956.885415,True,True,True,-1.24667e-05,8.887e-05,-8.887e-05
T0p05,PartCsv_0005,5,0.025,1000,27293.5634805,14617.1636964,17538.0432016,17532.4791653,1.4052271311e-05,0.0258819029987,0.0030044997,0.00248059383787,-8.343111e-05,128170270,0.014749074,0.190588977748,10.393965,17538.0432016,9711.34503676,-1.4052271311e-05,27293.5634805,50.0539696828,17532.4791656,17532.4791656,17532.479165,True,True,True,-1.3649e-05,0.00010234,-0.00010234
T0p05,PartCsv_0006,6,0.03,1000,26919.7269044,14460.7238464,17163.6878411,17158.6319432,1.27526258567e-05,0.0128242395003,0.0027266245,0.00231284341208,-9.502391e-05,124951500,0.013168281,0.187171973465,10.131371,17163.6878411,9554.79142328,-1.27526258567e-05,26919.7269044,50.1872346907,17158.6319435,17158.6319435,17158.631943,True,True,True,-1.4734e-05,0.00011593,-0.00011593
T0p05,PartCsv_0007,7,0.035,1000,26860.8600691,14492.6734943,17104.3996549,17099.7552072,1.24064135889e-05,0.0143525500025,0.0026534526,0.00224564224122,-0.000106521856,123661790,0.012174086,0.185735593352,10.194389,17104.3996549,9586.62831153,-1.24064135889e-05,26860.8600691,50.3209121647,17099.7552074,17099.7552074,17099.755207,True,True,True,-1.57436e-05,0.00012958,-0.00012958
T0p05,PartCsv_0008,8,0.04,1000,26709.2529567,14461.5095341,16953.135504,16948.1388878,1.24147258092e-05,0.0547182664995,0.0026543778,0.00222681553782,-0.000117721389,132752610,0.011427904,0.199019633436,9.9778595,16953.135504,9555.354463,-1.24147258092e-05,26709.2529567,50.4512225829,16948.138888,16948.138888,16948.1388876,True,True,True,-1.66819e-05,0.00014281,-0.00014281
T0p05,PartCsv_0009,9,0.045,1000,26558.3605912,14423.5530883,16801.3474378,16797.2378462,1.22391702177e-05,0.0120385834998,0.0026168427,0.00218728071371,-0.0001287335324,123610480,0.010758596,0.18538708021,10.103448,16801.3474378,9517.29000191,-1.22391702177e-05,26558.3605912,50.5800473845,16797.2378464,16797.2378464,16797.2378461,True,True,True,-1.75662e-05,0.00015598,-0.00015598
T0p05,PartCsv_0010,10,0.05,1000,26432.5302875,14396.765518,16675.276642,16671.3993046,1.21134291931e-05,0.0134360245029,0.0025899585,0.00215396366843,-0.000139587592,122288340,0.01019879,0.183430167863,10.073871,16675.276642,9490.39593466,-1.21134291931e-05,26432.5302875,50.7078001816,16671.3993048,16671.3993048,16671.3993044,True,True,True,-1.84062e-05,0.00016897,-0.00016897
T0p2,PartCsv_0000,0,0,1000,9760.95041752,4905.00020981,0,0,0,0,0,0,0,17.464165,0,2.61962490661e-08,0,0,0,0,9760.95041752,49.0500020981,0,0,0,True,True,True,0,0,0
T0p2,PartCsv_0001,1,0.02,1000,27717.9581317,14794.290516,17963.1020387,17956.8854153,1.14782982621e-05,0.00308222400054,0.0024810389,0.00217329446425,-7.1670537e-05,128327530,0.015703904,0.196152158761,10.801135,17963.1020387,9888.58720964,-1.14782982621e-05,27717.9581317,49.921822341,17956.8854156,17956.8854156,17956.885415,True,True,True,-1.24667e-05,8.887e-05,-8.887e-05
T0p2,PartCsv_0002,2,0.04,1000,26709.2529566,14461.5092684,16953.1365324,16948.1388878,1.24147345275e-05,0.0556443129972,0.0026543799,0.0022268164273,-0.000117721389,132752580,0.011427898,0.199019592662,9.9778585,16953.1365324,9555.35419728,-1.24147345275e-05,26709.2529566,50.4512226502,16948.138888,16948.138888,16948.1388876,True,True,True,-1.66819e-05,0.00014281,-0.00014281
T0p2,PartCsv_0003,3,0.06,1000,26185.1498352,14336.3248009,16427.5523709,16424.0034714,1.19400714809e-05,0.0118277610018,0.0025528932,0.0021005555122,-0.000160854138,122313810,0.009307242,0.18345993299,10.034691,16427.5523709,9429.74658213,-1.19400714809e-05,26185.1498352,50.9600166782,16424.0034715,16424.0034715,16424.0034712,True,True,True,-1.99741e-05,0.00019472,-0.00019472
