frame,time,n,zmin,zmax,velocity_max,velocity_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydrostatic_min,hydrostatic_max,hydrostatic_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydrostatic_mean,bottom_Excess_mean,bottom_Excess_maxAbs,top_Excess_maxAbs,bottom_grad_proxy,PorePressRate_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressureAccelDiff_maxAbs,has_PorePress,has_ExcessPorePress,has_PorePressureAccelDiff
0,0,1000,0.0049999999,0.995,0,0,0,49.0500020981,9760.95041752,4905.00020981,49.05,9760.95000098,4904.99999972,0,0,0,0,9711.90041542,9711.90000049,0,0,0,0,17.464165,0,2.61962490661e-08,0,True,True,True
1,0.1,1000,0.0049747163,0.99470526,0.0024606853,0.00194498905782,-0.000241534136,51.9416647829,25354.2227555,14094.409316,51.9413994,9761.1980331,4907.36944959,-1.15029300218e-05,15595.7667394,9187.0396564,15595.7667394,25305.2338084,9712.2090871,15593.0243049,15593.024305,1.15029300218e-05,0.00733717399999,120890940,0.0071903644,0.181382676801,9.9242611,True,True,True
2,0.2,1000,0.0049645896,0.99446487,0.0023545455,0.00171300950575,-0.0004234572723,54.2998174483,23818.5069938,13499.5533775,54.2996253,9761.29737602,4909.15411556,-1.10103431936e-05,14059.1587936,8590.39904742,14059.1587936,23769.5355939,9712.32597634,14057.2092009,14057.209201,1.10103431936e-05,0.00663563299895,118123260,0.0051602954,0.177187191056,9.7335262,True,True,True
3,0.3,1000,0.0049564796,0.99423432,0.0022526402,0.00155495799673,-0.0005864898357,56.5610758702,22625.0648504,12918.9581412,56.5613208,9761.37693512,4910.753465,-1.05344646784e-05,12865.531029,8008.20445859,12865.531029,22576.1045608,9712.41664448,12863.6874996,12863.6874996,1.05344646784e-05,0.0204817994982,122942980,0.0042814496,0.184404665221,9.2670956,True,True,True
4,0.4,1000,0.0049494994,0.99401522,0.0021291911,0.00142587769349,-0.0007353118742,58.7109974378,21612.6593698,12364.4135366,58.7106918,9761.44541089,4912.2134092,-9.95680055382e-06,11852.6056658,7452.19990454,11852.6056658,21563.7075343,9712.49357671,11851.2135413,11851.2135414,9.95680055382e-06,0.0044716579996,109062010,0.0037127296,0.163589096994,8.9468012,True,True,True
5,0.5,1000,0.0049433336,0.99380881,0.0019953384,0.00131293504791,-0.0008722682022,60.7353831524,20714.7033631,11841.0574302,60.7355739,9761.50589738,4913.55695078,-9.33082266386e-06,10954.410998,6927.50025651,10954.410998,20665.7592869,9712.56182194,10953.1970483,10953.1970484,9.33082266386e-06,0.00409356599994,102113970,0.003356081,0.153162806177,8.4105997,True,True,True
6,0.6,1000,0.0049377847,0.99361563,0.00186870200001,0.0012197135389,-0.0009989009228,62.6305636957,19904.5260274,11350.127782,62.6306697,9761.56033209,4914.79921777,-8.73831915271e-06,10144.3186041,6435.32837262,10144.3186041,19855.5897258,9712.62403333,10142.9652775,10142.9652775,8.73831915271e-06,0.0146837765024,102863950,0.0031129471,0.15428663491,7.7437568,True,True,True
7,0.7,1000,0.0049327849,0.99343562,0.0017382964,0.00112865683708,-0.001115953024,64.3965900749,19175.5785478,10894.7520022,64.3965678,9761.60938013,4915.94749888,-8.12827522623e-06,9415.02970272,5978.80429118,9415.02970272,19126.6490888,9712.67992247,9413.96874974,9413.96874978,8.12827522623e-06,0.00350549349969,89821344,0.0028657583,0.134728770267,7.3419294,True,True,True
8,0.8,1000,0.0049278918,0.99326777,0.00161399330003,0.0010417793494,-0.0012247888418,66.0431499134,18480.7454741,10468.6394129,66.0431763,9761.65738144,4917.01517825,-7.5477924355e-06,8720.02370901,5551.62402379,8720.02370901,18431.8219636,9712.73387443,8719.08767338,8719.08767341,7.5477924355e-06,0.00385671824915,82979592,0.0024973885,0.124457053638,6.8333077,True,True,True
9,0.9,1000,0.004923624,0.99311197,0.0015035678,0.000972746679915,-0.001325487837,67.5713062912,17874.9670263,10075.5758252,67.5715743,9761.69924856,4918.0030354,-7.03083851761e-06,8114.31042285,5157.57256787,8114.31042285,17826.0492595,9712.78148393,8113.26736088,8113.26736091,7.03083851761e-06,0.0108607907523,83060272,0.0024773173,0.124582018482,6.2509532,True,True,True
