quantity,line,n,rmse,mean_abs_error,max_abs_error,relative_rmse,note
bottom_excess_time,gpu_xi010,36,585.501328773,544.162895404,922.991223691,0.0808116605011,"time-series metrics, t=0 omitted because saved GPU frame is pre-undrained initialization"
bottom_porepress_time,gpu_xi010,36,584.580332563,543.054296186,922.681721172,0.0361098446214,"time-series metrics, t=0 omitted"
excess_envelope_time,gpu_xi010,36,584.676965609,543.472785989,920.248789191,0.0806978808171,analytical envelope equals bottom excess for this 1D linear initial condition
bottom_excess_time,gpu_xi005,36,550.170560942,528.109579312,714.778503019,0.0759352616358,"time-series metrics, t=0 omitted because saved GPU frame is pre-undrained initialization"
bottom_porepress_time,gpu_xi005,36,549.166745118,526.993718523,713.84173434,0.0339223280921,"time-series metrics, t=0 omitted"
excess_envelope_time,gpu_xi005,36,549.394983208,527.412174996,713.882078129,0.0758282153808,analytical envelope equals bottom excess for this 1D linear initial condition
excess_profile_t0.1,gpu_xi010,100,359.882013202,269.967103639,785.454638234,0.032952389438,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
excess_profile_t0.5,gpu_xi010,100,387.383235759,340.986749128,653.398667366,0.0468554698628,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
excess_profile_t1,gpu_xi010,100,373.725951937,327.119582914,598.034274878,0.0638250223481,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
excess_profile_t2,gpu_xi010,100,226.877656852,193.498096156,369.034906368,0.0772682219997,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
excess_profile_t3.6,gpu_xi010,100,61.7553984427,49.6621310812,159.011768634,0.0635027738117,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
excess_profile_t0.1,gpu_xi005,100,157.629035127,111.897865813,429.720316978,0.0144331312715,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
excess_profile_t0.5,gpu_xi005,100,264.090675175,229.216680828,480.335953878,0.0319422742539,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
excess_profile_t1,gpu_xi005,100,329.659483422,288.360449285,533.551085599,0.0562983145505,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
excess_profile_t2,gpu_xi005,100,247.408526492,211.202817073,401.43949612,0.0842589550785,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
excess_profile_t3.6,gpu_xi005,100,74.0249615977,66.1197141148,155.182009908,0.0761186310815,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
porepress_profile_t0.1,gpu_xi010,100,246.835507967,180.353742552,596.265488367,0.0149246183016,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
porepress_profile_t0.5,gpu_xi010,100,252.945818331,204.37560146,475.461465635,0.0182310586507,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
porepress_profile_t1,gpu_xi010,100,246.288355323,206.71685341,428.966755273,0.0214783014121,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
porepress_profile_t2,gpu_xi010,100,132.481739999,115.756824454,255.665315712,0.0154797004594,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
porepress_profile_t3.6,gpu_xi010,100,163.759028881,156.340576687,277.458337707,0.0247916568974,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
porepress_profile_t0.1,gpu_xi005,100,172.079082539,158.602663446,283.01525223,0.0104045018147,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
porepress_profile_t0.5,gpu_xi005,100,155.187707598,120.770703757,327.178712746,0.0111849716993,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
porepress_profile_t1,gpu_xi005,100,211.814914294,177.576120286,375.676684695,0.0184716148018,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
porepress_profile_t2,gpu_xi005,100,147.958786241,129.191858078,265.045467715,0.0172877855621,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
porepress_profile_t3.6,gpu_xi005,100,150.704207043,136.572206651,287.033870445,0.0228149873435,profile values recovered approximately from retained SVG because raw PartCsv profiles were cleaned
