frame,time,n,zmin,zmax,velocity_max,velocity_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydrostatic_min,hydrostatic_max,hydrostatic_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydrostatic_mean,bottom_Excess_mean,bottom_Excess_maxAbs,top_Excess_maxAbs,bottom_grad_proxy,PorePressRate_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressureAccelDiff_maxAbs,has_PorePress,has_ExcessPorePress,has_PorePressureAccelDiff
0,0,1000,0.0049999999,0.995,0,0,0,49.0500020981,9760.95041752,4905.00020981,49.05,9760.95000098,4904.99999972,0,0,0,0,9711.90041542,9711.90000049,0,0,0,0,17.464165,0,2.61962490661e-08,0,True,True,True
1,0.1,1000,0.0049744742,0.99469846,0.0025156129,0.00198082054978,-0.000246555297,52.0079804659,25651.3900626,14281.6341907,52.0081074,9761.2004081,4907.41870718,-1.17657106671e-05,15892.9516754,9374.2152492,15892.9516754,25602.4022699,9712.21261919,15890.1892354,15890.1892356,1.17657106671e-05,0.00792800399904,123614600,0.0072593167,0.185370374121,10.139453,True,True,True
2,0.2,1000,0.0049642711,0.99445337,0.0024015282,0.00174176645765,-0.0004315284655,54.4124453118,24054.9467525,13653.8281386,54.4124403,9761.30050051,4909.23329396,-1.12321268517e-05,14295.6001224,8744.59464607,14295.6001224,24005.9766293,9712.3303826,14293.6458328,14293.6458329,1.12321268517e-05,0.00616560300296,120495860,0.0052278666,0.180726581333,9.9273252,True,True,True
3,0.3,1000,0.0049560508,0.99421865,0.0022909343,0.0015771157136,-0.0005971024817,56.7153388843,22821.9362445,13048.8268765,56.7150435,9761.38114165,4910.85757506,-1.07131133902e-05,13062.3995692,8137.96907294,13062.3995692,22772.9772745,9712.42217193,13060.5546871,13060.5546871,1.07131133902e-05,0.0197892510041,125153760,0.0042912229,0.187723637945,9.4332151,True,True,True
4,0.4,1000,0.0049490533,0.9939959,0.0021601117,0.00144313428232,-0.0007479905316,58.8999752012,21774.3581916,12471.5177103,58.900221,9761.44978713,4912.33778683,-1.01030030208e-05,12014.2967054,7559.17971229,12014.2967054,21725.4078465,9712.49944476,12012.9079858,12012.9079858,1.01030030208e-05,0.00485501499497,110771940,0.0037194369,0.166142781585,9.0861769,True,True,True
5,0.5,1000,0.0049428968,0.99378663,0.0020208135,0.00132740648691,-0.0008866659356,60.9530271408,20848.0253566,11929.4486412,60.9531597,9761.51018239,4913.69819254,-9.44908681077e-06,11087.7274936,7015.75025792,11087.7274936,20799.0830104,9712.56783812,11086.5147566,11086.5147567,9.44908681077e-06,0.00402578949979,103506200,0.0033585199,0.155256695255,8.5258112,True,True,True
6,0.6,1000,0.0049373643,0.99359113,0.0018896979,0.00123249765953,-0.0010146553708,62.8711017788,20018.0249428,11422.6738298,62.8710147,9761.56445622,4914.9537689,-8.83621876824e-06,10257.8346414,6507.71985394,10257.8346414,19969.0905277,9712.63004195,10256.4600692,10256.4600692,8.83621876824e-06,0.0153890375004,104079680,0.0032060947,0.156111028446,7.8353114,True,True,True
7,0.7,1000,0.0049323337,0.99340916,0.0017545499,0.0011383989228,-0.001132899823,64.656032731,19263.225336,10951.9712349,64.6561404,9761.6138064,4916.11374698,-8.20424848769e-06,9502.67734167,6035.85727842,9502.67734167,19214.2981814,9712.68665458,9501.61111085,9501.61111089,8.20424848769e-06,0.00528457669861,90714168,0.0028712163,0.136068564454,7.414978,True,True,True
8,0.8,1000,0.0049274312,0.99323982,0.00163250600001,0.0010557243778,-0.001242675015,66.3170902758,18549.7899197,10511.92026,66.3173658,9761.66189993,4917.19064161,-7.63365935086e-06,8789.13652664,5594.72942086,8789.13652664,18500.868961,9712.74094116,8788.12760391,8788.12760394,7.63365935086e-06,0.00306122434995,83627456,0.0026059644,0.125434836282,6.8873625,True,True,True
9,0.9,1000,0.0049231239,0.99308294,0.0015127889,0.000978426679157,-0.0013440664033,67.8563241539,17926.167245,10108.7896028,67.8563586,9761.70415454,4918.18529113,-7.0740518936e-06,8165.50537269,5190.60410781,8165.50537269,17877.2520963,9712.78900687,8164.46267338,8164.46267341,7.0740518936e-06,0.0114515581508,83606648,0.0024741939,0.125402014349,6.2921457,True,True,True
