run,time,top_excess_maxAbs,bottom_no_flux_proxy,bottom_excess_mean,ExcessPorePress_maxAbs
T3p6,0.0,0.0,0.0,0.0,0.0
T3p6,0.100001,1.068871569032e-08,7.900161899243585e-05,-38.520094127007,38.54514617748
T3p6,0.2,7.34399918656e-09,2.6960944008891374e-05,-27.347540960550997,27.35661834722
T3p6,0.3,1.014741712879e-08,6.696055849531035e-05,-22.4621988927755,22.46846640151
T3p6,0.400001,1.185408393667e-08,9.730743503411077e-06,-19.542215982765494,19.54553905276
T3p6,0.500001,1.242369762622e-08,6.533267001174181e-06,-17.495005289439,17.49757265951
T3p6,0.6,1.227557078209e-08,2.6514165998747785e-05,-15.911127725987,15.91365270948
T3p6,0.7,1.174190344955e-08,5.0045270061360725e-06,-14.596949259234497,14.59877575197
T3p6,0.800001,1.109713565484e-08,5.169079999589599e-06,-13.456503973876503,13.45804895565
T3p6,0.900001,1.037830799078e-08,1.597739299974421e-05,-12.437388102045,12.43900949755
T3p6,1.0,9.736822903506e-09,3.5479495004153705e-06,-11.516898260983,11.51831320679
T3p6,1.1,9.069175632703e-09,5.970594987303457e-07,-10.673343234410499,10.67460784955
T3p6,1.200001,8.414609453666e-09,1.2909665802141035e-05,-9.90070427773095,9.901960658244
T3p6,1.300001,7.847170024888e-09,1.5521679994634496e-06,-9.19032965749635,9.191438481545
T3p6,1.4,7.265583690241e-09,3.4743772996392863e-06,-8.52417839884035,8.525147544293
T3p6,1.5,6.764594218112e-09,1.4639807499605695e-06,-7.917917887226899,7.918876923739
T3p6,1.600001,6.26793905667e-09,2.888664449862688e-06,-7.340660095089399,7.341531539678
T3p6,1.700001,5.810505854242e-09,4.009631397572377e-06,-6.809431287861651,6.810223634471
T3p6,1.8,5.387931878431e-09,4.9844943479371295e-06,-6.316146002772751,6.316860560906
T3p6,1.9,5.018705451221e-09,3.099384950466799e-06,-5.8606330022791,5.861348154198
T3p6,2.000001,4.650587470678e-09,9.733208985451824e-07,-5.4370295205736,5.437663620385
T3p6,2.100001,4.303146283746e-09,1.1221744005140977e-06,-5.045077005939099,5.04563695107
T3p6,2.2,4.008001042166e-09,5.362282493592829e-07,-4.68616019346325,4.686720774736
T3p6,2.3,3.706304596562e-09,1.6479458002649494e-06,-4.3460422091301,4.346525152103
T3p6,2.400001,3.451454233527e-09,2.3601815488660804e-06,-4.038725958855201,4.039210194422
T3p6,2.500001,3.194415398866e-09,4.490491498643223e-07,-3.746247185539,3.746682377367
T3p6,2.6,2.961343170682e-09,3.308044100425178e-06,-3.47474861139455,3.475149202075
T3p6,2.7,2.757673200904e-09,2.7683125001232156e-06,-3.2236713832702,3.224076132197
T3p6,2.800001,2.556184597324e-09,2.316959300419086e-06,-2.9914228650730497,2.991784204638
T3p6,2.900001,2.368857110469e-09,1.769683099173136e-06,-2.7749053106907504,2.775225303838
T3p6,3.0,2.20546780838e-09,9.751901006715968e-07,-2.5762926737001495,2.576610338663
T3p6,3.1,2.041026903044e-09,3.1026199831529766e-08,-2.3904054429397497,2.390687915535
T3p6,3.200001,1.899451262943e-09,-1.7131675011938796e-07,-2.21856604677945,2.218851365322
T3p6,3.300001,1.757854306561e-09,1.7733518999918374e-06,-2.05979834659065,2.060040361861
T3p6,3.4,1.631519808143e-09,6.062689996699788e-07,-1.91176117787865,1.912001669993
T3p6,3.5,1.513889458238e-09,6.038995996604513e-07,-1.7728261947338502,1.773046844493
T3p6,3.600001,1.403890337315e-09,1.869763750050879e-06,-1.6448402404519498,1.645037802789
