run,time,frame,particles,code,excluded,steps,runtime_s,body_gravity_stop_log,hydraulic_gravity_active_log,PorePress_min,PorePress_max,PorePress_mean,PorePress_maxAbs,ExcessPorePress_min,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_maxAbs,PorePressRate_min,PorePressRate_max,PorePressRate_mean,PorePressRate_maxAbs,DivVel_min,DivVel_max,DivVel_mean,DivVel_maxAbs,LapPorePress_min,LapPorePress_max,LapPorePress_mean,LapPorePress_maxAbs,LapZ_min,LapZ_max,LapZ_mean,LapZ_maxAbs,Vel_mag_max,Vel_mag_mean,PorePressureAccelDiff_mag_maxAbs,settlement_dz_mean,zmin,zmax,top_count,bottom_count,bottom_ref_count,top_excess_maxAbs,bottom_excess_mean,bottom_no_flux_proxy,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,case,TimeMax,TimeOut
T3p6,0.0,PartCsv_0000,1000,0,0,3775438,8841.972656,True,True,49.05000209808,9760.950417519,4905.000209808328,9760.950417519,0.0,0.0,0.0,0.0,-17.464165,17.022942,1.8579599312818973,17.464165,0.0,0.0,0.0,0.0,-725604.19,725604.25,-9.620557655580342e-05,725604.25,-73.965759,73.965759,2.786275510928249e-06,73.965759,0.0,0.0,0.0,0.0,0.0049999999,0.995,20,20,20,0.0,0.0,0.0,0.0,17.4641660440367,S1_BGStop_T36,3.6,0.1
T3p6,0.100001,PartCsv_0001,1000,0,0,3775438,8841.972656,True,True,49.09692036357,9722.425208847,4892.278104714047,9722.425208847,-38.54514617748,1.068871569032e-08,-12.758632673318255,38.54514617748,-97076.375,1399.0089,-1939.123495729602,97076.375,-3.4612451e-05,0.00014279802,2.908470101819008e-06,0.00014279802,-725670.19,725511.62,-0.7435481889049989,725670.19,-73.969711,73.969681,7.561069227715222e-05,73.969711,1.2014427000335717e-05,5.520491680407763e-06,0.046421967000003915,-3.7212090000017467e-06,0.0050005214,0.99499524,20,20,20,1.068871569032e-08,-38.520094127007,7.900161899243585e-05,95198.68000000001,51833.42235813803,S1_BGStop_T36,3.6,0.1
T3p6,0.2,PartCsv_0002,1000,0,0,3775438,8841.972656,True,True,49.09534020559,9733.598964689,4892.69401757393,9733.598964689,-27.35661834722,7.34399918656e-09,-12.338623269972901,27.35661834722,-62039.555,417.19778,-1259.746481318,62039.555,-1.0494925e-05,5.5574073e-05,1.8899059114490025e-06,5.5574073e-05,-725647.06,725486.62,-0.7433046264501754,725647.06,-73.969719,73.969116,7.604769365896402e-05,73.969719,5.599491523556576e-06,3.400135590619433e-06,0.022666082000760267,-3.30299899999993e-06,0.005000399,0.99499536,20,20,20,7.34399918656e-09,-27.347540960550997,2.6960944008891374e-05,37049.382000000005,62096.638803940215,S1_BGStop_T36,3.6,0.1
T3p6,0.3,PartCsv_0003,1000,0,0,3775438,8841.972656,True,True,49.09351997508,9738.484920708,4893.197931198031,9738.484920708,-22.46846640151,1.014741712879e-08,-11.831794297416701,22.46846640151,-113340.47,18020.191,-1570.4485799537,113340.47,-4.5200809e-06,3.1774096e-05,2.3556454174350004e-06,3.1774096e-05,-725641.62,725351.5,-0.7422806629149709,725641.62,-73.969719,73.968887,7.566580016188596e-05,73.969719,3.7401467008521e-06,2.6835748374321165e-06,0.015393084000085759,-3.0111139999994556e-06,0.0050003361,0.99499553,20,20,20,1.014741712879e-08,-22.4621988927755,6.696055849531035e-05,21182.73066666667,113347.79476724484,S1_BGStop_T36,3.6,0.1
T3p6,0.400001,PartCsv_0004,1000,0,0,3775438,8841.972656,True,True,49.09119115715,9741.405289147,4893.833418871956,9741.405289147,-19.54553905276,1.185408393667e-08,-11.193895640865785,19.54553905276,-129806.22,856.80353,-1770.5925882085498,129806.22,-1.5621742e-06,2.118164e-05,2.656027306671002e-06,2.118164e-05,-725637.0,725316.25,-0.7427296556581278,725637.0,-73.969727,73.968735,7.586891611390456e-05,73.969727,2.95748350543162e-06,2.292593976468816e-06,0.0123310140000283,-2.764949000000806e-06,0.005000297,0.99499577,20,20,20,1.185408393667e-08,-19.542215982765494,9.730743503411077e-06,14121.093333333334,129835.07849133557,S1_BGStop_T36,3.6,0.1
T3p6,0.500001,PartCsv_0005,1000,0,0,3775438,8841.972656,True,True,49.08863091787,9743.452770996,4894.5281875504,9743.452770996,-17.49757265951,1.242369762622e-08,-10.497017482631733,17.49757265951,-137010.98,425.95395,-1822.9804178194197,137010.98,-2.2577957e-07,1.5814772e-05,2.734983083329501e-06,1.5814772e-05,-725635.19,725298.31,-0.7425051030262839,725635.19,-73.969727,73.968643,7.61878827001965e-05,73.969727,2.6816936026296377e-06,2.046050670790369e-06,0.011296412000003832,-2.5492254999984858e-06,0.005000269,0.99499607,20,20,20,1.242369762622e-08,-17.495005289439,6.533267001174181e-06,10543.181333333334,137024.96907917058,S1_BGStop_T36,3.6,0.1
T3p6,0.6,PartCsv_0006,1000,0,0,3775438,8841.972656,True,True,49.08603972241,9745.036851078,4895.227903566254,9745.036851078,-15.91365270948,1.227557078209e-08,-9.795404478414854,15.91365270948,-146515.53,23395.027,-1780.4644636327116,146515.53,-5.4858833e-09,1.1810896e-05,2.671025309151402e-06,1.1810896e-05,-725634.44,725266.19,-0.7417197070927359,725634.44,-73.969719,73.968575,7.592205242519867e-05,73.969719,2.6295793000288826e-06,1.8574663891481278e-06,0.011056702000038563,-2.3561225999991653e-06,0.0050002486,0.99499631,20,20,20,1.227557078209e-08,-15.911127725987,2.6514165998747785e-05,7873.930666666667,146517.93883792055,S1_BGStop_T36,3.6,0.1
T3p6,0.7,PartCsv_0007,1000,0,0,3775438,8841.972656,True,True,49.08352180433,9746.351187969,4895.905475429504,9746.351187969,-14.59877575197,1.174190344955e-08,-9.116101129064598,14.59877575197,-131862.72,1340.9291,-1698.5922582499002,131862.72,-4.4925934e-09,9.9236413e-06,2.5489310845276985e-06,9.9236413e-06,-725633.06,725310.88,-0.7427215016997653,725633.06,-73.969719,73.968498,7.676052511123999e-05,73.969719,2.5126983000705247e-06,1.6968013919261849e-06,0.010783472000021058,-2.1753234000023123e-06,0.0050002323,0.99499661,20,20,20,1.174190344955e-08,-14.596949259234497,5.0045270061360725e-06,6615.760866666667,131863.50458715507,S1_BGStop_T36,3.6,0.1
T3p6,0.800001,PartCsv_0008,1000,0,0,3775438,8841.972656,True,True,49.08112557876,9747.491761272,4896.547140270591,9747.491761272,-13.45804895565,1.109713565484e-08,-8.47284268394309,13.45804895565,-123695.65,376.21399,-1601.9108026990002,123695.65,2.636585e-09,8.7843746e-06,2.4030567599080014e-06,8.7843746e-06,-725632.25,725331.75,-0.7426366600149776,725632.25,-73.969727,73.968452,7.590705705601408e-05,73.969727,2.3736834001426198e-06,1.5647947223967572e-06,0.010190734000123216,-2.0124121000002213e-06,0.0050002192,0.99499685,20,20,20,1.109713565484e-08,-13.456503973876503,5.169079999589599e-06,5856.249733333334,123691.57118586235,S1_BGStop_T36,3.6,0.1
T3p6,0.900001,PartCsv_0009,1000,0,0,3775438,8841.972656,True,True,49.07887250385,9748.510980163,4897.151862636647,9748.510980163,-12.43900949755,1.037830799078e-08,-7.866648233324482,12.43900949755,-124824.23,19931.488,-1492.6587973900391,124824.23,3.0523842e-10,7.2213816e-06,2.23972409911382e-06,7.2213816e-06,-725631.94,725322.19,-0.7421214112095768,725631.94,-73.969734,73.968407,7.638788741581948e-05,73.969734,2.219643200003435e-06,1.4425671879459326e-06,0.00940200500000464,-1.8643155999994045e-06,0.005000209,0.99499708,20,20,20,1.037830799078e-08,-12.437388102045,1.597739299974421e-05,4814.254400000001,124820.51919809659,S1_BGStop_T36,3.6,0.1
