test,mode,frame,time,z,PorePress,ExcessPorePress,PorePressRate,LapPorePress,LapZ
hydrostatic,0,1,0.000500604,0.0049999999,9760.950323581,-9.39371802815e-05,0.0,-725604.25,73.965767
hydrostatic,0,1,0.000500604,0.0049999999,9760.950323581,-9.39371802815e-05,0.0,-725604.25,73.965767
hydrostatic,0,1,0.000500604,0.0049999999,9760.950323581,-9.39371802815e-05,0.0,-725604.25,73.965767
hydrostatic,0,1,0.000500604,0.0049999999,9760.950323581,-9.39371802815e-05,0.0,-725604.25,73.965767
hydrostatic,0,1,0.000500604,0.0049999999,9760.950323581,-9.39371802815e-05,0.0,-725604.25,73.965767
hydrostatic,0,1,0.000500604,0.0049999999,9760.950323581,-9.39371802815e-05,0.0,-725604.25,73.965767
hydrostatic,0,1,0.000500604,0.0049999999,9760.950323581,-9.39371802815e-05,0.0,-725604.25,73.965767
hydrostatic,0,1,0.000500604,0.0049999999,9760.950323581,-9.39371802815e-05,0.0,-725604.25,73.965767
hydrostatic,0,1,0.000500604,0.0049999999,9760.950323581,-9.39371802815e-05,0.0,-725604.25,73.965767
hydrostatic,0,1,0.000500604,0.0049999999,9760.950323581,-9.39371802815e-05,0.0,-725604.25,73.965767
hydrostatic,0,1,0.000500604,0.015,9662.850319385,-9.39371802815e-05,0.0,-237983.47,24.259272
hydrostatic,0,1,0.000500604,0.015,9662.850319385,-9.39371802815e-05,0.0,-237983.47,24.259272
hydrostatic,0,1,0.000500604,0.015,9662.850319385,-9.39371802815e-05,0.0,-237983.47,24.259272
hydrostatic,0,1,0.000500604,0.015,9662.850319385,-9.39371802815e-05,0.0,-237983.47,24.259272
hydrostatic,0,1,0.000500604,0.015,9662.850319385,-9.39371802815e-05,0.0,-237983.47,24.259272
hydrostatic,0,1,0.000500604,0.015,9662.850319385,-9.39371802815e-05,0.0,-237983.47,24.259272
hydrostatic,0,1,0.000500604,0.015,9662.850319385,-9.39371802815e-05,0.0,-237983.47,24.259272
hydrostatic,0,1,0.000500604,0.015,9662.850319385,-9.39371802815e-05,0.0,-237983.47,24.259272
hydrostatic,0,1,0.000500604,0.015,9662.850319385,-9.39371802815e-05,0.0,-237983.47,24.259272
hydrostatic,0,1,0.000500604,0.015,9662.850319385,-9.39371802815e-05,0.0,-237983.47,24.259272
hydrostatic,0,1,0.000500604,0.025,9564.750313957,-9.516884347249e-05,-0.15522042,-12844.312,1.3093077
