field,field_label,model,region,count,lap_mean,lap_absmax,rmse,max_abs_error
constant,u=1,M_material_only,full,1000,0.0,0.0,0.0,0.0
constant,u=1,M_material_only,interior_z_1h,960,0.0,0.0,0.0,0.0
constant,u=1,M_material_only,interior_z_2h,920,0.0,0.0,0.0,0.0
constant,u=1,M_material_only,interior_z_3h,880,0.0,0.0,0.0,0.0
constant,u=1,M_material_only,interior_xz_2h,184,0.0,0.0,0.0,0.0
constant,u=1,M_material_only,bottom_layer,20,0.0,0.0,0.0,0.0
constant,u=1,M_material_only,top_layer,20,0.0,0.0,0.0,0.0
constant,u=1,M_virtual_mode1,full,1000,-20.23548553210282,1998.9820914581815,199.91330403486265,1998.9820914581815
constant,u=1,M_virtual_mode1,interior_z_1h,960,0.0,0.0,0.0,0.0
constant,u=1,M_virtual_mode1,interior_z_2h,920,0.0,0.0,0.0,0.0
constant,u=1,M_virtual_mode1,interior_z_3h,880,0.0,0.0,0.0,0.0
constant,u=1,M_virtual_mode1,interior_xz_2h,184,0.0,0.0,0.0,0.0
constant,u=1,M_virtual_mode1,bottom_layer,20,0.0,0.0,0.0,0.0
constant,u=1,M_virtual_mode1,top_layer,20,-1011.7742766051412,1998.9820914581815,1413.6005293245937,1998.9820914581815
constant,u=1,MB_ideal_boundary_particles,full,1000,-168.7334516575951,17302.384749876775,1406.065605675762,17302.384749876775
constant,u=1,MB_ideal_boundary_particles,interior_z_1h,960,-2.5867563038433685,768.9324094911291,36.83449704169784,768.9324094911291
constant,u=1,MB_ideal_boundary_particles,interior_z_2h,920,0.0,0.0,0.0,0.0
constant,u=1,MB_ideal_boundary_particles,interior_z_3h,880,0.0,0.0,0.0,0.0
constant,u=1,MB_ideal_boundary_particles,interior_xz_2h,184,0.0,0.0,0.0,0.0
constant,u=1,MB_ideal_boundary_particles,bottom_layer,20,0.0,0.0,0.0,0.0
constant,u=1,MB_ideal_boundary_particles,top_layer,20,-8312.508280295273,17302.384749876775,9939.109563987424,17302.384749876775
linear,u=y,M_material_only,full,1000,7.958078640513122e-16,73.9657623121961,10.315322339852138,73.9657623121961
linear,u=y,M_material_only,interior_z_1h,960,-1.15833268902558e-15,1.3093103250775178,0.18147559875315014,1.3093103250775178
linear,u=y,M_material_only,interior_z_2h,920,-1.9412611614818023e-15,4.924949337237194e-13,2.1536424350072498e-13,4.924949337237194e-13
linear,u=y,M_material_only,interior_z_3h,880,-6.877705475845501e-16,4.924949337237194e-13,2.1998021130658962e-13,4.924949337237194e-13
linear,u=y,M_material_only,interior_xz_2h,184,-1.0930266353850386e-15,4.902744876744691e-13,2.307194209906196e-13,4.902744876744691e-13
linear,u=y,M_material_only,bottom_layer,20,45.68953484196355,73.9657623121961,51.56894872833547,73.9657623121961
linear,u=y,M_material_only,top_layer,20,-45.689534841963464,73.965762312196,51.56894872833537,73.965762312196
linear,u=y,M_virtual_mode1,full,1000,-20.030674030606583,2052.9580328557954,204.95923650577217,2052.9580328557954
linear,u=y,M_virtual_mode1,interior_z_1h,960,-1.15833268902558e-15,1.3093103250775178,0.18147559875315014,1.3093103250775178
linear,u=y,M_virtual_mode1,interior_z_2h,920,-1.9412611614818023e-15,4.924949337237194e-13,2.1536424350072498e-13,4.924949337237194e-13
linear,u=y,M_virtual_mode1,interior_z_3h,880,-6.877705475845501e-16,4.924949337237194e-13,2.1998021130658962e-13,4.924949337237194e-13
linear,u=y,M_virtual_mode1,interior_xz_2h,184,-1.0930266353850386e-15,4.902744876744691e-13,2.307194209906196e-13,4.902744876744691e-13
linear,u=y,M_virtual_mode1,bottom_layer,20,45.68953484196355,73.9657623121961,51.56894872833547,73.9657623121961
linear,u=y,M_virtual_mode1,top_layer,20,-1047.2232363722928,2052.9580328557954,1448.3623490603607,2052.9580328557954
linear,u=y,MB_ideal_boundary_particles,full,1000,-165.31111609650924,17129.360902378005,1392.0857457505092,17129.360902378005
linear,u=y,MB_ideal_boundary_particles,interior_z_1h,960,-2.5517963079918995,761.2430853962178,36.46626089181465,761.2430853962178
linear,u=y,MB_ideal_boundary_particles,interior_z_2h,920,-3.460547066294255e-16,4.922173779675632e-13,2.189572557894368e-13,4.922173779675632e-13
linear,u=y,MB_ideal_boundary_particles,interior_z_3h,880,8.194675998380257e-16,4.922173779675632e-13,2.2368124459929653e-13,4.922173779675632e-13
linear,u=y,MB_ideal_boundary_particles,interior_xz_2h,184,-1.0930266353850386e-15,4.902744876744691e-13,2.307194209906196e-13,4.902744876744691e-13
linear,u=y,MB_ideal_boundary_particles,bottom_layer,20,86.31361545047005,147.93152462439215,106.05096389518263,147.93152462439215
linear,u=y,MB_ideal_boundary_particles,top_layer,20,-8229.38319749232,17129.360902378005,9839.71846834755,17129.360902378005
quadratic,u=y^2,M_material_only,full,1000,-2.2737367544323206e-16,145.45686595676025,14.549264023539001,147.45686595676025
quadratic,u=y^2,M_material_only,interior_z_1h,960,1.82705969422944,2.0037799460266914,0.37950181134031263,2.690071918825234
quadratic,u=y^2,M_material_only,interior_z_2h,920,1.8526229672350576,1.9906868427772046,0.27134595808756584,0.5963073921559672
quadratic,u=y^2,M_material_only,interior_z_3h,880,1.852622967235061,1.9906868427772046,0.27134595808756434,0.5963073921559672
quadratic,u=y^2,M_material_only,interior_xz_2h,184,1.9906868427759086,1.990686842777197,0.009313157224091373,0.009313157225696145
quadratic,u=y^2,M_material_only,bottom_layer,20,1.3832068320371673,1.9775937395251408,0.7882726658940034,1.2981536960774234
quadratic,u=y^2,M_material_only,top_layer,20,-89.08207215505028,145.45686595676025,102.84220811294168,147.45686595676025
quadratic,u=y^2,M_virtual_mode1,full,1000,-19.82795977704881,2104.6592137949233,209.75974224208912,2106.6592137949233
quadratic,u=y^2,M_virtual_mode1,interior_z_1h,960,1.82705969422944,2.0037799460266914,0.37950181134031263,2.690071918825234
quadratic,u=y^2,M_virtual_mode1,interior_z_2h,920,1.8526229672350576,1.9906868427772046,0.27134595808756584,0.5963073921559672
quadratic,u=y^2,M_virtual_mode1,interior_z_3h,880,1.852622967235061,1.9906868427772046,0.27134595808756434,0.5963073921559672
quadratic,u=y^2,M_virtual_mode1,interior_xz_2h,184,1.9906868427759086,1.990686842777197,0.009313157224091373,0.009313157225696145
quadratic,u=y^2,M_virtual_mode1,bottom_layer,20,1.3832068320371673,1.9775937395251408,0.7882726658940034,1.2981536960774234
quadratic,u=y^2,M_virtual_mode1,top_layer,20,-1080.4800610074908,2104.6592137949233,1483.222821716817,2106.6592137949233
quadratic,u=y^2,MB_ideal_boundary_particles,full,1000,-163.4076074279535,16958.067293354223,1378.2833521917942,16960.067293354223
quadratic,u=y^2,MB_ideal_boundary_particles,interior_z_1h,960,-0.5446839349491193,751.6486964349808,36.10274936432472,753.6486964349808
quadratic,u=y^2,MB_ideal_boundary_particles,interior_z_2h,920,1.9906868427759068,1.9906868427772046,0.00931315722409331,0.009313157225704138
quadratic,u=y^2,MB_ideal_boundary_particles,interior_z_3h,880,1.990686842775912,1.9906868427772046,0.00931315722408806,0.009313157225704138
quadratic,u=y^2,MB_ideal_boundary_particles,interior_xz_2h,184,1.9906868427759086,1.990686842777197,0.009313157224091373,0.009313157225696145
quadratic,u=y^2,MB_ideal_boundary_particles,bottom_layer,20,1.9906868427759143,1.9906868427759152,0.009313157224085943,0.00931315722408721
quadratic,u=y^2,MB_ideal_boundary_particles,top_layer,20,-8146.226229362894,16958.067293354223,9742.724790211714,16960.067293354223
