time,ExcessPorePress_maxAbs,excess_over_peak,Vel_mag_max,PorePressRate_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs
0.0,0.0,0.0,0.0,17.464165,0.0,17.4641660440367
0.100001,38.54514617748,1.0,1.2014427000335717e-05,97076.375,95198.68000000001,51833.42235813803
0.2,27.35661834722,0.7097292671107602,5.599491523556576e-06,62039.555,37049.382000000005,62096.638803940215
0.3,22.46846640151,0.5829129898237927,3.7401467008521e-06,113340.47,21182.73066666667,113347.79476724484
0.400001,19.54553905276,0.5070817208154598,2.95748350543162e-06,129806.22,14121.093333333334,129835.07849133557
0.500001,17.49757265951,0.4539500921579837,2.6816936026296377e-06,137010.98,10543.181333333334,137024.96907917058
0.6,15.91365270948,0.4128575005580742,2.6295793000288826e-06,146515.53,7873.930666666667,146517.93883792055
0.7,14.59877575197,0.3787448537553954,2.5126983000705247e-06,131862.72,6615.760866666667,131863.50458715507
0.800001,13.45804895565,0.34915028973253354,2.3736834001426198e-06,123695.65,5856.249733333334,123691.57118586235
0.900001,12.43900949755,0.32271273379727095,2.219643200003435e-06,124824.23,4814.254400000001,124820.51919809659
1.0,11.51831320679,0.29882655402976716,2.0826483000099828e-06,109106.17,4214.285000000001,109107.13353720626
1.1,10.67460784955,0.2769377965360173,1.939761900003126e-06,100919.05,3645.175933333334,100918.37852531372
1.200001,9.901960658244,0.2568925439444622,1.7995968000673842e-06,100952.58,3322.127066666667,100949.61331974056
1.300001,9.191438481545,0.23845903811658384,1.677475200203767e-06,87791.242,3090.323866666667,87786.75093442056
1.4,8.525147544293,0.22117305003953566,1.5537984004119165e-06,80942.797,2763.824933333334,80938.74006116082
1.5,7.918876923739,0.20544420527754034,1.4460211000716612e-06,74914.039,2705.536333333334,74905.46653075166
1.600001,7.341531539678,0.19046578539030912,1.3400295000606844e-06,70192.797,2384.4618000000005,70193.29391777287
1.700001,6.810223634471,0.17668174361341177,1.242605200030246e-06,64693.023,2178.480666666667,64688.02718314719
1.8,6.316860560906,0.16388212751406364,1.1519696000114794e-06,59880.035,2022.2386000000001,59876.53278967156
1.9,5.861348154198,0.15206449411839285,1.0730035000052344e-06,56446.473,1871.3299333333337,56442.69928644503
2.000001,5.437663620385,0.14107259044621173,9.944384400111525e-07,51684.34,1705.7808000000002,51683.58409785949
2.100001,5.04563695107,0.13090200586702957,9.201020200379479e-07,47832.301,1598.4462,47832.489296637905
2.2,4.686720774736,0.12159042679864622,8.569672300118532e-07,45075.617,1471.0670666666667,45077.45158002092
2.3,4.346525152103,0.11276452635798946,7.924640501071816e-07,41376.375,1359.8555333333334,41373.773700307174
2.400001,4.039210194422,0.10479166886080998,7.378749301282678e-07,38223.535,1267.5145333333335,38219.84913353801
2.500001,3.746682377367,0.09720244308104348,6.827679000238965e-07,36028.039,1201.5166000000002,36027.56710839363
2.6,3.475149202075,0.09015789396864074,6.328884300534866e-07,33056.648,1133.5948,33052.935100238996
2.7,3.224076132197,0.08364415372435834,5.892720200181033e-07,30574.303,1071.8479333333335,30569.806320081276
2.800001,2.991784204638,0.07761766399490137,5.462769101843746e-07,28789.889,986.3242000000001,28787.95107033594
2.900001,2.775225303838,0.07199934567791119,5.062233900332345e-07,26415.607,912.1214666666668,26412.16989466659
3.0,2.576610338663,0.06684655771699692,4.712689500141519e-07,24411.344,881.6787333333335,24407.451580022815
3.1,2.390687915535,0.06202306003788771,4.362416907410069e-07,23223.062,794.0049333333335,23222.88141352186
3.200001,2.218851365322,0.057565000664554854,4.0594799000048436e-07,21102.102,781.4762000000001,21100.583078491334
3.300001,2.060040361861,0.05344487091514985,3.7565044000024894e-07,19510.162,707.4920000000002,19510.36901121315
3.4,1.912001669993,0.04960421374948856,3.4884209029165314e-07,18562.727,705.3572666666668,18561.062181447764
3.5,1.773046844493,0.045999224813652484,3.2344175003161104e-07,16906.215,655.5530933333333,16902.799864083885
3.600001,1.645037802789,0.04267820895566128,2.9972117000128537e-07,15582.404,613.14328,15581.763506626603
