run,time,frame,particles,code,excluded,steps,runtime_s,body_gravity_stop_log,hydraulic_gravity_active_log,PorePress_min,PorePress_max,PorePress_mean,PorePress_maxAbs,ExcessPorePress_min,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_maxAbs,PorePressRate_min,PorePressRate_max,PorePressRate_mean,PorePressRate_maxAbs,DivVel_min,DivVel_max,DivVel_mean,DivVel_maxAbs,LapPorePress_min,LapPorePress_max,LapPorePress_mean,LapPorePress_maxAbs,LapZ_min,LapZ_max,LapZ_mean,LapZ_maxAbs,Vel_mag_max,Vel_mag_mean,PorePressureAccelDiff_mag_maxAbs,settlement_dz_mean,zmin,zmax,top_count,bottom_count,bottom_ref_count,top_excess_maxAbs,bottom_excess_mean,bottom_no_flux_proxy,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,stage,case,TimeMax,TimeOut
GPU,0.0,PartCsv_0000,1000.0,0.0,0.0,5244.0,12.454111,True,True,49.05000209808,9760.950417519,4905.000209808328,9760.950417519,0.0,0.0,0.0,0.0,-17.464165,17.022942,1.8655719429518973,17.464165,0.0,0.0,0.0,0.0,-725604.19,725604.25,-9.620557655580342e-05,725604.25,-73.965759,73.965759,2.7976935222824295e-06,73.965759,0.0,0.0,0.0,0.0,0.0049999999,0.995,20.0,20.0,20.0,0.0,0.0,0.0,0.0,17.4641660440367,S1-1b,,,
GPU,0.001,PartCsv_0001,1000.0,0.0,0.0,5244.0,12.454111,True,True,59.73974149028,12448.69260484,5559.3084974065405,12448.69260484,10.64294428835,2718.338734171,654.2625956639065,2718.338734171,87258.062,65867896.0,3172479.7067230064,65867896.0,-0.087318547,-2.0330654e-05,-0.004758722022728004,0.087318547,-691776.25,726688.75,-1.2770704400056274,726688.75,-73.965759,73.966591,0.00012807775199972582,73.966591,0.0094030714,0.008936236034199975,4.499119300000054,-4.657069999997694e-06,0.0049970779,0.99499524,20.0,20.0,20.0,10.7772074554,2687.7135182495,-0.27529779609994875,58212364.66666667,45388421.28508325,S1-1b,,,
GPU,0.002001,PartCsv_0002,1000.0,0.0,0.0,5244.0,12.454111,True,True,49.23170799805,23362.79727611,10781.924000843881,23362.79727611,-8.393084807778e-05,13647.40123765,5876.761666181378,13647.40123765,-650669500.0,666593600.0,10089381.81895,666593600.0,-0.12884694,-0.0018070561,-0.015134238824999997,0.12884694,-9601631.0,10017825.0,-4.9797571000158785,10017825.0,-73.965881,73.97036,0.0003425627631702071,73.97036,0.017945159,0.01391719075000003,27.979589000000086,-1.6527528999998973e-05,0.004993665,0.99498147,20.0,20.0,20.0,8.393084807778e-05,13601.784707425002,-0.5853508580003108,85897960.0,664617080.8603467,S1-1b,,,
GPU,0.003001,PartCsv_0003,1000.0,0.0,0.0,5244.0,12.454111,True,True,49.3809693304,35197.47818834,18879.633950839238,35197.47818834,-5.166566014481e-05,25442.41892939,13974.384247193368,25442.41892939,227011.98,303341540.0,10815236.18432,303341540.0,-0.0925676,-0.0030248524,-0.0162228129288,0.0925676,-735717.81,3793607.8,-2.3417397803096103,3793607.8,-73.97023,73.974274,0.0002811253682124004,73.974274,0.011046576,0.0042909957647650175,16.472294000000023,-2.543174699999664e-05,0.0049961102,0.99496627,20.0,20.0,20.0,5.166566014481e-05,25436.489609824992,-0.30620902851296705,61711733.33333334,241629830.3289161,S1-1b,,,
GPU,0.004,PartCsv_0004,1000.0,0.0,0.0,5244.0,12.454111,True,True,49.41477907006,32137.34952494,20051.001873001784,32137.34952494,2.621670333269e-05,22812.53610122,15145.783362901306,22812.53610122,-112823760.0,397072960.0,-1712576.3878989988,397072960.0,-0.086502768,0.14911814,0.0025699943829719956,0.14911814,-784553.25,5232431.0,11.633975000088569,5232431.0,-73.975677,73.974426,-5.64570929561512e-05,73.975677,0.009802990600000004,0.008994944653599991,23.764048000000006,-2.225096499999818e-05,0.0050014374,0.99496281,20.0,20.0,20.0,3.379664573799e-05,22376.413211900006,0.5170966495061293,99412093.33333336,339404478.7291879,S1-1b,,,
GPU,0.005,PartCsv_0005,1000.0,0.0,0.0,5244.0,12.454111,True,True,49.26574466595,12355.61340165,8516.321608324857,12355.61340165,0.0001009538457026,5033.574826816,3611.2254561561754,5033.574826816,-81560888.0,40640716.0,-16352217.671729999,81560888.0,-0.029421974,0.110549,0.024528893914629993,0.110549,-760005.0,1765513.5,7.293723000020488,1765513.5,-73.9758,73.966766,-0.00017767007880824793,73.9758,0.02372971500000001,0.01431525189978005,10.490982000000006,-9.779932000001344e-06,0.0050014807,0.99497801,20.0,20.0,20.0,0.0001109856469341,2594.6775112710006,0.922783091200472,73699333.33333334,103799629.40468912,S1-1b,,,
T0p05,0.0,PartCsv_0000,1000.0,0.0,0.0,52437.0,123.984268,True,True,49.05000209808,9760.950417519,4905.000209808328,9760.950417519,0.0,0.0,0.0,0.0,-17.464165,16.201284,1.764215812489899,17.464165,0.0,0.0,0.0,0.0,-725604.19,725604.25,-9.620557655580342e-05,725604.25,-73.965759,73.965759,2.6456401155741105e-06,73.965759,0.0,0.0,0.0,0.0,0.0049999999,0.995,20.0,20.0,20.0,0.0,0.0,0.0,0.0,17.4641660440367,S1-2,S1_BGStop_T005,0.05,0.002
T0p05,0.002001,PartCsv_0001,1000.0,0.0,0.0,52437.0,123.984268,True,True,49.23170799805,23362.79727611,10781.924153253745,23362.79727611,-8.393084807778e-05,13647.40123524,5876.761818591891,13647.40123524,-650669500.0,666593600.0,10089381.619259998,666593600.0,-0.12884693,-0.0018070545,-0.015134238633600005,0.12884693,-9601631.0,10017824.0,-4.982245499979705,10017824.0,-73.965881,73.97036,0.0003425398749843396,73.97036,0.017945159,0.01391719072130002,27.979586000000054,-1.6527528999998973e-05,0.004993665,0.99498147,20.0,20.0,20.0,8.393084807778e-05,13601.784707425002,-0.5853415389956353,85897953.33333334,664617016.9024806,S1-2,S1_BGStop_T005,0.05,0.002
T0p05,0.004,PartCsv_0002,1000.0,0.0,0.0,52437.0,123.984268,True,True,49.41477907397,32137.34952494,20051.001852494763,32137.34952494,2.621670332559e-05,22812.53626436,15145.783342395034,22812.53626436,-112823680.0,397072960.0,-1712575.9358899994,397072960.0,-0.086502768,0.14911811,0.0025699937648119924,0.14911811,-784553.12,5232431.0,11.632883000142407,5232431.0,-73.975677,73.974426,-5.644564886821968e-05,73.975677,0.009802990600000006,0.008994944713499986,23.764048000000003,-2.225096499999818e-05,0.0050014374,0.99496281,20.0,20.0,20.0,3.379664573799e-05,22376.413211900006,0.51694586650774,99412073.33333334,339404478.7291879,S1-2,S1_BGStop_T005,0.05,0.002
T0p05,0.006001,PartCsv_0003,1000.0,0.0,0.0,52437.0,123.984268,True,True,-8201.482813828,147.1168266652,-5736.022317457998,8201.482813828,-17000.81126674,0.000124304644828,-10640.995129549814,17000.81126674,-488263010.0,35967508.0,-16889862.0860822,488263010.0,-0.045525957,0.30573168,0.02533494208858001,0.30573168,-3947578.8,2030468.5,1.2327766999888699,3947578.8,-73.956497,73.96714,2.1833449623883893e-05,73.96714,0.02657743500000003,0.00953885283297002,16.75648900000003,2.7952150000029165e-06,0.0050002574,0.99500531,20.0,20.0,20.0,0.000124304644828,-16959.388892935003,0.49475507299939636,203821120.00000003,284441917.6004078,S1-2,S1_BGStop_T005,0.05,0.002
