time,reference,bottom_excess_reference_pa,initial_bottom_excess_pa,cv_m2_s
0.0,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,81183.59404348819,20312.956906859326,0.2744452285736689
0.100001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,15453.128355564897,20312.956906859326,0.2744452285736689
0.2,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,11400.139624101846,20312.956906859326,0.2744452285736689
0.3,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,9314.031852920296,20312.956906859326,0.2744452285736689
0.400001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,8023.052820554065,20312.956906859326,0.2744452285736689
0.500001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,7135.321754579237,20312.956906859326,0.2744452285736689
0.6,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,6471.174262990606,20312.956906859326,0.2744452285736689
0.7,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,5938.544974700039,20312.956906859326,0.2744452285736689
0.800001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,5488.100603368643,20312.956906859326,0.2744452285736689
0.900001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,5092.738224124253,20312.956906859326,0.2744452285736689
1.0,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,4737.194803400907,20312.956906859326,0.2744452285736689
1.1,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,4412.589494797021,20312.956906859326,0.2744452285736689
1.200001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,4113.520717935065,20312.956906859326,0.2744452285736689
1.300001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,3836.4978615873583,20312.956906859326,0.2744452285736689
1.4,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,3579.0867595435748,20312.956906859326,0.2744452285736689
1.5,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,3339.4566383160263,20312.956906859326,0.2744452285736689
1.600001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,3116.1434279087766,20312.956906859326,0.2744452285736689
1.700001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,2907.9132074836593,20312.956906859326,0.2744452285736689
1.8,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,2713.678799583351,20312.956906859326,0.2744452285736689
1.9,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,2532.459166370305,20312.956906859326,0.2744452285736689
2.000001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,2363.362641846088,20312.956906859326,0.2744452285736689
2.100001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,2205.570786662329,20312.956906859326,0.2744452285736689
2.2,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,2058.322055265938,20312.956906859326,0.2744452285736689
2.3,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,1920.9061871561953,20312.956906859326,0.2744452285736689
2.400001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,1792.6650190545488,20312.956906859326,0.2744452285736689
2.500001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,1672.9875070502153,20312.956906859326,0.2744452285736689
2.6,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,1561.301239314935,20312.956906859326,0.2744452285736689
2.7,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,1457.0702758801385,20312.956906859326,0.2744452285736689
2.800001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,1359.7968895973506,20312.956906859326,0.2744452285736689
2.900001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,1269.018394551633,20312.956906859326,0.2744452285736689
3.0,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,1184.3010325285916,20312.956906859326,0.2744452285736689
3.1,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,1105.2385085101732,20312.956906859326,0.2744452285736689
3.200001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,1031.4534047721647,20312.956906859326,0.2744452285736689
3.300001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,962.5948253619596,20312.956906859326,0.2744452285736689
3.4,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,898.33378573585,20312.956906859326,0.2744452285736689
3.5,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,838.3621163550047,20312.956906859326,0.2744452285736689
3.600001,Supporting Materials Scenario 1 series; context only for BodyGravityStopTime,782.3935431025513,20312.956906859326,0.2744452285736689
