quantity,comparison,n,rmse,mae,max_abs,relative_rmse
bottom_excess,GPU mode0 vs nominal analytical,36,550.1705609416813,528.109579311877,714.7785030185478,0.07593526163578046
bottom_excess,GPU mode0 vs calibrated effective,36,135.56251445973516,107.74989262572788,408.9498405116756,0.019844489740040088
bottom_excess,GPU mode1 vs GPU mode0,36,0.6785694302201236,0.5150251905555163,1.5590277700002844,0.00010052831920656524
bottom_excess,calibrated improvement percent,36,nan,nan,nan,73.8665682944201
ExcessPorePress_profile_t0.1,GPU mode0 vs nominal analytical,100,157.57918473361437,111.86880529841078,429.605656060181,0.014428637990944656
ExcessPorePress_profile_t0.1,GPU mode0 vs calibrated effective,100,83.94404366158984,71.06720527013425,212.73653852789357,0.007750069148272713
ExcessPorePress_profile_t0.5,GPU mode0 vs nominal analytical,100,264.06085782498116,229.1887838987541,480.2866111398507,0.031938784726393235
ExcessPorePress_profile_t0.5,GPU mode0 vs calibrated effective,100,76.26246648907328,67.0607154290726,112.15999829277825,0.00960497784473089
ExcessPorePress_profile_t1,GPU mode0 vs nominal analytical,100,329.6484895398111,288.3513260159692,533.519105988139,0.05629653919832903
ExcessPorePress_profile_t1,GPU mode0 vs calibrated effective,100,131.33852557218046,123.90862352647531,169.1319514646666,0.02432261668208647
ExcessPorePress_profile_t2,GPU mode0 vs nominal analytical,100,247.4025769037212,211.19697376939553,401.4240313067471,0.08425710932089468
ExcessPorePress_profile_t2,GPU mode0 vs calibrated effective,100,202.54465104990985,197.17688215332805,243.35987983094628,0.08112727901458626
ExcessPorePress_profile_t3.6,GPU mode0 vs nominal analytical,100,74.02382483607126,66.11852213176948,155.18208310935012,0.07611769972511603
ExcessPorePress_profile_t3.6,GPU mode0 vs calibrated effective,100,212.85841834044132,210.07568971703938,258.1390995900879,0.2931299523797971
PorePress_profile_t0.1,GPU mode0 vs nominal analytical,100,172.06644214096704,158.59339760224378,282.9005913086621,0.010403771694620508
PorePress_profile_t0.1,GPU mode0 vs calibrated effective,100,174.88368015161547,161.23054598818896,246.90362321530606,0.010632467733538972
PorePress_profile_t0.5,GPU mode0 vs nominal analytical,100,155.1626778699286,120.75166783386514,327.12936998979785,0.011183192075052827
PorePress_profile_t0.5,GPU mode0 vs calibrated effective,100,208.2133487794779,203.06275829595737,254.4030152172636,0.015370279130633374
PorePress_profile_t1,GPU mode0 vs nominal analytical,100,211.8042173720719,177.56856176933235,375.64470509954845,0.01847069951973352
PorePress_profile_t1,GPU mode0 vs calibrated effective,100,271.6369844216317,267.16722438896556,316.4659710009764,0.024667158351321883
PorePress_profile_t2,GPU mode0 vs nominal analytical,100,147.9550154786234,129.18846342331582,265.045552816852,0.017287357497878887
PorePress_profile_t2,GPU mode0 vs calibrated effective,100,347.9599940835031,343.7182885788654,396.0268051260009,0.04285011972089688
PorePress_profile_t3.6,GPU mode0 vs nominal analytical,100,150.7067206021414,136.5753004655792,287.03394364440857,0.022815377852835057
PorePress_profile_t3.6,GPU mode0 vs calibrated effective,100,361.2786937472319,358.58565093013283,422.169801921591,0.05680007824187571
