case,p0,radius,radius_over_R,peak_center_avg_excess,peak_center_avg_excess_over_p0,peak_time,final_center_avg_excess,final_center_avg_excess_over_p0,final_count
baseline,50.0,0.005,0.09999999999999999,422.3957344937,8.447914689874,0.002011,151.9095796819,3.038191593638,1
baseline,50.0,0.0075,0.15,422.3957344937,8.447914689874,0.002011,151.9095796819,3.038191593638,1
baseline,50.0,0.01,0.19999999999999998,409.06678636535713,8.181335727307143,0.002011,147.83589722114286,2.956717944422857,7
baseline,50.0,0.02,0.39999999999999997,383.6004214757697,7.672008429515394,0.002011,146.17027076839395,2.923405415367879,33
slow_ramp,50.0,0.005,0.09999999999999999,411.751150183,8.23502300366,0.012065,411.751150183,8.23502300366,1
slow_ramp,50.0,0.0075,0.15,411.751150183,8.23502300366,0.012065,411.751150183,8.23502300366,1
slow_ramp,50.0,0.01,0.19999999999999998,383.1100850714428,7.662201701428857,0.012065,383.1100850714428,7.662201701428857,7
slow_ramp,50.0,0.02,0.39999999999999997,364.0314425552151,7.280628851104302,0.012065,364.0314425552151,7.280628851104302,33
lower_p0,10.0,0.005,0.09999999999999999,84.47732786484,8.447732786484,0.002011,30.3742207063,3.03742207063,1
lower_p0,10.0,0.0075,0.15,84.47732786484,8.447732786484,0.002011,30.3742207063,3.03742207063,1
lower_p0,10.0,0.01,0.19999999999999998,81.81215417100428,8.181215417100429,0.002011,29.561738079682858,2.9561738079682858,7
lower_p0,10.0,0.02,0.39999999999999997,76.71933229131119,7.671933229131119,0.002011,29.230622916979396,2.9230622916979394,33
long_slow_ramp,50.0,0.005,0.09999999999999999,481495.513753,9629.91027506,0.035009,-325507.86645448755,-6510.157329089751,8
long_slow_ramp,50.0,0.0075,0.15,481495.513753,9629.91027506,0.035009,-325507.86645448755,-6510.157329089751,8
long_slow_ramp,50.0,0.01,0.19999999999999998,481495.513753,9629.91027506,0.035009,-325507.86645448755,-6510.157329089751,8
long_slow_ramp,50.0,0.02,0.39999999999999997,275043.666574945,5500.8733314988995,0.035009,-325507.86645448755,-6510.157329089751,8
