case,p0,frame_index,time,Tv_est,radius,radius_over_R,count,center_avg_PorePress,center_avg_ExcessPorePress,center_avg_ExcessPorePress_over_p0
baseline,50.0,0,0.0,0.0,0.005,0.09999999999999999,1,0.0,0.0,0.0
baseline,50.0,0,0.0,0.0,0.0075,0.15,1,0.0,0.0,0.0
baseline,50.0,0,0.0,0.0,0.01,0.19999999999999998,7,0.0,0.0,0.0
baseline,50.0,0,0.0,0.0,0.02,0.39999999999999997,33,0.0,0.0,0.0
baseline,50.0,1,0.001005,0.0027319062181447498,0.005,0.09999999999999999,1,19.92427216646,19.92427216646,0.3984854433292
baseline,50.0,1,0.001005,0.0027319062181447498,0.0075,0.15,1,19.92427216646,19.92427216646,0.3984854433292
baseline,50.0,1,0.001005,0.0027319062181447498,0.01,0.19999999999999998,7,19.74637148229857,19.74637148229857,0.39492742964597144
baseline,50.0,1,0.001005,0.0027319062181447498,0.02,0.39999999999999997,33,22.41863489725455,22.41863489725455,0.448372697945091
baseline,50.0,2,0.002011,0.0054665307509344195,0.005,0.09999999999999999,1,422.3957344937,422.3957344937,8.447914689874
baseline,50.0,2,0.002011,0.0054665307509344195,0.0075,0.15,1,422.3957344937,422.3957344937,8.447914689874
baseline,50.0,2,0.002011,0.0054665307509344195,0.01,0.19999999999999998,7,409.06678636535713,409.06678636535713,8.181335727307143
baseline,50.0,2,0.002011,0.0054665307509344195,0.02,0.39999999999999997,33,383.6004214757697,383.6004214757697,7.672008429515394
baseline,50.0,3,0.003016,0.00819843696907917,0.005,0.09999999999999999,1,91.98154840908,91.98154840908,1.8396309681816
baseline,50.0,3,0.003016,0.00819843696907917,0.0075,0.15,1,91.98154840908,91.98154840908,1.8396309681816
baseline,50.0,3,0.003016,0.00819843696907917,0.01,0.19999999999999998,1,91.98154840908,91.98154840908,1.8396309681816
baseline,50.0,3,0.003016,0.00819843696907917,0.02,0.39999999999999997,33,189.07317832413582,189.07317832413582,3.7814635664827163
baseline,50.0,4,0.004022,0.010933061501868839,0.005,0.09999999999999999,1,117.8660584774,117.8660584774,2.357321169548
baseline,50.0,4,0.004022,0.010933061501868839,0.0075,0.15,1,117.8660584774,117.8660584774,2.357321169548
baseline,50.0,4,0.004022,0.010933061501868839,0.01,0.19999999999999998,1,117.8660584774,117.8660584774,2.357321169548
baseline,50.0,4,0.004022,0.010933061501868839,0.02,0.39999999999999997,33,126.73561308132125,126.73561308132125,2.534712261626425
baseline,50.0,5,0.005027,0.013664967720013589,0.005,0.09999999999999999,1,347.7661547925,347.7661547925,6.95532309585
baseline,50.0,5,0.005027,0.013664967720013589,0.0075,0.15,1,347.7661547925,347.7661547925,6.95532309585
baseline,50.0,5,0.005027,0.013664967720013589,0.01,0.19999999999999998,7,306.27429787561425,306.27429787561425,6.125485957512285
baseline,50.0,5,0.005027,0.013664967720013589,0.02,0.39999999999999997,33,268.9818986088697,268.9818986088697,5.379637972177394
baseline,50.0,6,0.006032,0.01639687393815834,0.005,0.09999999999999999,1,151.9095796819,151.9095796819,3.038191593638
baseline,50.0,6,0.006032,0.01639687393815834,0.0075,0.15,1,151.9095796819,151.9095796819,3.038191593638
baseline,50.0,6,0.006032,0.01639687393815834,0.01,0.19999999999999998,7,147.83589722114286,147.83589722114286,2.956717944422857
baseline,50.0,6,0.006032,0.01639687393815834,0.02,0.39999999999999997,33,146.17027076839395,146.17027076839395,2.923405415367879
slow_ramp,50.0,0,0.0,0.0,0.005,0.09999999999999999,1,0.0,0.0,0.0
slow_ramp,50.0,0,0.0,0.0,0.0075,0.15,1,0.0,0.0,0.0
slow_ramp,50.0,0,0.0,0.0,0.01,0.19999999999999998,7,0.0,0.0,0.0
slow_ramp,50.0,0,0.0,0.0,0.02,0.39999999999999997,33,0.0,0.0,0.0
slow_ramp,50.0,1,0.001005,0.0027319062181447498,0.005,0.09999999999999999,1,2.221641438069,2.221641438069,0.04443282876138
slow_ramp,50.0,1,0.001005,0.0027319062181447498,0.0075,0.15,1,2.221641438069,2.221641438069,0.04443282876138
slow_ramp,50.0,1,0.001005,0.0027319062181447498,0.01,0.19999999999999998,7,2.228695365890143,2.228695365890143,0.04457390731780286
slow_ramp,50.0,1,0.001005,0.0027319062181447498,0.02,0.39999999999999997,33,2.6146993840659998,2.6146993840659998,0.052293987681319994
slow_ramp,50.0,2,0.002011,0.0054665307509344195,0.005,0.09999999999999999,1,82.10633672236,82.10633672236,1.6421267344472
slow_ramp,50.0,2,0.002011,0.0054665307509344195,0.0075,0.15,1,82.10633672236,82.10633672236,1.6421267344472
slow_ramp,50.0,2,0.002011,0.0054665307509344195,0.01,0.19999999999999998,7,78.74381834476857,78.74381834476857,1.5748763668953714
slow_ramp,50.0,2,0.002011,0.0054665307509344195,0.02,0.39999999999999997,33,73.8378480473812,73.8378480473812,1.476756960947624
slow_ramp,50.0,3,0.003016,0.00819843696907917,0.005,0.09999999999999999,1,109.8961704029,109.8961704029,2.197923408058
slow_ramp,50.0,3,0.003016,0.00819843696907917,0.0075,0.15,1,109.8961704029,109.8961704029,2.197923408058
slow_ramp,50.0,3,0.003016,0.00819843696907917,0.01,0.19999999999999998,1,109.8961704029,109.8961704029,2.197923408058
slow_ramp,50.0,3,0.003016,0.00819843696907917,0.02,0.39999999999999997,33,121.08715941715757,121.08715941715757,2.4217431883431515
