case,step,time,p0,targets,fx,fy,fz,fabs,amax,acom,sym
baseline,1.0,0.000502713,50.0,739,-3.87748e-10,1.18621e-08,1.15111e-08,1.66414,1.95492,1.06539e-08,9.93531e-09
baseline,2.0,0.000603255,50.0,739,-1.03984e-08,-4.75908e-09,1.95745e-08,1.66414,1.95492,1.4608e-08,1.36228e-08
baseline,3.0,0.000703798,50.0,739,1.67937e-08,1.20795e-08,1.874e-09,1.66414,1.95492,1.33846e-08,1.24819e-08
baseline,4.0,0.00080434,50.0,739,-3.20972e-09,-1.0916e-08,-3.6493e-08,1.66413,1.95492,2.46315e-08,2.29703e-08
slow_ramp,1.0,0.000502713,5.02713,739,1.81394e-10,1.46539e-09,2.0385e-10,0.167317,0.196552,9.60488e-10,8.90875e-09
slow_ramp,2.0,0.000603255,6.03255,739,4.07733e-09,-2.03573e-10,2.31799e-09,0.20078,0.235863,3.02506e-09,2.33818e-08
slow_ramp,3.0,0.000703798,7.03798,739,4.38178e-09,5.47769e-09,1.93115e-09,0.234243,0.275173,4.68819e-09,3.10601e-08
slow_ramp,4.0,0.00080434,8.0434,739,3.39006e-09,2.1049e-09,3.26567e-09,0.267706,0.314484,3.32259e-09,1.92611e-08
lower_p0,1.0,0.000502713,10.0,739,-5.72472e-09,-4.48456e-09,8.02319e-10,0.332827,0.390983,4.71437e-09,2.19821e-08
lower_p0,2.0,0.000603255,10.0,739,-3.05904e-09,-1.7207e-09,-1.71031e-09,0.332827,0.390983,2.51583e-09,1.17308e-08
lower_p0,3.0,0.000703798,10.0,739,-4.81201e-09,1.01869e-10,1.77912e-09,0.332827,0.390983,3.30652e-09,1.54176e-08
lower_p0,4.0,0.00080434,10.0,739,-4.42954e-09,-1.50876e-09,-5.14709e-09,0.332827,0.390983,4.48242e-09,2.09005e-08
long_slow_ramp,1.0,0.000502713,5.02713,739,1.81394e-10,1.46539e-09,2.0385e-10,0.167317,0.196552,9.60488e-10,8.90875e-09
long_slow_ramp,2.0,0.000603255,6.03255,739,4.07733e-09,-2.03573e-10,2.31799e-09,0.20078,0.235863,3.02506e-09,2.33818e-08
long_slow_ramp,3.0,0.000703798,7.03798,739,4.38178e-09,5.47769e-09,1.93115e-09,0.234243,0.275173,4.68819e-09,3.10601e-08
long_slow_ramp,4.0,0.00080434,8.0434,739,3.39006e-09,2.1049e-09,3.26567e-09,0.267706,0.314484,3.32259e-09,1.92611e-08
long_slow_ramp,500.0,0.0301018,50.0,565,1.37989e-08,9.22761e-09,-1.45403e-08,1.49001,2.42429,1.85989e-08,1.48104e-08
long_slow_ramp,1000.0,0.0390448,50.0,485,1.05934e-09,7.99995e-09,5.85354e-09,1.28777,2.25683,9.78813e-09,7.74143e-09
long_slow_ramp,1500.0,0.047063,50.0,386,5.12592e-09,5.94018e-09,1.90565e-09,0.947776,2.0614,9.96075e-09,8.51908e-09
