acom,amax,case,fabs,fx,fy,fz,p0,step,sym,targets,time
1.06539e-08,1.95492,old_ghost,1.66414,-3.87748e-10,1.18621e-08,1.15111e-08,50.0,1.0,9.93531e-09,739,0.000502713
1.4608e-08,1.95492,old_ghost,1.66414,-1.03984e-08,-4.75908e-09,1.95745e-08,50.0,2.0,1.36228e-08,739,0.000603255
1.33846e-08,1.95492,old_ghost,1.66414,1.67937e-08,1.20795e-08,1.874e-09,50.0,3.0,1.24819e-08,739,0.000703798
2.46315e-08,1.95492,old_ghost,1.66413,-3.20972e-09,-1.0916e-08,-3.6493e-08,50.0,4.0,2.29703e-08,739,0.00080434
1.06539e-08,1.95492,strong_ghost,1.66414,-3.87748e-10,1.18621e-08,1.15111e-08,50.0,1.0,9.93531e-09,739,0.000502713
1.4608e-08,1.95492,strong_ghost,1.66414,-1.03984e-08,-4.75908e-09,1.95745e-08,50.0,2.0,1.36228e-08,739,0.000603255
1.33846e-08,1.95492,strong_ghost,1.66414,1.67937e-08,1.20795e-08,1.874e-09,50.0,3.0,1.24819e-08,739,0.000703798
2.46315e-08,1.95492,strong_ghost,1.66413,-3.20972e-09,-1.0916e-08,-3.6493e-08,50.0,4.0,2.29703e-08,739,0.00080434
1.06539e-08,1.95492,quadrature,1.66414,-3.87748e-10,1.18621e-08,1.15111e-08,50.0,1.0,9.93531e-09,739,0.000502713
1.4608e-08,1.95492,quadrature,1.66414,-1.03984e-08,-4.75908e-09,1.95745e-08,50.0,2.0,1.36228e-08,739,0.000603255
1.33846e-08,1.95492,quadrature,1.66414,1.67937e-08,1.20795e-08,1.874e-09,50.0,3.0,1.24819e-08,739,0.000703798
2.46315e-08,1.95492,quadrature,1.66413,-3.20972e-09,-1.0916e-08,-3.6493e-08,50.0,4.0,2.29703e-08,739,0.00080434
1.06539e-08,1.95492,surface_clamp,1.66414,-3.87748e-10,1.18621e-08,1.15111e-08,50.0,1.0,9.93531e-09,739,0.000502713
1.4608e-08,1.95492,surface_clamp,1.66414,-1.03984e-08,-4.75908e-09,1.95745e-08,50.0,2.0,1.36228e-08,739,0.000603255
1.75638e-08,1.95492,surface_clamp,1.66414,2.12666e-08,1.57146e-08,6.61371e-09,50.0,3.0,1.63792e-08,739,0.000703798
2.65527e-08,1.95492,surface_clamp,1.66413,-2.31121e-09,-1.37424e-08,-3.87793e-08,50.0,4.0,2.47619e-08,739,0.00080434
