case,case_name,center_avg_count_r0p20,center_avg_count_r0p40,center_avg_excess_over_p0_r0p20,center_avg_excess_over_p0_r0p40,center_avg_excess_r0p20,center_avg_excess_r0p40,com_drift,div_rate_contrib_maxAbs_est,excess_maxAbs,excess_mean,frame_index,kind,kplastic_maxAbs,lap_maxAbs,lap_rate_contrib_maxAbs_est,lapz_maxAbs,lapz_rate_contrib_maxAbs_est,mode,p0,particle_count,particle_count_vtk,porepressrate_maxAbs,surface_lap_maxAbs,surface_lap_rate_contrib_maxAbs_est,surface_porepressrate_maxAbs,time,vel_max,vel_mean
diffusion_old,CaseCryer_PR_StrictSphere_C5d_DiffusionOld,7,33,nan,nan,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0,diffusion,0.0,0.0,0.0,0.0,0.0,0,0.0,739,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diffusion_old,CaseCryer_PR_StrictSphere_C5d_DiffusionOld,1,27,nan,nan,998.5323147454,997.7195066213588,7.8872407026821e-19,10378.460000000001,998.5323147454,995.4184050836936,1,diffusion,0.0,826871.06,5619.239279646621,67.065598,0.0,0,0.0,739,739,10393.418,826871.06,5619.239279646621,9702.0693,0.001005,2.544456552027742e-05,1.7313326417344558e-05
diffusion_old,CaseCryer_PR_StrictSphere_C5d_DiffusionOld,1,27,nan,nan,986.8619453333,987.3761197528106,4.616720440081915e-17,6278.7048,988.9323782983,987.4816486779322,2,diffusion,0.0,839935.06,5708.019435949713,67.065636,0.0,0,0.0,739,739,9361.8076,839935.06,5708.019435949713,9361.8076,0.002011,1.3847601621819208e-05,4.968915860857551e-06
diffusion_old,CaseCryer_PR_StrictSphere_C5d_DiffusionOld,1,33,nan,nan,990.3224052021,990.5598655139091,1.5482971907435514e-16,3553.884266666667,990.8642869673,986.0670240725851,3,diffusion,0.0,810389.31,5507.232823649339,67.065636,0.0,0,0.0,739,739,6930.6479,810389.31,5507.232823649339,6930.6479,0.003016,1.8830633574940465e-05,6.770586038556738e-06
diffusion_old,CaseCryer_PR_StrictSphere_C5d_DiffusionOld,1,33,nan,nan,983.2239914471,980.0835393027455,1.2673651747250467e-16,12466.585333333334,983.2239914471,976.7514657628619,4,diffusion,0.0,824821.69,5605.31219843697,67.065651,0.0,0,0.0,739,739,17781.055,824821.69,5605.31219843697,17781.055,0.004022,5.509452354114653e-05,1.9501205302602797e-05
diffusion_old,CaseCryer_PR_StrictSphere_C5d_DiffusionOld,1,33,nan,nan,971.4208630421,974.936532169733,7.455482388238681e-17,13795.16,975.582760477,969.0079515580949,5,diffusion,0.0,889204.13,6042.841522256203,67.065582,0.0,0,0.0,739,739,18695.365,889204.13,6042.841522256203,18695.365,0.005027,8.03990988060832e-05,2.4043827676581965e-05
diffusion_old,CaseCryer_PR_StrictSphere_C5d_DiffusionOld,1,33,nan,nan,966.9416697303,968.6536457230882,6.40694321052831e-16,10111.694666666666,970.4296801519,963.978466117703,6,diffusion,0.0,903175.19,6137.785864763848,67.065613,0.0,0,0.0,739,739,10036.249,903175.19,6137.785864763848,4816.354,0.006033,4.7253556037983774e-05,2.0650550914540177e-05
diffusion_strong,CaseCryer_PR_StrictSphere_C5d_DiffusionStrong,7,33,nan,nan,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0,diffusion,0.0,0.0,0.0,0.0,0.0,1,0.0,739,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diffusion_strong,CaseCryer_PR_StrictSphere_C5d_DiffusionStrong,1,27,nan,nan,997.0660895408,995.4415976244186,1.5467450115762536e-18,20737.505333333334,997.0660895408,990.8513178977463,1,diffusion,0.0,1645490.8,11182.404349303435,67.065605,0.0,1,0.0,739,739,20767.311,1645490.8,11182.404349303435,19329.416,0.001005,5.0829574941115066e-05,3.458649466626094e-05
diffusion_strong,CaseCryer_PR_StrictSphere_C5d_DiffusionStrong,1,27,nan,nan,973.8115546373,974.8480746069964,6.686310388321272e-17,12419.305333333334,977.975915569,975.0796568999018,2,diffusion,0.0,1662195.6,11295.92660550459,67.065659,0.0,1,0.0,739,739,18510.512,1662195.6,11295.92660550459,18510.512,0.002011,2.738063085416801e-05,9.89405309963511e-06
