case,excess_count,excess_max,excess_maxAbs,excess_mean,excess_median,excess_p90_abs,excess_p95_abs,excess_p99_abs,frame_index,kind,mode,r_over_R_max,r_over_R_min,time
mode3_shell,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,3,0.2,0.0,0.0
mode3_shell,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,3,0.4,0.2,0.0
mode3_shell,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,3,0.6,0.4,0.0
mode3_shell,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,3,0.8,0.6,0.0
mode3_shell,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,3,0.9,0.8,0.0
mode3_shell,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,3,0.95,0.9,0.0
mode3_shell,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,3,1.0,0.95,0.0
mode3_shell,7,19.92247215983,19.92247215983,19.74425628834,19.71455408902,19.79772421874,19.860098189285,19.909997365721,1,compression,3,0.2,0.0,0.001005
mode3_shell,26,26.60799795216,26.60799795216,23.13555955141885,23.70365715114,26.607997240305,26.607997792605,26.60799791534,1,compression,3,0.4,0.2,0.001005
mode3_shell,90,53.51651829006,53.51651829006,42.44655215984044,37.212511541705,53.357799507308,53.516499850717,53.516507629017,1,compression,3,0.6,0.4,0.001005
mode3_shell,134,72.38424895627,72.38424895627,64.13535935541967,63.953766481680006,66.57654347093,66.576549244268,72.3842473990394,1,compression,3,0.8,0.6,0.001005
mode3_shell,132,71.43131595952,71.43131595952,67.34108327640911,68.15201416711,71.431306828223,71.4313100978145,71.43131524865751,1,compression,3,0.9,0.8,0.001005
mode3_shell,72,65.85134223361,65.85134223361,65.15545383549016,65.85132613109499,65.851335714056,65.85133689229049,65.8513416759121,1,compression,3,0.95,0.9,0.001005
mode3_shell,54,68.20246059237,68.20246059237,61.53183829121222,63.13502260209,66.68222267573103,68.2024540433585,68.2024601760603,1,compression,3,1.0,0.95,0.001005
mode3_shell,7,421.7416457211,421.7416457211,408.3613360723428,406.1313031454,412.37544672534,417.05854622322,420.805025821524,2,compression,3,0.2,0.0,0.002011
mode3_shell,26,389.0847664959,389.0847664959,375.9757508044616,372.41188859215,389.0847615916,389.0847633506,389.0847657585,2,compression,3,0.4,0.2,0.002011
mode3_shell,90,343.9094014652,343.9094014652,331.1160473534635,335.28100076105,343.90938801653004,343.90939395420503,343.909397359096,2,compression,3,0.6,0.4,0.002011
mode3_shell,134,318.0692489297,318.0692489297,312.7967627126857,311.59527495320003,316.77096788465,318.0692214775,318.06924372131203,2,compression,3,0.8,0.6,0.002011
mode3_shell,132,302.7450381689,302.7450381689,295.6812661250872,298.2247782087,302.74501873219,302.74502408774504,302.745035743002,2,compression,3,0.9,0.8,0.002011
mode3_shell,72,290.1448569145,290.1448569145,288.7952384801541,290.14481159815,290.14484398261,290.14484694708995,290.144854135844,2,compression,3,0.95,0.9,0.002011
mode3_shell,54,286.8389646473,286.8389646473,281.92693530114815,285.7517423634,286.51275747162003,286.83892601921997,286.838950699343,2,compression,3,1.0,0.95,0.002011
mode3_shell,1,87.89540354317,87.89540354317,87.89540354317,87.89540354317,87.89540354317,87.89540354317,87.89540354317,3,compression,3,0.2,0.0,0.003016
mode3_shell,32,221.8141524409,221.8141524409,187.79307229745623,182.00639116495,221.81412185955,221.814138723925,221.81414893312598,3,compression,3,0.4,0.2,0.003016
mode3_shell,90,224.7654681554,224.7654681554,220.04142018592228,222.04473260305,224.76545542696002,224.76545973221,224.765467111608,3,compression,3,0.6,0.4,0.003016
mode3_shell,134,217.3145149813,217.3145149813,210.95226102053957,212.60197290055,217.3144992188,217.31450331471,217.31451207571098,3,compression,3,0.8,0.6,0.003016
mode3_shell,132,220.1907504533,220.1907504533,212.22988002517036,210.38941880135002,220.19072030416,220.19072854927498,220.190742612644,3,compression,3,0.9,0.8,0.003016
mode3_shell,72,222.18097988,222.18097988,220.93905256805422,222.18092760205,222.18096124744,222.180963859385,222.180976556774,3,compression,3,0.95,0.9,0.003016
mode3_shell,54,236.3228593122,236.3228593122,231.90007991974633,231.52395660345,236.32282661262997,236.322833997935,236.32285798349,3,compression,3,1.0,0.95,0.003016
mode3_shell,1,111.3267178063,111.3267178063,111.3267178063,111.3267178063,111.3267178063,111.3267178063,111.3267178063,4,compression,3,0.2,0.0,0.004022
mode3_shell,32,127.6748261367,127.6748261367,120.53839691339685,118.56935148425,127.674816732,127.67482364665,127.674826077986,4,compression,3,0.4,0.2,0.004022
mode3_shell,90,130.861164782,130.861164782,128.0981936183378,128.54083129275,128.90921169951,130.86115086149,130.861161341438,4,compression,3,0.6,0.4,0.004022
mode3_shell,134,130.3570551933,130.3570551933,122.89467341643581,121.4501075901,125.55660647984,125.556615681095,130.35703221735798,4,compression,3,0.8,0.6,0.004022
mode3_shell,132,131.1092147542,131.1092147542,128.46095433707882,127.348604729,131.10918879259,131.109198872695,131.10921040790402,4,compression,3,0.9,0.8,0.004022
mode3_shell,72,130.9157953847,130.9157953847,129.51723193663614,128.81799380145,130.9157560017,130.915775487725,130.91578938804,4,compression,3,0.95,0.9,0.004022
mode3_shell,54,114.0487584709,114.0487584709,107.37644505790688,104.6935296387,114.04872190501,114.04874913491,114.048757855411,4,compression,3,1.0,0.95,0.004022
mode3_shell,7,340.6402962108,340.6402962108,299.4131540667571,292.5419613811,311.78130662664,326.21080141872,337.75439725238397,5,compression,3,0.2,0.0,0.005027
mode3_shell,26,263.4892795812,263.4892795812,252.14791030795,247.8855636852,263.48926010425,263.489268245575,263.489277298175,5,compression,3,0.4,0.2,0.005027
mode3_shell,90,241.1723649581,241.1723649581,237.2051306675145,235.21312623935,241.17235625823,241.17236104434,241.17236452867502,5,compression,3,0.6,0.4,0.005027
mode3_shell,134,243.008751527,243.008751527,236.29554269734996,236.1341117152,240.01841787549,241.09852977435997,243.008744944644,5,compression,3,0.8,0.6,0.005027
mode3_shell,132,234.9004739645,234.9004739645,231.38608087473708,231.2071890552,234.90045291046,234.90046239980998,234.900472233323,5,compression,3,0.9,0.8,0.005027
mode3_shell,72,217.843404223,217.843404223,215.1262762984556,213.7677554365,217.84335695187,217.84336973839999,217.84339252624702,5,compression,3,0.95,0.9,0.005027
mode3_shell,54,180.6306558207,180.6306558207,159.26793172691484,157.6586842786,173.73890502740008,180.63041738635002,180.630596916341,5,compression,3,1.0,0.95,0.005027
mode3_shell,7,144.1096683783,144.1096683783,140.84470903405716,140.3005485948,141.82421064168,142.96693950999,143.881122604638,6,compression,3,0.2,0.0,0.006032
mode3_shell,26,140.2404029796,140.2404029796,139.48749989706155,139.9305142987,140.24037535895002,140.240386432075,140.24039961469998,6,compression,3,0.4,0.2,0.006032
mode3_shell,90,163.5877661457,163.5877661457,153.8310870823845,149.0682589036,163.13515376751002,163.587747366185,163.58776447712802,6,compression,3,0.6,0.4,0.006032
mode3_shell,134,174.2865721647,174.2865721647,169.45013926075447,171.08912709955,171.96412733868,171.96413183538,174.286569945616,6,compression,3,0.8,0.6,0.006032
mode3_shell,132,194.8348132347,194.8348132347,179.46056256941824,176.10073942974998,194.83472931319,194.834750938225,194.834773786688,6,compression,3,0.9,0.8,0.006032
mode3_shell,72,190.5633864118,190.5633864118,175.54166525082078,168.03089140470001,190.56329108251998,190.56332219020499,190.56335823892897,6,compression,3,0.95,0.9,0.006032
mode3_shell,54,252.3948226608,252.3948226608,176.3726489736815,191.5270867475,234.13445626241017,252.39469684442003,252.394814879075,6,compression,3,1.0,0.95,0.006032
mode4_boundary_particles,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.2,0.0,0.0
mode4_boundary_particles,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.4,0.2,0.0
mode4_boundary_particles,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.6,0.4,0.0
mode4_boundary_particles,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.8,0.6,0.0
mode4_boundary_particles,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.9,0.8,0.0
mode4_boundary_particles,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.95,0.9,0.0
mode4_boundary_particles,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,1.0,0.95,0.0
mode4_boundary_particles,7,19.76671019128,19.76671019128,19.572777312912855,19.54045521152,19.630958830858,19.698834511069002,19.753135055237802,1,compression,4,0.2,0.0,0.001005
mode4_boundary_particles,26,26.42755357978,26.42755357978,22.953455200242693,23.520704689575,26.42754987326,26.4275510637625,26.42755301521,1,compression,4,0.4,0.2,0.001005
mode4_boundary_particles,90,53.40040247684,53.40040247684,42.30207207910711,37.05385588277,53.240999356905,53.400392373499,53.400402127301405,1,compression,4,0.6,0.4,0.001005
mode4_boundary_particles,134,69.300915341,69.300915341,62.50785871269161,62.077052812275,64.35174324222,64.35174874064,69.300912334542,1,compression,4,0.8,0.6,0.001005
