case,frame_index,kind,mode,surface_excess_count,surface_excess_max,surface_excess_maxAbs,surface_excess_mean,surface_excess_median,surface_excess_p90_abs,surface_excess_p95_abs,surface_excess_p99_abs,surface_threshold,time
mode3_shell,0,compression,3,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0
mode3_shell,0,compression,3,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
mode3_shell,0,compression,3,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
mode3_shell,1,compression,3,398,68.20246059237,68.20246059237,58.18200454706254,58.26100211157,65.851335223124,65.9105296038955,68.20244583893368,0.85,0.001005
mode3_shell,1,compression,3,350,68.20246059237,68.20246059237,57.308671677045815,57.427661990885,65.85132876247901,65.85133516421,68.2024485724329,0.9,0.001005
mode3_shell,1,compression,3,278,68.20246059237,68.20246059237,55.276411549678954,56.36201356046,63.984327716777,63.9843364946145,68.2024531243373,0.95,0.001005
mode3_shell,2,compression,3,398,290.1448569145,290.1448569145,271.2703256592219,273.64705780944996,290.14480866459996,290.14482882506996,290.144846461486,0.85,0.002011
mode3_shell,2,compression,3,350,290.1448569145,290.1448569145,268.6974645526266,271.85376088559997,290.14481226831,290.14482939837,290.144847016462,0.9,0.002011
mode3_shell,2,compression,3,278,286.8389646473,286.8389646473,263.4922856936989,269.97832097779997,285.75173792844,285.751757103625,286.83892447227595,0.95,0.002011
mode3_shell,3,compression,3,398,258.836285085,258.836285085,235.69956890729958,236.32275201425,258.8362062434,258.836230786365,258.836264982728,0.85,0.003016
mode3_shell,3,compression,3,350,258.836285085,258.836285085,238.18946440789267,237.38277473225,258.83621186643,258.83623606948004,258.83626512077603,0.9,0.003016
mode3_shell,3,compression,3,278,258.836285085,258.836285085,242.65719697072876,237.3828214952,258.83622342447,258.836241127275,258.83626528884,0.95,0.003016
mode3_shell,4,compression,3,398,183.6239601154,183.6239601154,137.92840368088866,128.8179972849,183.62383486917,183.62387043600998,183.623924912973,0.85,0.004022
mode3_shell,4,compression,3,350,183.6239601154,183.6239601154,138.96192657439283,128.81797226564998,183.62384691009,183.62387601433,183.623926822941,0.9,0.004022
mode3_shell,4,compression,3,278,183.6239601154,183.6239601154,141.4080345381283,125.50709220955,183.62385560594998,183.623892441775,183.623934633859,0.95,0.004022
mode3_shell,5,compression,3,398,233.8626269022,233.8626269022,197.77944770148056,211.82401477745,225.99493158634,233.86257757889,233.86261693039702,0.85,0.005027
mode3_shell,5,compression,3,350,217.843404223,217.843404223,193.37039782223113,211.8238887522,216.67058249383,217.84332550738003,217.84337017868,0.9,0.005027
mode3_shell,5,compression,3,278,216.670726498,216.670726498,187.7357818140005,183.9146968142,216.22754344666998,216.670568829045,216.670650160265,0.95,0.005027
mode3_shell,6,compression,3,398,252.3948226608,252.3948226608,170.96083745483438,169.72429913349998,202.06451717226,208.899565871315,252.39462901000198,0.85,0.006032
mode3_shell,6,compression,3,350,252.3948226608,252.3948226608,168.97132119428227,169.72388282475,202.06459110878998,208.89961068628497,252.394660998834,0.9,0.006032
mode3_shell,6,compression,3,278,252.3948226608,252.3948226608,167.26964935230106,169.72404005125,208.89933641255,208.89963267778,252.394695750596,0.95,0.006032
mode4_boundary_particles,0,compression,4,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0
mode4_boundary_particles,0,compression,4,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
mode4_boundary_particles,0,compression,4,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
mode4_boundary_particles,1,compression,4,398,64.31556521481,64.31556521481,55.15174627936767,55.08259601707,62.19167511738,62.342100006043495,64.3155558890996,0.85,0.001005
mode4_boundary_particles,1,compression,4,350,64.31556521481,64.31556521481,54.32623389379227,54.471024522,62.191669088752,62.191674439893504,64.3155574914932,0.9,0.001005
mode4_boundary_particles,1,compression,4,278,64.31556521481,64.31556521481,52.46162337180979,53.357866705845,60.414649614485,60.414659560728005,64.3155599854161,0.95,0.001005
mode4_boundary_particles,2,compression,4,398,225.919312718,225.919312718,212.9945755027718,213.87521108279998,223.72688707706,225.91928827515,225.91930340514898,0.85,0.002011
mode4_boundary_particles,2,compression,4,350,223.0637479171,223.0637479171,211.37237879819682,212.1828384533,223.06371727627,223.06373220761,223.063740194148,0.9,0.002011
mode4_boundary_particles,2,compression,4,278,219.9236325472,219.9236325472,208.65058416807733,210.49309822195,218.18320911576,219.92360733929502,219.92362271654804,0.95,0.002011
mode4_boundary_particles,3,compression,4,398,158.9806535926,158.9806535926,108.49288909479367,104.1191813421,158.98055207299,158.980585175895,158.980605171649,0.85,0.003016
mode4_boundary_particles,3,compression,4,350,158.9806535926,158.9806535926,112.14531560443109,104.15178286535,158.98056008277,158.98059033699002,158.980608199633,0.9,0.003016
mode4_boundary_particles,3,compression,4,278,158.9806535926,158.9806535926,119.93714598422942,104.1518276431,158.98056927726,158.98059209322,158.98061256053,0.95,0.003016
mode4_boundary_particles,4,compression,4,398,30.04705479088,60.10238712769,-16.885629870795157,-21.504743508719997,49.226243256904,56.0259709276265,60.102279711085195,0.85,0.004022
mode4_boundary_particles,4,compression,4,350,30.04705479088,60.10238712769,-17.50493048344721,-22.589102870525,49.22626441989701,56.025976518903,60.1022946438084,0.9,0.004022
mode4_boundary_particles,4,compression,4,278,30.04705479088,60.10238712769,-16.37539407764832,-34.981614573215,56.025906831469,56.0259955110765,60.102313842088996,0.95,0.004022
mode4_boundary_particles,5,compression,4,398,47.7562547417,48.06883209047,0.6475456596174084,-5.331055435490001,38.305130516575005,47.756235986219494,48.0686887851864,0.85,0.005027
mode4_boundary_particles,5,compression,4,350,44.77695537454,48.06883209047,-4.853597082525402,-10.191269863070001,38.304971605595,38.305101848425,48.0687042488088,0.9,0.005027
mode4_boundary_particles,5,compression,4,278,44.77695537454,48.06883209047,-13.170399108469178,-14.360048978025,38.305004251718,39.27595605644435,48.068721403878904,0.95,0.005027
mode4_boundary_particles,6,compression,4,398,117.3157145518,195.0849976479,-34.556169746870566,-4.782572294882,195.08442698749002,195.084666488665,195.084815679213,0.85,0.006032
mode4_boundary_particles,6,compression,4,350,117.3157145518,195.0849976479,-37.61018983844583,-4.782572294882,195.08449564190002,195.08467000078502,195.08485248422102,0.9,0.006032
mode4_boundary_particles,6,compression,4,278,117.3157145518,195.0849976479,-44.55336126672555,-1.645705629319,195.08457204919,195.08468637361997,195.084895343033,0.95,0.006032
diffusion_mode3_shell,0,diffusion,3,398,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.85,0.0
diffusion_mode3_shell,0,diffusion,3,350,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.9,0.0
diffusion_mode3_shell,0,diffusion,3,278,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.95,0.0
diffusion_mode3_shell,1,diffusion,3,398,988.5743373927,988.5743373927,983.3530459862106,982.2839094048,987.8181961000998,988.5743362291299,988.5743369999,0.85,0.001005
diffusion_mode3_shell,1,diffusion,3,350,987.0252950375,987.0252950375,982.688832896587,982.2839089138499,987.0252943502,987.0252945466,987.0252947429,0.9,0.001005
diffusion_mode3_shell,1,diffusion,3,278,984.3035282057,984.3035282057,981.6371216471814,981.6578894276,983.3925753393899,984.303527813,984.303528054549,0.95,0.001005
diffusion_mode3_shell,2,diffusion,3,398,962.2972115944,962.2972115944,957.9084403202281,956.6528107212,961.9950163292999,962.2972080736649,962.297210214127,0.85,0.002011
diffusion_mode3_shell,2,diffusion,3,350,961.7359237174,961.7359237174,957.3272737962745,956.51949289295,961.73592092,961.735921801715,961.735922893347,0.9,0.002011
diffusion_mode3_shell,2,diffusion,3,278,959.6087297161,959.6087297161,956.2259003752143,956.5194887175501,959.5117209195901,959.60872603178,959.6087278086669,0.95,0.002011
diffusion_mode3_shell,3,diffusion,3,398,954.3157510034,954.3157510034,944.0071023062145,941.96057301055,953.26450235944,954.31574601414,954.315748705105,0.85,0.003016
diffusion_mode3_shell,3,diffusion,3,350,952.3505872265,952.3505872265,942.665430603898,941.9605670591,952.3505840901801,952.3505850532499,952.3505864935939,0.9,0.003016
diffusion_mode3_shell,3,diffusion,3,278,948.0336372279,948.0336372279,940.2746230173495,941.49831241935,947.78668716724,947.786689795975,948.0336338652501,0.95,0.003016
diffusion_mode3_shell,4,diffusion,3,398,941.8458611254,941.8458611254,934.8527644760319,934.6225229399499,941.0755529415101,941.8458566934,941.845859418956,0.85,0.004022
diffusion_mode3_shell,4,diffusion,3,350,940.3151305378,940.3151305378,933.946532490995,934.622518623,940.3151255689401,940.3151271619649,940.3151292110949,0.9,0.004022
diffusion_mode3_shell,4,diffusion,3,278,937.0501769598,937.0501769598,932.401002537543,932.5048214174,936.09379713739,937.0501740699801,937.050176085486,0.95,0.004022
diffusion_mode3_shell,5,diffusion,3,398,936.7332181929,936.7332181929,930.3164850952559,931.0355226215,935.2306841115999,936.733211499615,936.7332144993001,0.85,0.005027
diffusion_mode3_shell,5,diffusion,3,350,934.6211950027,934.6211950027,929.5395071637215,930.833653003,934.62117407174,934.621182644525,934.621188792672,0.9,0.005027
diffusion_mode3_shell,5,diffusion,3,278,934.6211950027,934.6211950027,929.0173986836592,927.822236798,934.6211787642,934.62118293482,934.621190382526,0.95,0.005027
diffusion_mode3_shell,6,diffusion,3,398,946.3482237174,946.3482237174,931.0068550079767,931.8782596753999,946.34818911567,946.34819965764,946.348218937925,0.85,0.006033
diffusion_mode3_shell,6,diffusion,3,350,946.3482237174,946.3482237174,930.6743866248437,928.65867306565,946.3481944231,946.3482040146,946.3482189751251,0.9,0.006033
diffusion_mode3_shell,6,diffusion,3,278,946.3482237174,946.3482237174,931.642666604424,931.8782701569501,946.3481966156801,946.348207305265,946.348219223136,0.95,0.006033
diffusion_mode4_boundary_particles,0,diffusion,4,398,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.85,0.0
diffusion_mode4_boundary_particles,0,diffusion,4,350,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.9,0.0
diffusion_mode4_boundary_particles,0,diffusion,4,278,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.95,0.0
diffusion_mode4_boundary_particles,1,diffusion,4,398,719.8443571056,719.8443571056,639.2923010895565,628.4931686389,719.84412656697,719.844234688195,719.844282932735,0.85,0.001005
diffusion_mode4_boundary_particles,1,diffusion,4,350,719.8443571056,719.8443571056,644.0206836232563,628.49329824335,719.84414031258,719.844240893675,719.844290096495,0.9,0.001005
diffusion_mode4_boundary_particles,1,diffusion,4,278,719.8443571056,719.8443571056,656.9374963355364,631.86342864075,719.84421045644,719.844255581995,719.844298132068,0.95,0.001005
diffusion_mode4_boundary_particles,2,diffusion,4,398,534.3056003454,534.3056003454,410.9149849173443,379.35240665275,534.30523452491,534.30540558367,534.3055101607421,0.85,0.002011
diffusion_mode4_boundary_particles,2,diffusion,4,350,534.3056003454,534.3056003454,414.49804613597126,376.65587640859997,534.30528108078,534.3054232887949,534.3055104062141,0.9,0.002011
diffusion_mode4_boundary_particles,2,diffusion,4,278,534.3056003454,534.3056003454,427.2082016528633,386.49772659835,534.30535923488,534.305459302695,534.3055131659851,0.95,0.002011
diffusion_mode4_boundary_particles,3,diffusion,4,398,298.4293406572,298.4293406572,223.00670440537084,229.85634628315,273.53958943619,298.42924783301,298.429313680754,0.85,0.003016
diffusion_mode4_boundary_particles,3,diffusion,4,350,250.1911261753,250.1911261753,214.36975757470617,216.9452075298,250.19104567084997,250.19108275849499,250.191107004964,0.9,0.003016
diffusion_mode4_boundary_particles,3,diffusion,4,278,239.8054054607,239.8054054607,206.51178644180106,196.64256935104999,239.80528733582,239.805344137575,239.80538717476003,0.95,0.003016
diffusion_mode4_boundary_particles,4,diffusion,4,398,107.977835994,239.057030932,-41.95830341299577,-6.3273226349485,239.05596496441,239.05651359479998,239.056804012696,0.85,0.004021
diffusion_mode4_boundary_particles,4,diffusion,4,350,107.977835994,239.057030932,-45.48349291830497,11.01224181062,239.05619635479,239.056561856845,239.056807820632,0.9,0.004021
diffusion_mode4_boundary_particles,4,diffusion,4,278,107.977835994,239.057030932,-56.010800567463264,11.012416901395,239.05629239676,239.05658284355,239.056822969758,0.95,0.004021
diffusion_mode4_boundary_particles,5,diffusion,4,398,228.0000306633,559.3017477772,-61.596277983396526,48.157412140175,559.2995257385,559.30069418532,559.3012607200429,0.85,0.005027
diffusion_mode4_boundary_particles,5,diffusion,4,350,228.0000306633,559.3017477772,-75.00376309577058,68.56870853251,559.29990217963,559.30074649164,559.3012955143311,0.9,0.005027
diffusion_mode4_boundary_particles,5,diffusion,4,278,228.0000306633,559.3017477772,-108.66374227642481,75.06590430251501,559.30017028601,559.3009249694401,559.301335882981,0.95,0.005027
diffusion_mode4_boundary_particles,6,diffusion,4,398,336.1604730242,336.1604730242,54.823768826803644,58.638484699555,184.72666715276,336.15992631653,336.160256302368,0.85,0.006032
diffusion_mode4_boundary_particles,6,diffusion,4,350,336.1604730242,336.1604730242,70.99885487791998,68.079611051755,189.35554233883002,336.15999633522,336.160259569056,0.9,0.006032
diffusion_mode4_boundary_particles,6,diffusion,4,278,336.1604730242,336.1604730242,75.38753472813447,80.623021688665,304.75520120019996,336.16009860492,336.160282687526,0.95,0.006032
