acom,amax,case,fabs,fx,fy,fz,p0,step,sym,targets,time
3.21546e-09,1.95492,coarse_compression,1.66414,-2.70496e-09,3.76724e-09,1.84173e-09,50.0,1.0,2.9986e-09,739,0.000502713
1.67108e-08,1.95492,coarse_compression,1.66414,-1.6339e-08,-1.22858e-08,1.59576e-08,50.0,2.0,1.55838e-08,739,0.000603255
2.03619e-08,1.95492,coarse_compression,1.66414,1.35522e-08,2.24332e-08,1.7653e-08,50.0,3.0,1.89886e-08,739,0.000703798
1.74922e-08,1.95492,coarse_compression,1.66413,5.01248e-09,1.42249e-08,2.25707e-08,50.0,4.0,1.63124e-08,739,0.00080434
2.1278e-08,1.96724,finer_compression,1.22718,6.77067e-09,-2.06447e-08,1.72649e-08,40.217,1.0,2.26138e-08,1213,0.00040217
9.12536e-09,2.36068,finer_compression,1.47261,-2.88487e-09,-5.98283e-09,-9.87562e-09,48.2604,2.0,8.08187e-09,1213,0.000482604
9.75744e-09,2.44578,finer_compression,1.52569,-1.23412e-08,-2.21099e-09,-2.18009e-09,50.0,3.0,8.34102e-09,1213,0.000563038
5.52012e-09,2.44578,finer_compression,1.52569,5.84942e-09,-1.27112e-09,-4.00006e-09,50.0,4.0,4.7188e-09,1213,0.000643472
1.53141e-08,1.97475,higher_compression,1.13597,-9.62422e-09,-1.04495e-08,-1.80519e-08,32.6763,1.0,2.0222e-08,2601,0.000326763
1.27872e-08,2.3697,higher_compression,1.36316,-4.31342e-09,-1.75325e-08,-6.47478e-09,39.2116,2.0,1.40711e-08,2601,0.000392116
1.01804e-08,2.76465,higher_compression,1.59035,-9.85459e-09,-5.38588e-09,1.03479e-08,45.7468,3.0,9.60219e-09,2601,0.000457468
1.4072e-08,3.02169,higher_compression,1.73821,-1.15442e-08,4.60831e-09,1.70605e-08,50.0,4.0,1.21438e-08,2601,0.000522821
