case_label,display,source_stage,resolution,configured_dp,mode,weighting,boundary_family,time,r_over_R_min,r_over_R_max,r_over_R_mid,sph_count,sph_mean_pressure,sph_median_pressure,sph_p95_abs_pressure,sph_max_abs_pressure,fv_mean_pressure,fv_p95_pressure,fv_max_pressure,mean_error,p95_abs_error
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.0,0.0,0.2,0.1,7.0,1000.0,1000.0,1000.0,1000.0,999.9999999999999,1000.0,1000.0,1.1368683772161603e-13,0.0
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.0,0.2,0.4,0.30000000000000004,26.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,-1.1368683772161603e-13,0.0
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.0,0.4,0.6,0.5,90.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.0,0.6,0.8,0.7,134.0,1000.0,1000.0,1000.0,1000.0,999.9999999999999,1000.0,1000.0,1.1368683772161603e-13,0.0
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.0,0.8,0.9,0.8500000000000001,132.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.0,0.9,0.95,0.925,72.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.0,0.95,1.0,0.975,48.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,-1.1368683772161603e-13,0.0
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.001005,0.0,0.2,0.1,1.0,995.6936434438,995.6936434438,995.6936434438,995.6936434438,999.999999999998,1000.0000000000039,1000.0000000000048,-4.306356556197898,-4.306356556203809
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.001005,0.2,0.4,0.30000000000000004,26.0,993.8810789271422,993.8625147895,994.6361389618,994.636139241,1000.0000000000024,1000.0000000000088,1000.0000000000094,-6.118921072860189,-5.363861038208711
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.001005,0.4,0.6,0.5,66.0,992.8665602011954,992.82990511425,993.058003565025,993.0580038719,999.9999902057164,999.9999999999918,999.9999999999972,-7.13343000452096,-6.941996434966768
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.001005,0.6,0.8,0.7,158.0,992.3346073680723,992.2197516895,993.5169656770001,993.5169665116,998.7837980267722,999.9997109210876,999.9998826120096,-6.449190658699877,-6.482745244087482
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.001005,0.8,0.9,0.8500000000000001,138.0,989.1527094273114,989.2438841193,989.9375234037,990.3887827485,929.4040318723688,989.5508277969648,991.1156627341811,59.74867755494256,0.3866956067352021
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.001005,0.9,0.95,0.925,72.0,986.7496068873481,987.0252943502,987.0252947429001,987.0252950375,653.277094619282,789.6512562640808,799.5430385307571,333.4725122680661,197.37403847881933
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.001005,0.95,1.0,0.975,24.0,984.3035278580127,984.3035278621,984.3035282057,984.3035282057,239.02867885299847,448.18759576597364,466.14408781181356,745.2748490050142,536.1159324397263
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.002011,0.0,0.2,0.1,1.0,960.738094184,960.738094184,960.738094184,960.738094184,999.9999999999787,999.9999999999983,1000.0000000000047,-39.26190581597871,-39.26190581599826
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.002011,0.2,0.4,0.30000000000000004,26.0,960.7149300428038,960.7292618649999,960.7450931086,960.7450936202,999.9999965245886,999.9999999995281,999.999999999892,-39.28506648178484,-39.254906890928055
