case_label,display,source_stage,resolution,configured_dp,mode,weighting,boundary_family,time,r_over_R_min,r_over_R_max,r_over_R_mid,sph_count,sph_mean_pressure,sph_median_pressure,sph_p95_abs_pressure,sph_max_abs_pressure,fv_mean_pressure,fv_p95_pressure,fv_max_pressure,mean_error,p95_abs_error
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.0,0.95,1.0,0.975,48.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,-1.1368683772161603e-13,0.0
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.001005,0.95,1.0,0.975,24.0,984.3035278580127,984.3035278621,984.3035282057,984.3035282057,239.02867885299847,448.18759576597364,466.14408781181356,745.2748490050142,536.1159324397263
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.002011,0.95,1.0,0.975,24.0,959.608726489204,959.6087263182001,959.6087285398299,959.6087297161,164.95110391894238,313.91674597494307,327.46393945670764,794.6576225702615,645.6919825648869
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.003016,0.95,1.0,0.975,24.0,947.7866892793081,947.78668947055,947.78669115937,947.7866914962,130.98913455236607,250.56065398844683,261.64585838534066,816.797554726942,697.2260371709232
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.004022,0.95,1.0,0.975,24.0,937.0501743513836,937.0501748885499,937.050176791755,937.0501769598,110.44351320770033,211.8105988433139,221.29956732133098,826.6066611436833,725.2395779484411
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.005027,0.95,1.0,0.975,24.0,926.0702297904418,926.0702312771,926.0702345515449,926.0702385847,96.33296215423482,185.04096430866707,193.39354956246981,829.737267636207,741.0292702428778
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.006033,0.95,1.0,0.975,24.0,918.1931361340124,918.1931363453,918.19314479975,918.1931462967,85.85804296813694,165.09566018581774,172.5858179258674,832.3350931658755,753.0974846139322
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.0,0.95,1.0,0.975,48.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,-1.1368683772161603e-13,0.0
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.001005,0.95,1.0,0.975,24.0,599.71661600815,599.7165783046,599.7167306891849,599.7167526824,239.02867885299847,448.18759576597364,466.14408781181356,360.68793715515153,151.5291349232113
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.002011,0.95,1.0,0.975,24.0,346.9285206246125,346.92848426115,346.928641138515,346.9286624362,164.95110391894238,313.91674597494307,327.46393945670764,181.9774167056701,33.01189516357192
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.003016,0.95,1.0,0.975,24.0,185.62947914143749,185.6294778432,185.629507036095,185.6295130541,130.98913455236607,250.56065398844683,261.64585838534066,54.64034458907142,-64.93114695235184
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.004021,0.95,1.0,0.975,24.0,37.891698638841255,37.891772770375,37.8919427688035,37.89196146556,110.46009157761499,211.84197927248744,221.33226461435441,-72.56839293877374,-173.95003650368392
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.005027,0.95,1.0,0.975,54.0,211.32579665220553,211.391938616,227.999725739185,228.0000306633,96.33296215423482,185.04096430866707,193.39354956246981,114.9928344979707,42.95876143051794
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.006032,0.95,1.0,0.975,54.0,190.5763998125352,139.9759364506,336.16029300946997,336.1604730242,85.86715131759048,165.11302853288905,172.60394269876653,104.7092484949447,171.04726447658092
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.0,0.95,1.0,0.975,48.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,-1.1368683772161603e-13,0.0
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.001005,0.95,1.0,0.975,24.0,887.7259860475665,887.7259903023,887.7260032628999,887.7260111177,239.02867885299847,448.18759576597364,466.14408781181356,648.697307194568,439.53840749692625
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.002011,0.95,1.0,0.975,24.0,769.5632964864291,769.56330622105,769.563318828285,769.5633217053,164.95110391894238,313.91674597494307,327.46393945670764,604.6121925674867,455.6465728533419
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.003016,0.95,1.0,0.975,24.0,659.7877763360875,659.7877726185,659.78779407044,659.7877957265,130.98913455236607,250.56065398844683,261.64585838534066,528.7986417837215,409.2271400819932
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.004022,0.95,1.0,0.975,24.0,561.6098628019334,561.60985084,561.60994425677,561.6099534087,110.44351320770033,211.8105988433139,221.29956732133098,451.1663495942331,349.7993454134561
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.005027,0.95,1.0,0.975,24.0,553.2559353694166,553.25590398295,553.256111541195,553.2561465536,96.33296215423482,185.04096430866707,193.39354956246981,456.92297321518186,368.2151472325279
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.006032,0.95,1.0,0.975,24.0,509.6963327643668,509.69632318720005,509.69645749951997,509.6964716407,85.86715131759048,165.11302853288905,172.60394269876653,423.8291814467763,344.5834289666309
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.0,0.95,1.0,0.975,48.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,-1.1368683772161603e-13,0.0
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.001005,0.95,1.0,0.975,24.0,948.6291972367543,948.6291967949,948.6292223233,948.6292223233,239.02867885299847,448.18759576597364,466.14408781181356,709.6005183837558,500.4416265573264
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.002011,0.95,1.0,0.975,24.0,856.8224429184584,856.82244192065,856.8224705790449,856.8224752585,164.95110391894238,313.91674597494307,327.46393945670764,691.871338999516,542.9057246041018
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.003016,0.95,1.0,0.975,24.0,827.68499212885,827.68499102745,827.68500596762,827.6850142682,130.98913455236607,250.56065398844683,261.64585838534066,696.695857576484,577.1243519791732
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.004022,0.95,1.0,0.975,30.0,810.8712268546732,811.0860086755999,811.0860801766,811.0860842847,110.44351320770033,211.8105988433139,221.29956732133098,700.4277136469728,599.2754813332862
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.005027,0.95,1.0,0.975,24.0,775.3375935080917,775.33759227185,775.3376874678751,775.3376973317,96.33296215423482,185.04096430866707,193.39354956246981,679.0046313538569,590.296723159208
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.006032,0.95,1.0,0.975,24.0,751.8389531584626,751.83896541735,751.8390321361151,751.8390358916,85.86715131759048,165.11302853288905,172.60394269876653,665.9718018408721,586.726003603226
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,0.0,0.95,1.0,0.975,126.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,-1.1368683772161603e-13,0.0
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,0.001046,0.95,1.0,0.975,126.0,820.4241182220143,818.8420732058,823.1738101981999,824.2800129329,234.15858062975508,439.5575385357794,457.2711308931626,586.2655375922592,383.61627166242056
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,0.002011,0.95,1.0,0.975,126.0,629.1547252801096,628.0233320041,631.507815515725,631.5078237123,164.95110391894238,313.91674597494307,327.46393945670764,464.20362136116717,317.591069540782
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,0.003056,0.95,1.0,0.975,126.0,518.4915003193961,518.41963799645,520.76835220505,524.3756950905,129.9872895860561,248.6779303274929,259.6870337540007,388.50421073333996,272.09042187755705
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,0.004022,0.95,1.0,0.975,126.0,485.2071272064928,488.28631110649997,495.891475435075,495.8916052082,110.44351320770033,211.8105988433139,221.29956732133098,374.7636139987925,284.0808765917611
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,0.005067,0.95,1.0,0.975,126.0,423.23963681342855,425.07279987415,449.8237547264,449.8239948359,95.85859699621113,184.13901350998455,192.45287642159929,327.3810398172174,265.68474121641543
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,0.006032,0.95,1.0,0.975,126.0,318.9400792785523,319.3775024411,330.846494630075,330.8466891714,85.86715131759048,165.11302853288905,172.60394269876653,233.0729279609618,165.73346609718593
mode4_normalized_dp0065,"mode 4 normalized, dp=0.0065",C5h,higher,0.0065,4,normalized,mode4_normalized,0.0,0.95,1.0,0.975,288.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,-1.1368683772161603e-13,0.0
mode4_normalized_dp0065,"mode 4 normalized, dp=0.0065",C5h,higher,0.0065,4,normalized,mode4_normalized,0.001046,0.95,1.0,0.975,288.0,761.0819977664191,760.96338033225,763.4029338574501,763.4029570925,234.15858062975508,439.5575385357794,457.2711308931626,526.923417136664,323.8453953216707
mode4_normalized_dp0065,"mode 4 normalized, dp=0.0065",C5h,higher,0.0065,4,normalized,mode4_normalized,0.002026,0.95,1.0,0.975,288.0,493.9342391713242,494.69016070625,503.0464596207,503.0464821933,164.27086813262622,312.65733765086344,326.15761496738963,329.66337103869796,190.38912196983654
mode4_normalized_dp0065,"mode 4 normalized, dp=0.0065",C5h,higher,0.0065,4,normalized,mode4_normalized,0.003006,0.95,1.0,0.975,288.0,399.27838797367707,398.1956650359,402.07652863274,402.0765455483,131.24263759360403,251.03693511477968,262.14136632666094,268.03575038007307,151.03959351796033
mode4_normalized_dp0065,"mode 4 normalized, dp=0.0065",C5h,higher,0.0065,4,normalized,mode4_normalized,0.004052,0.95,1.0,0.975,288.0,267.03046693038266,256.67685804185,303.74030217797997,303.7404728754,109.94896551831253,210.87441304291394,220.32407791315887,157.0815014120701,92.86588913506603
mode4_normalized_dp0065,"mode 4 normalized, dp=0.0065",C5h,higher,0.0065,4,normalized,mode4_normalized,0.005032,0.95,1.0,0.975,288.0,293.89643154266366,295.30504423934997,310.0979087874,310.0979862518,96.27336200032086,184.92764838738725,193.275370278845,197.62306954234282,125.17026040001275
mode4_normalized_dp0065,"mode 4 normalized, dp=0.0065",C5h,higher,0.0065,4,normalized,mode4_normalized,0.006012,0.95,1.0,0.975,288.0,425.2413899864588,448.34424059595,517.2729344427399,517.273264299,86.04978944890868,165.46128492553564,172.9673644125213,339.19160053755013,351.8116495172043
