case,case_name,resolution,configured_dp,diag_index,order,targets,samples,avg,fallback,fallback_mode,support,cond_limit,cond_min,cond_mean,cond_max,time,area,shell_volume,grad_mean,grad_max,lap_corr_max,flux,storage_rate,fv_boundary_flux_integral,mls_flux_ratio_to_fv
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,0,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6712,100.447,195.34,0.0,0.0314159,0.00038634,252465.0,418873.0,20529600.0,68.7172,-68.7172,4099.121912940717,0.01676388296309591
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,1,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6712,100.447,195.34,0.0,0.0314159,0.00038634,252465.0,418873.0,20529600.0,68.7172,-68.7172,4099.121912940717,0.01676388296309591
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,2,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6712,100.447,195.34,0.00040217,0.0314159,0.00038634,238299.0,395370.0,19377700.0,64.8616,-64.8616,2475.516589725361,0.026201238266472648
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,3,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6712,100.447,195.34,0.00040217,0.0314159,0.00038634,238299.0,395370.0,19377700.0,64.8616,-64.8616,2475.516589725361,0.026201238266472648
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,4,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6712,100.447,195.34,0.000482604,0.0314159,0.00038634,235738.0,391139.0,19169400.0,64.1644,-64.1644,2150.7955250822897,0.029832868467375605
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,5,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6712,100.447,195.339,0.000482604,0.0314159,0.00038634,235738.0,391139.0,19169400.0,64.1644,-64.1644,2150.7955250822897,0.029832868467375605
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,6,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6712,100.447,195.339,0.000563038,0.0314159,0.00038634,233428.0,387372.0,18981600.0,63.5356,-63.5356,1826.0744604392185,0.03479354285734769
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,7,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6712,100.447,195.339,0.000563038,0.0314159,0.00038634,233428.0,387372.0,18981600.0,63.5355,-63.5355,1826.0744604392185,0.03479348809506818
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,8,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6712,100.447,195.339,0.000643472,0.0314159,0.00038634,231358.0,384044.0,18813200.0,62.9721,-62.9721,1501.3533957961472,0.04194355584522907
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,9,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6712,100.447,195.339,0.000643472,0.0314159,0.00038634,231358.0,384043.0,18813200.0,62.9721,-62.9721,1501.3533957961472,0.04194355584522907
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,10,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6712,100.447,195.338,0.000723905,0.0314159,0.00038634,229484.0,381052.0,18660900.0,62.4622,-62.4622,1176.6363682650517,0.05308538957715578
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,11,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6712,100.447,195.338,0.000723905,0.0314159,0.00038634,229484.0,381052.0,18660900.0,62.4622,-62.4622,1176.6363682650517,0.05308538957715578
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,12,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6713,100.447,195.338,0.000804338,0.0314159,0.00038634,227734.0,378234.0,18518600.0,61.9858,-61.9858,851.9193407339558,0.07276017462709233
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,13,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6713,100.447,195.338,0.000804338,0.0314159,0.00038634,227734.0,378233.0,18518600.0,61.9858,-61.9858,851.9193407339558,0.07276017462709233
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,14,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6713,100.447,195.337,0.000884771,0.0314159,0.00038634,226014.0,375377.0,18378700.0,61.5175,-61.5175,527.2023132028598,0.1166867034901058
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,15,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6714,100.446,195.337,0.000884771,0.0314159,0.00038634,226014.0,375377.0,18378700.0,61.5174,-61.5174,527.2023132028598,0.11668651380960272
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,16,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6714,100.446,195.337,0.000965203,0.0314159,0.00038634,224218.0,372254.0,18232700.0,61.0287,-61.0287,202.48932278374014,0.30139218780033666
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,17,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6714,100.446,195.337,0.000965203,0.0314159,0.00038634,224218.0,372254.0,18232600.0,61.0287,-61.0287,202.48932278374014,0.30139218780033666
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,18,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6715,100.446,195.337,0.00104564,0.0314159,0.00038634,222246.0,368644.0,18072300.0,60.4919,-60.4919,40.91990670754464,1.4783000467800862
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,19,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6715,100.446,195.337,0.00104564,0.0314159,0.00038634,222246.0,368644.0,18072300.0,60.4919,-60.4919,40.91990670754464,1.4783000467800862
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,20,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6716,100.446,195.337,0.00112607,0.0314159,0.00038634,218766.0,363733.0,17789300.0,59.5446,-59.5446,39.86662535795888,1.4935951931058709
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,21,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6716,100.446,195.337,0.00112607,0.0314159,0.00038634,218766.0,363734.0,17789300.0,59.5446,-59.5446,39.86662535795888,1.4935951931058709
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,22,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6717,100.446,195.337,0.0012065,0.0314159,0.00038634,216205.0,358746.0,17581100.0,58.8477,-58.8477,38.81665645299931,1.516042477055051
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,23,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6717,100.446,195.338,0.0012065,0.0314159,0.00038634,216205.0,358746.0,17581100.0,58.8477,-58.8477,38.81665645299931,1.516042477055051
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,24,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6718,100.447,195.338,0.00128693,0.0314159,0.00038634,213231.0,353030.0,17339200.0,58.0381,-58.0381,37.76668754803974,1.536753784037182
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,25,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6719,100.447,195.339,0.00128693,0.0314159,0.00038634,213231.0,353030.0,17339200.0,58.0381,-58.0381,37.76668754803974,1.536753784037182
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,26,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.672,100.447,195.339,0.00136737,0.0314159,0.00038634,209864.0,346636.0,17065400.0,57.1218,-57.1218,36.716588098643406,1.5557491302442266
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,27,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.672,100.447,195.34,0.00136737,0.0314159,0.00038634,209864.0,346636.0,17065400.0,57.1219,-57.1219,36.716588098643406,1.555751853808838
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,28,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6721,100.447,195.341,0.0014478,0.0314159,0.00038634,206168.0,339700.0,16764900.0,56.1158,-56.1158,35.666619193683836,1.5733422810631148
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,29,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6722,100.447,195.341,0.0014478,0.0314159,0.00038634,206168.0,339700.0,16764900.0,56.1159,-56.1159,35.666619193683836,1.5733450848051644
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,30,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6723,100.447,195.342,0.00152823,0.0314159,0.00038634,202241.0,332437.0,16445500.0,55.047,-55.047,34.616650288724266,1.5901885231781234
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,31,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6724,100.447,195.343,0.00152823,0.0314159,0.00038634,202241.0,332438.0,16445500.0,55.047,-55.047,34.616650288724266,1.5901885231781234
mode5_mls_dp008,CaseCryer_PR_StrictSphere_C5j_FinerDiffusionMLS,finer,0.008,32,1.0,962.0,14228.0,14.79,0.0,3.0,0.0144,100000000.0,48.6724,100.448,195.344,0.00160867,0.0314159,0.00038634,198208.0,325113.0,16117700.0,53.9495,-53.9495,33.566550839327924,1.607239905530913
