case,time,frame_index,r_over_R_min,r_over_R_max,r_over_R_mid,excess_count,excess_mean,excess_median,excess_p95_abs,excess_p99_abs,excess_max,excess_maxAbs
mode5_mls_dp008,0.0,0,0.0,0.2,0.1,7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp008,0.0,0,0.2,0.4,0.30000000000000004,74,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp008,0.0,0,0.4,0.6,0.5,170,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp008,0.0,0,0.6,0.8,0.7,240,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp008,0.0,0,0.8,0.9,0.8500000000000001,248,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp008,0.0,0,0.9,0.95,0.925,156,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp008,0.0,0,0.95,1.0,0.975,126,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp008,0.001046,1,0.0,0.2,0.1,7,909.0987986824429,905.8180394202,921.89375810859,927.405430879158,928.7833490718,928.7833490718
mode5_mls_dp008,0.001046,1,0.2,0.4,0.30000000000000004,74,867.391819387819,862.4218547011001,886.5996180474899,886.599623743736,886.5996246612,886.5996246612
mode5_mls_dp008,0.001046,1,0.4,0.6,0.5,170,905.3152541936199,904.19904243615,929.112768520085,929.1127717939729,929.1127722276,929.1127722276
mode5_mls_dp008,0.001046,1,0.6,0.8,0.7,234,854.6440102450106,856.6314320701,870.320087441845,870.3200886797281,870.3200895155,870.3200895155
mode5_mls_dp008,0.001046,1,0.8,0.9,0.8500000000000001,254,879.6028990005816,881.0157245042001,887.660592027005,891.094497612701,891.0944988883,891.0944988883
mode5_mls_dp008,0.001046,1,0.9,0.95,0.925,156,880.637811131849,880.0761342972,883.6901323026,883.690132931,883.6901335594,883.6901335594
mode5_mls_dp008,0.001046,1,0.95,1.0,0.975,126,878.7884009987956,878.1605589914,880.8047039989,880.8047047844,880.8047060412,880.8047060412
mode5_mls_dp008,0.002011,2,0.0,0.2,0.1,7,819.4147263740714,820.8731326777,820.8731424298799,820.8731431206959,820.8731432934,820.8731432934
mode5_mls_dp008,0.002011,2,0.2,0.4,0.30000000000000004,74,828.1457478725503,828.7054439910501,830.91031769118,830.910324402707,830.9103250408,830.9103250408
mode5_mls_dp008,0.002011,2,0.4,0.6,0.5,170,797.4845107197988,798.910076566,818.502847950155,818.50285526602,818.50285708,818.50285708
mode5_mls_dp008,0.002011,2,0.6,0.8,0.7,234,746.612800030196,744.85613772035,758.6712776396599,758.671280241021,758.6712812485,758.6712812485
mode5_mls_dp008,0.002011,2,0.8,0.9,0.8500000000000001,254,726.6618336441976,725.34575976365,733.9867997025449,733.986801336679,733.9868019472,733.9868019472
mode5_mls_dp008,0.002011,2,0.9,0.95,0.925,156,721.5334222321356,721.113743936,726.554703185825,726.55470518461,726.5547054348,726.5547054348
mode5_mls_dp008,0.002011,2,0.95,1.0,0.975,126,716.9189636669898,718.2516488852,718.353225939325,718.35322688015,718.3532274402,718.3532274402
mode5_mls_dp008,0.003056,3,0.0,0.2,0.1,7,724.2909986829571,724.5915382936,724.59154621401,724.5915468599219,724.5915470214,724.5915470214
mode5_mls_dp008,0.003056,3,0.2,0.4,0.30000000000000004,74,706.1349319016041,703.22342063025,722.4761995359149,722.476207296758,722.4762084249,722.4762084249
mode5_mls_dp008,0.003056,3,0.4,0.6,0.5,170,665.4202901937324,664.8188439892001,684.0473471713,684.047357217424,684.0473658805,684.0473658805
mode5_mls_dp008,0.003056,3,0.6,0.8,0.7,234,616.7536169715495,614.6111043123999,621.733075495365,621.939283382126,621.9392846445,621.9392846445
mode5_mls_dp008,0.003056,3,0.8,0.9,0.8500000000000001,254,614.2873247824565,617.5172254802001,618.111991082345,622.704867105695,622.7048699132,622.7048699132
mode5_mls_dp008,0.003056,3,0.9,0.95,0.925,156,614.4090052101201,614.15671342985,621.241384845875,621.2413898529451,621.2413913767,621.2413913767
mode5_mls_dp008,0.003056,3,0.95,1.0,0.975,126,624.2187606588642,626.9756225372,629.1527298637251,629.152737302325,629.1527455607,629.1527455607
mode5_mls_dp008,0.004022,4,0.0,0.2,0.1,7,738.5397054208287,737.6600071668,741.9705408765201,743.448435207704,743.8179087905,743.8179087905
mode5_mls_dp008,0.004022,4,0.2,0.4,0.30000000000000004,74,715.7624677561337,711.8034360043,731.74555347304,731.745557509037,731.7455586793,731.7455586793
mode5_mls_dp008,0.004022,4,0.4,0.6,0.5,170,685.341601525612,686.60476723565,699.2205911563401,699.220604193477,699.2206102178,699.2206102178
mode5_mls_dp008,0.004022,4,0.6,0.8,0.7,234,616.743837827566,617.5632462413,624.13659187864,624.1500489129111,624.1500697263,624.1500697263
mode5_mls_dp008,0.004022,4,0.8,0.9,0.8500000000000001,254,593.067149657626,589.3615417369999,605.9653082884599,605.9653157853211,605.9653171871,605.9653171871
mode5_mls_dp008,0.004022,4,0.9,0.95,0.925,156,580.4591778493946,580.5849281733,589.1590710688001,589.15907717678,589.1590800539,589.1590800539
mode5_mls_dp008,0.004022,4,0.95,1.0,0.975,126,594.54022942496,592.97401327945,601.3140125531,605.294413149475,605.2944249647,605.2944249647
mode5_mls_dp008,0.005067,5,0.0,0.2,0.1,7,518.4707596262,522.6763848144,522.67639795043,522.676400595206,522.6764012564,522.6764012564
mode5_mls_dp008,0.005067,5,0.2,0.4,0.30000000000000004,74,561.9033578959688,566.1385104685501,568.6084019437551,568.6084086751259,568.6084086852,568.6084086852
mode5_mls_dp008,0.005067,5,0.4,0.6,0.5,170,548.9760522416774,552.5952085808,562.58477900566,562.584790483553,562.5847957338,562.5847957338
mode5_mls_dp008,0.005067,5,0.6,0.8,0.7,234,464.18386707540446,463.1079111669,474.70523588458,475.28162091878403,475.2816280916,475.2816280916
mode5_mls_dp008,0.005067,5,0.8,0.9,0.8500000000000001,254,438.8761323618718,438.02711934795,445.837105992315,445.837112881191,445.837121083,445.837121083
mode5_mls_dp008,0.005067,5,0.9,0.95,0.925,156,465.6883689559468,471.64734630415,487.47049098815,487.47052391375996,487.4705467521,487.4705467521
mode5_mls_dp008,0.005067,5,0.95,1.0,0.975,126,472.81248892659727,461.15008322635003,498.4520873151,537.1962393483,537.1962667096,537.1962667096
mode5_mls_dp008,0.006032,6,0.0,0.2,0.1,7,445.5376828091999,446.2005233421,446.20052973124996,446.20053131921,446.2005317162,446.2005317162
mode5_mls_dp008,0.006032,6,0.2,0.4,0.30000000000000004,74,446.1407221764352,445.9227562535,450.44656173205,450.44656829176597,450.4465718657,450.4465718657
mode5_mls_dp008,0.006032,6,0.4,0.6,0.5,170,413.91170361557863,414.7148503949,435.08634728384004,435.086355585639,435.0863567078,435.0863567078
mode5_mls_dp008,0.006032,6,0.6,0.8,0.7,234,369.1372895724753,368.45838724435,382.102347675025,382.102352114755,382.1023555081,382.1023555081
mode5_mls_dp008,0.006032,6,0.8,0.9,0.8500000000000001,254,343.47673785592593,340.3977869002,355.278799095475,355.278807990803,355.2788097408,355.2788097408
mode5_mls_dp008,0.006032,6,0.9,0.95,0.925,156,342.8539883844448,342.0708492638,355.29573095145,355.295746172545,355.2957545999,355.2957545999
mode5_mls_dp008,0.006032,6,0.95,1.0,0.975,126,323.5535270148983,316.48063123265,340.55889286287504,346.66325512567505,346.6632854173,346.6632854173
mode5_mls_dp010,0.0,0,0.0,0.2,0.1,7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp010,0.0,0,0.2,0.4,0.30000000000000004,26,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp010,0.0,0,0.4,0.6,0.5,90,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp010,0.0,0,0.6,0.8,0.7,134,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp010,0.0,0,0.8,0.9,0.8500000000000001,132,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp010,0.0,0,0.9,0.95,0.925,72,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp010,0.0,0,0.95,1.0,0.975,48,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp010,0.001005,1,0.0,0.2,0.1,1,935.2165048554,935.2165048554,935.2165048554,935.2165048554,935.2165048554,935.2165048554
mode5_mls_dp010,0.001005,1,0.2,0.4,0.30000000000000004,26,931.6738172683308,931.0097255891001,933.484103685925,933.4841060915,933.484106877,933.484106877
mode5_mls_dp010,0.001005,1,0.4,0.6,0.5,66,947.5850354775225,949.0878119434,961.8954963515,961.8955019480301,961.8955025862,961.8955025862
mode5_mls_dp010,0.001005,1,0.6,0.8,0.7,158,919.1107160432383,897.2367184212,970.5517692570901,970.551772567965,970.5517744168,970.5517744168
mode5_mls_dp010,0.001005,1,0.8,0.9,0.8500000000000001,138,904.1759906766373,904.6054224548,907.0700818399,907.070082334702,907.0700826253,907.0700826253
mode5_mls_dp010,0.001005,1,0.9,0.95,0.925,72,909.4717535101668,908.8879959818,910.6392707269,910.6392707268999,910.6392707269,910.6392707269
mode5_mls_dp010,0.001005,1,0.95,1.0,0.975,24,911.7853174050625,911.785317716,911.7853184424949,911.7853185014,911.7853185014,911.7853185014
mode5_mls_dp010,0.002011,2,0.0,0.2,0.1,7,929.2508297850857,924.9350830429,946.0822518253899,953.3327076896379,955.1453216557,955.1453216557
mode5_mls_dp010,0.002011,2,0.2,0.4,0.30000000000000004,20,896.8993792681902,903.0723485247499,903.07237246215,903.07237305115,903.0723731984,903.0723731984
mode5_mls_dp010,0.002011,2,0.4,0.6,0.5,66,866.7811421211652,864.98071060705,875.4178484630249,875.4178535292849,875.4178548976,875.4178548976
mode5_mls_dp010,0.002011,2,0.6,0.8,0.7,158,827.0704550985416,811.7451615995001,859.869285709745,859.8692880212379,859.8692893264,859.8692893264
mode5_mls_dp010,0.002011,2,0.8,0.9,0.8500000000000001,138,815.6921822224016,815.9617544773,819.660546420455,819.6605485501111,819.6605497644,819.6605497644
mode5_mls_dp010,0.002011,2,0.9,0.95,0.925,72,819.746765799294,821.05613963375,821.056142356495,821.0561450090261,821.0561450512,821.0561450512
