case,time,frame_index,shell,surface_shell_count,surface_shell_mean,surface_shell_median,surface_shell_p95_abs,surface_shell_p99_abs,surface_shell_max,surface_shell_maxAbs
mode5_mls_dp008,0.0,0,0.95R-1.0R,318,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp008,0.001046,1,0.95R-1.0R,318,876.5378064350101,876.7098076801,880.8047022708,880.804704677572,880.8047060412,880.8047060412
mode5_mls_dp008,0.002011,2,0.95R-1.0R,318,718.9060251710462,718.74933673685,723.7304524988449,723.730454135126,723.7304549384,723.7304549384
mode5_mls_dp008,0.003056,3,0.95R-1.0R,318,632.2423323631175,632.60335553585,650.5422513411951,650.542262752758,650.5422663008,650.5422663008
mode5_mls_dp008,0.004022,4,0.95R-1.0R,318,588.8791223903962,585.0967294444499,601.31398042447,605.29438167638,605.2944249647,605.2944249647
mode5_mls_dp008,0.005067,5,0.95R-1.0R,318,423.2308533235949,416.33950173100004,498.45202490342,537.196172389553,537.1962667096,537.1962667096
mode5_mls_dp008,0.006032,6,0.95R-1.0R,318,311.1211996629857,311.13757200595,340.558878915365,346.663236247233,346.6632854173,346.6632854173
mode5_mls_dp010,0.0,0,0.95R-1.0R,278,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode5_mls_dp010,0.001005,1,0.95R-1.0R,278,911.5468785033779,911.7205203055,912.2815338948,912.281534377844,912.281536644,912.281536644
mode5_mls_dp010,0.002011,2,0.95R-1.0R,278,818.1941461894659,818.5141247515,820.010045558445,820.0100468205479,820.0100475328,820.0100475328
mode5_mls_dp010,0.003016,3,0.95R-1.0R,278,707.1894779630787,708.23343946095,711.9407590394751,712.642687459306,712.6426949083,712.6426949083
mode5_mls_dp010,0.004022,4,0.95R-1.0R,278,628.1411395657238,624.6223089867,644.6086988373,644.60870462387,644.6087083318,644.6087083318
mode5_mls_dp010,0.005027,5,0.95R-1.0R,278,620.3093681644707,619.6095674292001,628.1744706271697,638.100607643656,638.1006328775,638.1006328775
mode5_mls_dp010,0.006032,6,0.95R-1.0R,278,557.7654909557755,553.53402065715,579.4947395766451,579.494775069255,579.4947885922,579.4947885922
