case,time,center_pressure,fv_center_pressure,volume_mean_pressure,fv_volume_mean_pressure,surface_shell_mean,fv_surface_shell_mean,surface_shell_p95_abs,surface_shell_maxAbs,porepressrate_maxAbs,kplastic_maxAbs,apparent_flux_integral,fv_boundary_flux_integral,flux_ratio
mode6_shell_dp008,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,0.0,0.0,80.25840295262573,4099.121912940717,0.019579413507867155
mode6_shell_dp008,0.001046,900.4176960963273,1000.000000000005,839.6667574470179,828.037624637884,824.0330803997905,234.15858062975508,863.4153845351,863.4153923899,449895.19,0.0,76.31873211416837,40.911894663194644,1.8654411569656928
mode6_shell_dp008,0.002011,733.5024932480463,1000.0000000000043,705.7088505834662,766.125419923174,685.0814565189958,164.95110391894238,691.89714903765,691.8971597636,753005.5,0.0,55.20011717530386,28.31435651466818,1.9495451767271341
mode6_shell_dp008,0.003056,693.1229634134248,999.9999999988919,633.3277808607459,716.3947810655859,544.1604313730556,129.9872895860561,633.09779722234,676.5860756504,525743.38,0.0,93.19973032746066,22.16214126966638,4.205357649940819
mode6_shell_dp008,0.004022,430.45645760149654,999.9999987093851,364.2847364943408,678.8508182714902,236.0884715981158,110.44351320770033,506.51629734606,717.9262321138,596747.0,0.0,60.90998635364724,18.770138847466768,3.2450471916390593
mode6_shell_dp008,0.005067,501.77510134419623,999.9998729457853,426.06186402446264,644.0416604930647,327.79755961714676,95.85859699621113,507.490234124425,654.1492296795,732820.5,0.0,-122.23166457650268,16.257156810968123,-7.518637237603401
mode6_shell_dp008,0.006032,842.7906097970692,999.9978840064646,806.6848670820677,615.7272911806482,873.8404755170878,85.86715131759048,1176.36404963105,1176.36436239,3133016.8,0.0,-206.52200866892196,14.543623870330425,-14.200175314643218
mode6_shell_dp010,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,0.0,0.0,37.43267042766299,4099.121912940717,0.009131875368109929
mode6_shell_dp010,0.001005,957.1284531419259,1000.0000000000048,928.15140994779,831.2765899866567,918.3952964412395,239.02867885299847,922.43143383602,923.2178334186,177196.19,0.0,42.283362096792644,41.82437749194429,1.0109740929183406
mode6_shell_dp010,0.002011,854.0346954128779,1000.0000000000043,837.5826083829685,766.125419923174,841.266695847176,164.95110391894238,850.707940857445,851.8059077394,93588.75,0.0,32.446227869051,28.31435651466818,1.1459284922206272
mode6_shell_dp010,0.003016,857.4833158065887,999.9999999992508,803.4782098052593,718.0944968392885,759.7709593424001,130.98913455236607,781.6755419527849,781.6755639938,146445.48,0.0,49.562598369212246,22.33685316422298,2.218871118721273
mode6_shell_dp010,0.004022,697.4005840295445,999.9999987093851,647.1046881880119,678.8508182714902,627.0138048580316,110.44351320770033,652.3809733104349,652.3810020702,185210.55,0.0,49.585559879842805,18.770138847466768,2.6417257902455478
mode6_shell_dp010,0.005027,700.9499180098787,999.9998895685092,612.9121883773907,645.2867233282645,547.4348061489867,96.33296215423482,590.53751833285,590.5375472871,85408.688,0.0,14.605269067978883,16.338665295316975,0.8939083336363515
mode6_shell_dp010,0.006032,631.4127694145941,999.9978840064646,591.0377296793852,615.7272911806482,577.0573599008761,85.86715131759048,611.561024393,613.5961359524,152041.13,0.0,11.396457503633119,14.543623870330425,0.7836050770593943
