case,time,frame_index,r_over_R_min,r_over_R_max,r_over_R_mid,excess_count,excess_mean,excess_median,excess_p95_abs,excess_p99_abs,excess_max,excess_maxAbs
mode6_shell_dp008,0.0,0,0.0,0.2,0.1,7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp008,0.0,0,0.2,0.4,0.30000000000000004,74,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp008,0.0,0,0.4,0.6,0.5,170,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp008,0.0,0,0.6,0.8,0.7,240,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp008,0.0,0,0.8,0.9,0.8500000000000001,248,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp008,0.0,0,0.9,0.95,0.925,156,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp008,0.0,0,0.95,1.0,0.975,126,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp008,0.001046,1,0.0,0.2,0.1,7,910.4860844340716,911.2613107363,911.2613174088699,911.2613181346541,911.2613183161,911.2613183161
mode6_shell_dp008,0.001046,1,0.2,0.4,0.30000000000000004,74,899.4652809832974,897.84155384805,911.844621148675,911.8446234779899,911.8446255709,911.8446255709
mode6_shell_dp008,0.001046,1,0.4,0.6,0.5,170,862.3182346774444,862.2517942730999,875.7433355755451,875.743347403204,875.7433514501,875.7433514501
mode6_shell_dp008,0.001046,1,0.6,0.8,0.7,234,873.5131727975643,872.1614271612,901.9186702346701,901.918679239375,901.9186828494,901.9186828494
mode6_shell_dp008,0.001046,1,0.8,0.9,0.8500000000000001,254,831.5532226731644,893.47309992755,912.6843458470399,929.209811547548,929.2098150226,929.2098150226
mode6_shell_dp008,0.001046,1,0.9,0.95,0.925,156,777.7482239968995,778.620561307,788.9869910216,788.98699535746,788.9869985622,788.9869985622
mode6_shell_dp008,0.001046,1,0.95,1.0,0.975,126,796.9951598446614,797.0112885739,824.525497146,824.525502487225,824.5255034298,824.5255034298
mode6_shell_dp008,0.002011,2,0.0,0.2,0.1,7,740.9207910630429,740.2185650694,743.65948255902,744.8392203129241,745.1341547514,745.1341547514
mode6_shell_dp008,0.002011,2,0.2,0.4,0.30000000000000004,74,732.800762373655,731.8292296571,736.858245079605,736.858252172934,736.8582534681,736.8582534681
mode6_shell_dp008,0.002011,2,0.4,0.6,0.5,170,732.7184183501134,732.60015299205,733.6616223168251,733.850079339882,733.8500830888,733.8500830888
mode6_shell_dp008,0.002011,2,0.6,0.8,0.7,234,723.4391320699677,722.6255822749499,730.0778696984551,732.491064513007,732.4910665591,732.4910665591
mode6_shell_dp008,0.002011,2,0.8,0.9,0.8500000000000001,254,702.2996519693143,715.01720685605,718.24521723774,718.245222731824,718.2452251302,718.2452251302
mode6_shell_dp008,0.002011,2,0.9,0.95,0.925,156,682.8476346635722,682.4203926308,684.6070633311999,684.60706617432,684.6070669303,684.6070669303
mode6_shell_dp008,0.002011,2,0.95,1.0,0.975,126,679.6803605926127,681.0084351841,686.09290761995,686.0929101483,686.0929110672,686.0929110672
mode6_shell_dp008,0.003056,3,0.0,0.2,0.1,7,657.4775305870859,662.0829632836,662.08301182372,662.083015224664,662.0830160749,662.0830160749
mode6_shell_dp008,0.003056,3,0.2,0.4,0.30000000000000004,74,696.4948286807812,698.2317138425001,704.6550427935949,704.655058153003,704.6550597217,704.6550597217
mode6_shell_dp008,0.003056,3,0.4,0.6,0.5,170,695.337809843152,695.7312007753501,699.36543944355,702.835082977499,702.8350868118,702.8350868118
mode6_shell_dp008,0.003056,3,0.6,0.8,0.7,234,691.3775488883098,688.65376512565,702.279157426295,706.775007882109,706.7750187048,706.7750187048
mode6_shell_dp008,0.003056,3,0.8,0.9,0.8500000000000001,254,647.8569509269773,679.9848278074,686.465252512105,688.511347592642,688.5113551361,688.5113551361
mode6_shell_dp008,0.003056,3,0.9,0.95,0.925,156,605.7383418097046,602.3772397384,614.674726490775,614.6747337654549,614.6747343068,614.6747343068
mode6_shell_dp008,0.003056,3,0.95,1.0,0.975,126,591.1867887554833,592.55746202155,633.097836155225,676.586070658675,676.5860756504,676.5860756504
mode6_shell_dp008,0.004022,4,0.0,0.2,0.1,7,346.18168805330004,352.6107669221,352.61079172899,352.61079256123804,352.6107927693,352.6107927693
