case,time,frame_index,shell,surface_shell_count,surface_shell_mean,surface_shell_median,surface_shell_p95_abs,surface_shell_p99_abs,surface_shell_max,surface_shell_maxAbs
mode6_shell_dp008,0.0,0,0.95R-1.0R,318,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp008,0.001046,1,0.95R-1.0R,318,824.0330803997905,830.0079233342,863.4153845351,863.4153895087859,863.4153923899,863.4153923899
mode6_shell_dp008,0.002011,2,0.95R-1.0R,318,685.0814565189958,686.09290045255,691.89714903765,691.8971545018439,691.8971597636,691.8971597636
mode6_shell_dp008,0.003056,3,0.95R-1.0R,318,544.1604313730556,533.0491144277,633.09779722234,676.5860503533681,676.5860756504,676.5860756504
mode6_shell_dp008,0.004022,4,0.95R-1.0R,318,236.0884715981158,239.14588909305002,506.51629734606,717.926193017843,717.9262321138,717.9262321138
mode6_shell_dp008,0.005067,5,0.95R-1.0R,318,327.79755961714676,322.29800632859997,507.490234124425,654.149054943576,654.1492296795,654.1492296795
mode6_shell_dp008,0.006032,6,0.95R-1.0R,318,873.8404755170878,853.81922854225,1176.36404963105,1176.36424515457,1176.36436239,1176.36436239
mode6_shell_dp010,0.0,0,0.95R-1.0R,278,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp010,0.001005,1,0.95R-1.0R,278,918.3952964412395,920.2376490036,922.43143383602,923.2178326331,923.2178334186,923.2178334186
mode6_shell_dp010,0.002011,2,0.95R-1.0R,278,841.266695847176,841.38190072075,850.707940857445,851.805904080488,851.8059077394,851.8059077394
mode6_shell_dp010,0.003016,3,0.95R-1.0R,278,759.7709593424001,755.66146734365,781.6755419527849,781.675554202788,781.6755639938,781.6755639938
mode6_shell_dp010,0.004022,4,0.95R-1.0R,278,627.0138048580316,626.2635299927999,652.3809733104349,652.3809907878231,652.3810020702,652.3810020702
mode6_shell_dp010,0.005027,5,0.95R-1.0R,278,547.4348061489867,553.35600689525,590.53751833285,590.5375319625471,590.5375472871,590.5375472871
mode6_shell_dp010,0.006032,6,0.95R-1.0R,278,577.0573599008761,586.2490313379,611.561024393,613.596075105632,613.5961359524,613.5961359524
